epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1626103901447,2021-07-12T11.31.41.447,0.000,0.518,-0.188,0.855
1626103901467,2021-07-12T11.31.41.467,0.020,0.522,-0.190,0.863
1626103901486,2021-07-12T11.31.41.486,0.039,0.521,-0.188,0.860
1626103901506,2021-07-12T11.31.41.506,0.059,0.521,-0.188,0.861
1626103901525,2021-07-12T11.31.41.525,0.078,0.521,-0.189,0.861
1626103901546,2021-07-12T11.31.41.546,0.099,0.521,-0.188,0.861
1626103901565,2021-07-12T11.31.41.565,0.118,0.520,-0.190,0.862
1626103901585,2021-07-12T11.31.41.585,0.138,0.520,-0.191,0.861
1626103901604,2021-07-12T11.31.41.604,0.157,0.521,-0.189,0.861
1626103901625,2021-07-12T11.31.41.625,0.178,0.522,-0.189,0.861
1626103901644,2021-07-12T11.31.41.644,0.197,0.522,-0.189,0.860
1626103901663,2021-07-12T11.31.41.663,0.216,0.522,-0.190,0.860
1626103901683,2021-07-12T11.31.41.683,0.236,0.522,-0.189,0.862
1626103901702,2021-07-12T11.31.41.702,0.255,0.521,-0.190,0.862
1626103901723,2021-07-12T11.31.41.723,0.276,0.521,-0.190,0.860
1626103901742,2021-07-12T11.31.41.742,0.295,0.522,-0.189,0.859
1626103901762,2021-07-12T11.31.41.762,0.315,0.521,-0.189,0.861
1626103901781,2021-07-12T11.31.41.781,0.334,0.522,-0.191,0.862
1626103901800,2021-07-12T11.31.41.800,0.353,0.522,-0.190,0.861
1626103901821,2021-07-12T11.31.41.821,0.374,0.523,-0.189,0.860
1626103901840,2021-07-12T11.31.41.840,0.393,0.521,-0.191,0.859
1626103901861,2021-07-12T11.31.41.861,0.414,0.521,-0.190,0.861
1626103901880,2021-07-12T11.31.41.880,0.433,0.523,-0.190,0.862
1626103901900,2021-07-12T11.31.41.900,0.453,0.523,-0.190,0.860
1626103901919,2021-07-12T11.31.41.919,0.472,0.522,-0.188,0.860
1626103901940,2021-07-12T11.31.41.940,0.493,0.523,-0.189,0.861
1626103901959,2021-07-12T11.31.41.959,0.512,0.523,-0.189,0.860
1626103901978,2021-07-12T11.31.41.978,0.531,0.521,-0.190,0.859
1626103901998,2021-07-12T11.31.41.998,0.551,0.521,-0.189,0.861
1626103902017,2021-07-12T11.31.42.017,0.570,0.522,-0.191,0.861
1626103902038,2021-07-12T11.31.42.038,0.591,0.522,-0.191,0.860
1626103902057,2021-07-12T11.31.42.057,0.610,0.520,-0.189,0.860
1626103902077,2021-07-12T11.31.42.077,0.630,0.521,-0.190,0.862
1626103902096,2021-07-12T11.31.42.096,0.649,0.523,-0.189,0.862
1626103902115,2021-07-12T11.31.42.115,0.668,0.523,-0.191,0.861
1626103902136,2021-07-12T11.31.42.136,0.689,0.520,-0.189,0.859
1626103902155,2021-07-12T11.31.42.155,0.708,0.521,-0.189,0.861
1626103902175,2021-07-12T11.31.42.175,0.728,0.523,-0.190,0.862
1626103902195,2021-07-12T11.31.42.195,0.748,0.523,-0.190,0.860
1626103902215,2021-07-12T11.31.42.215,0.768,0.521,-0.190,0.860
1626103902234,2021-07-12T11.31.42.234,0.787,0.521,-0.190,0.861
1626103902255,2021-07-12T11.31.42.255,0.808,0.521,-0.189,0.861
1626103902274,2021-07-12T11.31.42.274,0.827,0.522,-0.190,0.860
1626103902293,2021-07-12T11.31.42.293,0.846,0.522,-0.190,0.862
1626103902313,2021-07-12T11.31.42.313,0.866,0.521,-0.191,0.861
1626103902332,2021-07-12T11.31.42.332,0.885,0.522,-0.189,0.861
1626103902353,2021-07-12T11.31.42.353,0.906,0.523,-0.190,0.861
1626103902372,2021-07-12T11.31.42.372,0.925,0.523,-0.189,0.862
1626103902392,2021-07-12T11.31.42.392,0.945,0.523,-0.191,0.862
1626103902411,2021-07-12T11.31.42.411,0.964,0.522,-0.190,0.861
1626103902432,2021-07-12T11.31.42.432,0.985,0.523,-0.189,0.860
1626103902451,2021-07-12T11.31.42.451,1.004,0.523,-0.191,0.860
1626103902470,2021-07-12T11.31.42.470,1.023,0.521,-0.190,0.860
1626103902490,2021-07-12T11.31.42.490,1.043,0.522,-0.190,0.862
1626103902509,2021-07-12T11.31.42.509,1.062,0.521,-0.190,0.861
1626103902530,2021-07-12T11.31.42.530,1.083,0.522,-0.191,0.861
1626103902549,2021-07-12T11.31.42.549,1.102,0.523,-0.192,0.863
1626103902570,2021-07-12T11.31.42.570,1.123,0.522,-0.190,0.862
1626103902589,2021-07-12T11.31.42.589,1.142,0.521,-0.191,0.861
1626103902608,2021-07-12T11.31.42.608,1.161,0.521,-0.191,0.861
1626103902628,2021-07-12T11.31.42.628,1.181,0.521,-0.190,0.861
1626103902647,2021-07-12T11.31.42.647,1.200,0.522,-0.190,0.862
1626103902668,2021-07-12T11.31.42.668,1.221,0.522,-0.191,0.863
1626103902687,2021-07-12T11.31.42.687,1.240,0.523,-0.191,0.862
1626103902707,2021-07-12T11.31.42.707,1.260,0.522,-0.190,0.862
1626103902726,2021-07-12T11.31.42.726,1.279,0.521,-0.190,0.861
1626103902745,2021-07-12T11.31.42.745,1.298,0.523,-0.190,0.861
1626103902766,2021-07-12T11.31.42.766,1.319,0.521,-0.189,0.861
1626103902785,2021-07-12T11.31.42.785,1.338,0.520,-0.190,0.863
1626103902805,2021-07-12T11.31.42.805,1.358,0.521,-0.191,0.862
1626103902824,2021-07-12T11.31.42.824,1.377,0.521,-0.191,0.860
1626103902845,2021-07-12T11.31.42.845,1.398,0.521,-0.190,0.861
1626103902864,2021-07-12T11.31.42.864,1.417,0.520,-0.189,0.862
1626103902884,2021-07-12T11.31.42.884,1.437,0.521,-0.191,0.861
1626103902904,2021-07-12T11.31.42.904,1.457,0.523,-0.191,0.861
1626103902923,2021-07-12T11.31.42.923,1.476,0.522,-0.191,0.861
1626103902943,2021-07-12T11.31.42.943,1.496,0.521,-0.189,0.862
1626103902962,2021-07-12T11.31.42.962,1.515,0.521,-0.189,0.862
1626103902983,2021-07-12T11.31.42.983,1.536,0.521,-0.192,0.861
1626103903002,2021-07-12T11.31.43.002,1.555,0.521,-0.189,0.861
1626103903022,2021-07-12T11.31.43.022,1.575,0.521,-0.190,0.861
1626103903041,2021-07-12T11.31.43.041,1.594,0.521,-0.191,0.860
1626103903060,2021-07-12T11.31.43.060,1.613,0.521,-0.188,0.860
1626103903081,2021-07-12T11.31.43.081,1.634,0.520,-0.188,0.862
1626103903100,2021-07-12T11.31.43.100,1.653,0.521,-0.190,0.861
1626103903120,2021-07-12T11.31.43.120,1.673,0.521,-0.191,0.862
1626103903139,2021-07-12T11.31.43.139,1.692,0.522,-0.190,0.863
1626103903160,2021-07-12T11.31.43.160,1.713,0.521,-0.190,0.862
1626103903179,2021-07-12T11.31.43.179,1.732,0.521,-0.191,0.860
1626103903199,2021-07-12T11.31.43.199,1.752,0.521,-0.189,0.860
1626103903218,2021-07-12T11.31.43.218,1.771,0.522,-0.190,0.861
1626103903238,2021-07-12T11.31.43.238,1.791,0.521,-0.190,0.862
1626103903258,2021-07-12T11.31.43.258,1.811,0.520,-0.189,0.863
1626103903277,2021-07-12T11.31.43.277,1.830,0.518,-0.188,0.863
1626103903298,2021-07-12T11.31.43.298,1.851,0.521,-0.189,0.862
1626103903317,2021-07-12T11.31.43.317,1.870,0.520,-0.189,0.862
1626103903337,2021-07-12T11.31.43.337,1.890,0.521,-0.191,0.861
1626103903356,2021-07-12T11.31.43.356,1.909,0.520,-0.189,0.862
1626103903375,2021-07-12T11.31.43.375,1.928,0.521,-0.191,0.861
1626103903396,2021-07-12T11.31.43.396,1.949,0.520,-0.189,0.861
1626103903415,2021-07-12T11.31.43.415,1.968,0.520,-0.190,0.862
1626103903435,2021-07-12T11.31.43.435,1.988,0.521,-0.189,0.864
1626103903454,2021-07-12T11.31.43.454,2.007,0.520,-0.189,0.863
1626103903475,2021-07-12T11.31.43.475,2.028,0.519,-0.190,0.863
1626103903494,2021-07-12T11.31.43.494,2.047,0.520,-0.190,0.863
1626103903514,2021-07-12T11.31.43.514,2.067,0.521,-0.191,0.862
1626103903533,2021-07-12T11.31.43.533,2.086,0.521,-0.190,0.863
