epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1626372266999,2021-07-15T14.04.26.999,0.000,0.366,-4.634,-0.793
1626372267019,2021-07-15T14.04.27.019,0.020,0.366,-4.085,-0.671
1626372267038,2021-07-15T14.04.27.038,0.039,0.122,-4.573,-0.671
1626372267059,2021-07-15T14.04.27.059,0.060,-0.366,-5.366,-1.159
1626372267078,2021-07-15T14.04.27.078,0.079,-0.122,-6.341,-1.159
1626372267097,2021-07-15T14.04.27.097,0.098,0.671,-7.439,-0.427
1626372267117,2021-07-15T14.04.27.117,0.118,0.671,-8.049,-0.183
1626372267136,2021-07-15T14.04.27.136,0.137,0.427,-8.354,-0.427
1626372267157,2021-07-15T14.04.27.157,0.158,0.854,-8.780,-0.427
1626372267176,2021-07-15T14.04.27.176,0.177,1.220,-9.146,-0.244
1626372267196,2021-07-15T14.04.27.196,0.197,1.646,-9.085,0.000
1626372267215,2021-07-15T14.04.27.215,0.216,1.951,-8.841,0.488
1626372267236,2021-07-15T14.04.27.236,0.237,1.463,-8.171,0.183
1626372267255,2021-07-15T14.04.27.255,0.256,1.280,-7.683,-0.305
1626372267274,2021-07-15T14.04.27.274,0.275,1.341,-7.134,-0.305
1626372267295,2021-07-15T14.04.27.295,0.296,0.915,-6.768,-0.488
1626372267314,2021-07-15T14.04.27.314,0.315,0.732,-6.768,-0.732
1626372267334,2021-07-15T14.04.27.334,0.335,0.610,-6.890,-0.671
1626372267353,2021-07-15T14.04.27.353,0.354,0.244,-7.256,-0.671
1626372267374,2021-07-15T14.04.27.374,0.375,0.183,-7.500,-0.610
1626372267393,2021-07-15T14.04.27.393,0.394,0.427,-7.866,-0.366
1626372267412,2021-07-15T14.04.27.412,0.413,0.305,-8.049,-0.549
1626372267432,2021-07-15T14.04.27.432,0.433,0.305,-8.476,-0.549
1626372267451,2021-07-15T14.04.27.451,0.452,0.427,-8.415,-0.549
1626372267472,2021-07-15T14.04.27.472,0.473,1.463,-8.354,0.305
1626372267491,2021-07-15T14.04.27.491,0.492,2.317,-8.720,0.793
1626372267511,2021-07-15T14.04.27.511,0.512,2.256,-9.390,0.610
1626372267530,2021-07-15T14.04.27.530,0.531,2.500,-9.695,0.915
1626372267551,2021-07-15T14.04.27.551,0.552,2.195,-9.695,0.671
1626372267570,2021-07-15T14.04.27.570,0.571,1.159,-9.695,0.183
1626372267589,2021-07-15T14.04.27.589,0.590,0.671,-9.817,-0.122
1626372267610,2021-07-15T14.04.27.610,0.611,0.793,-10.427,0.000
1626372267629,2021-07-15T14.04.27.629,0.630,0.549,-11.159,-0.183
1626372267649,2021-07-15T14.04.27.649,0.650,0.915,-12.012,-0.183
1626372267668,2021-07-15T14.04.27.668,0.669,1.341,-13.110,-0.305
1626372267689,2021-07-15T14.04.27.689,0.690,1.890,-14.512,-0.488
1626372267708,2021-07-15T14.04.27.708,0.709,3.354,-16.159,-0.671
1626372267727,2021-07-15T14.04.27.727,0.728,8.598,-18.963,-0.610
1626372267747,2021-07-15T14.04.27.747,0.748,26.707,-26.037,-0.732
1626372267766,2021-07-15T14.04.27.766,0.767,52.317,-43.598,-4.268
1626372267787,2021-07-15T14.04.27.787,0.788,55.000,-58.476,-3.110
1626372267806,2021-07-15T14.04.27.806,0.807,40.366,-79.756,5.061
1626372267826,2021-07-15T14.04.27.826,0.827,31.951,-101.768,6.037
1626372267845,2021-07-15T14.04.27.845,0.846,40.549,-70.305,-1.585
1626372267866,2021-07-15T14.04.27.866,0.867,27.439,-25.915,-3.780
1626372267885,2021-07-15T14.04.27.885,0.886,13.902,-20.793,2.195
1626372267904,2021-07-15T14.04.27.904,0.905,7.805,-17.378,4.878
1626372267924,2021-07-15T14.04.27.924,0.925,6.341,-15.793,4.695
1626372267944,2021-07-15T14.04.27.944,0.945,2.744,-9.939,3.659
1626372267964,2021-07-15T14.04.27.964,0.965,1.524,-10.732,4.817
1626372267983,2021-07-15T14.04.27.983,0.984,2.744,-11.524,4.756
1626372268004,2021-07-15T14.04.28.004,1.005,2.622,-10.732,4.085
1626372268023,2021-07-15T14.04.28.023,1.024,2.805,-11.159,4.207
1626372268043,2021-07-15T14.04.28.043,1.044,2.683,-10.549,4.512
1626372268062,2021-07-15T14.04.28.062,1.063,-5.732,-10.793,6.341
1626372268081,2021-07-15T14.04.28.081,1.082,-10.427,-11.890,9.329
1626372268102,2021-07-15T14.04.28.102,1.103,-10.915,-14.268,12.744
1626372268121,2021-07-15T14.04.28.121,1.122,-13.293,-17.317,12.805
1626372268141,2021-07-15T14.04.28.141,1.142,-12.012,-23.171,11.402
1626372268160,2021-07-15T14.04.28.160,1.161,-10.671,-28.415,9.695
1626372268181,2021-07-15T14.04.28.181,1.182,-12.073,-28.963,9.939
1626372268200,2021-07-15T14.04.28.200,1.201,-13.476,-30.000,12.012
1626372268219,2021-07-15T14.04.28.219,1.220,-11.707,-31.707,14.207
1626372268239,2021-07-15T14.04.28.239,1.240,-10.427,-31.890,15.549
1626372268258,2021-07-15T14.04.28.258,1.259,-9.817,-32.256,15.244
1626372268279,2021-07-15T14.04.28.279,1.280,-7.866,-31.768,13.476
1626372268298,2021-07-15T14.04.28.298,1.299,-5.549,-27.622,11.524
1626372268319,2021-07-15T14.04.28.319,1.320,-4.024,-21.341,9.451
1626372268338,2021-07-15T14.04.28.338,1.339,-3.171,-15.122,6.890
1626372268358,2021-07-15T14.04.28.358,1.359,-1.951,-9.512,4.085
1626372268377,2021-07-15T14.04.28.377,1.378,-0.244,-3.476,1.280
1626372268396,2021-07-15T14.04.28.396,1.397,1.159,3.354,-0.793
1626372268417,2021-07-15T14.04.28.417,1.418,1.159,8.841,-2.134
1626372268436,2021-07-15T14.04.28.436,1.437,1.341,11.402,-3.902
1626372268456,2021-07-15T14.04.28.456,1.457,1.890,10.244,-5.549
1626372268475,2021-07-15T14.04.28.475,1.476,2.195,7.622,-5.854
1626372268496,2021-07-15T14.04.28.496,1.497,1.463,4.878,-4.146
1626372268515,2021-07-15T14.04.28.515,1.516,-0.183,1.829,-1.098
1626372268534,2021-07-15T14.04.28.534,1.535,-1.585,-1.524,1.585
1626372268554,2021-07-15T14.04.28.554,1.555,-2.317,-4.756,3.293
1626372268573,2021-07-15T14.04.28.573,1.574,-2.622,-7.195,4.024
1626372268594,2021-07-15T14.04.28.594,1.595,-2.805,-8.659,4.329
1626372268613,2021-07-15T14.04.28.613,1.614,-2.622,-8.537,4.146
1626372268633,2021-07-15T14.04.28.633,1.634,-2.012,-7.378,3.293
1626372268653,2021-07-15T14.04.28.653,1.654,-0.915,-5.061,1.951
1626372268673,2021-07-15T14.04.28.673,1.674,-0.122,-2.500,0.427
1626372268692,2021-07-15T14.04.28.692,1.693,0.732,-0.244,-1.220
1626372268711,2021-07-15T14.04.28.711,1.712,1.951,3.049,-3.171
1626372268732,2021-07-15T14.04.28.732,1.733,2.805,6.951,-4.390
1626372268751,2021-07-15T14.04.28.751,1.752,2.988,10.732,-5.061
1626372268771,2021-07-15T14.04.28.771,1.772,3.232,14.085,-5.976
1626372268790,2021-07-15T14.04.28.790,1.791,4.024,17.256,-7.317
1626372268811,2021-07-15T14.04.28.811,1.812,4.756,20.976,-8.354
1626372268830,2021-07-15T14.04.28.830,1.831,5.122,25.976,-8.720
1626372268849,2021-07-15T14.04.28.849,1.850,5.427,31.707,-9.512
1626372268869,2021-07-15T14.04.28.869,1.870,6.768,36.280,-11.463
1626372268888,2021-07-15T14.04.28.888,1.889,8.293,37.561,-14.146
1626372268909,2021-07-15T14.04.28.909,1.910,11.402,33.780,-16.280
1626372268928,2021-07-15T14.04.28.928,1.929,16.829,27.378,-18.598
1626372268948,2021-07-15T14.04.28.948,1.949,16.829,23.537,-17.683
1626372268967,2021-07-15T14.04.28.967,1.968,13.659,24.085,-14.939
1626372268988,2021-07-15T14.04.28.988,1.989,11.220,25.183,-13.598
1626372269007,2021-07-15T14.04.29.007,2.008,16.220,20.976,-13.354
1626372269026,2021-07-15T14.04.29.026,2.027,20.366,16.829,-14.085
1626372269047,2021-07-15T14.04.29.047,2.048,0.244,15.427,-12.500
1626372269066,2021-07-15T14.04.29.066,2.067,-3.232,16.646,-10.183
1626372269086,2021-07-15T14.04.29.086,2.087,0.000,15.854,-7.927
1626372269105,2021-07-15T14.04.29.105,2.106,0.610,12.988,-5.122
1626372269126,2021-07-15T14.04.29.126,2.127,-0.122,10.061,-3.110
1626372269145,2021-07-15T14.04.29.145,2.146,-0.122,9.146,-2.134
1626372269164,2021-07-15T14.04.29.164,2.165,-1.463,11.463,-2.622
1626372269184,2021-07-15T14.04.29.184,2.185,-6.402,12.988,-4.512
1626372269203,2021-07-15T14.04.29.203,2.204,-13.171,13.537,-6.037
1626372269224,2021-07-15T14.04.29.224,2.225,-20.671,18.354,-6.220
1626372269243,2021-07-15T14.04.29.243,2.244,-22.317,27.988,-4.268
1626372269263,2021-07-15T14.04.29.263,2.264,-21.585,32.439,-4.085
1626372269282,2021-07-15T14.04.29.282,2.283,-24.695,36.890,-5.122
1626372269301,2021-07-15T14.04.29.301,2.302,-27.683,45.793,-5.915
1626372269322,2021-07-15T14.04.29.322,2.323,-27.439,47.866,-8.110
1626372269341,2021-07-15T14.04.29.341,2.342,-19.695,44.573,-6.220
1626372269361,2021-07-15T14.04.29.361,2.362,-17.622,38.659,-5.610
1626372269381,2021-07-15T14.04.29.381,2.382,-21.768,35.427,-6.463
1626372269401,2021-07-15T14.04.29.401,2.402,-23.963,33.415,-5.000
1626372269420,2021-07-15T14.04.29.420,2.421,-24.817,30.915,-4.451
1626372269441,2021-07-15T14.04.29.441,2.442,-24.207,27.805,-4.390
1626372269460,2021-07-15T14.04.29.460,2.461,-20.793,25.427,-3.720
1626372269479,2021-07-15T14.04.29.479,2.480,-18.232,22.744,-4.573
1626372269499,2021-07-15T14.04.29.499,2.500,-14.634,22.134,-4.756
1626372269518,2021-07-15T14.04.29.518,2.519,-12.805,21.524,-4.085
1626372269539,2021-07-15T14.04.29.539,2.540,-11.768,20.366,-3.598
1626372269558,2021-07-15T14.04.29.558,2.559,-10.976,19.146,-2.256
1626372269578,2021-07-15T14.04.29.578,2.579,-9.268,17.439,-1.646
1626372269597,2021-07-15T14.04.29.597,2.598,-7.683,15.122,-0.732
1626372269618,2021-07-15T14.04.29.618,2.619,-5.915,13.049,0.183
1626372269637,2021-07-15T14.04.29.637,2.638,-4.085,11.463,0.793
1626372269656,2021-07-15T14.04.29.656,2.657,-2.927,10.000,0.915
1626372269676,2021-07-15T14.04.29.676,2.677,-2.134,9.085,1.037
1626372269695,2021-07-15T14.04.29.695,2.696,-1.585,9.390,0.976
1626372269716,2021-07-15T14.04.29.716,2.717,-0.915,9.207,0.488
1626372269735,2021-07-15T14.04.29.735,2.736,-0.244,8.659,0.427
1626372269756,2021-07-15T14.04.29.756,2.757,-0.305,8.232,0.732
1626372269775,2021-07-15T14.04.29.775,2.776,-0.671,8.171,0.671
1626372269794,2021-07-15T14.04.29.794,2.795,-0.366,8.415,0.671
1626372269814,2021-07-15T14.04.29.814,2.815,-0.061,8.659,0.732
1626372269833,2021-07-15T14.04.29.833,2.834,-0.305,8.720,0.305
1626372269854,2021-07-15T14.04.29.854,2.855,-0.061,8.476,0.244
1626372269873,2021-07-15T14.04.29.873,2.874,0.488,8.415,0.305
1626372269893,2021-07-15T14.04.29.893,2.894,0.488,8.110,0.061
