epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1632151854000,2021-09-20T11.30.54.000,0.000,-0.183,-0.305,0.183
1632151854020,2021-09-20T11.30.54.020,0.020,0.427,0.183,0.366
1632151854039,2021-09-20T11.30.54.039,0.039,-0.061,0.305,0.366
1632151854060,2021-09-20T11.30.54.060,0.060,-0.122,0.305,0.305
1632151854079,2021-09-20T11.30.54.079,0.079,-0.244,0.244,0.488
1632151854099,2021-09-20T11.30.54.099,0.099,-0.305,0.305,0.610
1632151854118,2021-09-20T11.30.54.118,0.118,-0.183,0.427,0.549
1632151854139,2021-09-20T11.30.54.139,0.139,-0.122,0.427,0.488
1632151854158,2021-09-20T11.30.54.158,0.158,0.061,0.488,0.427
1632151854178,2021-09-20T11.30.54.178,0.178,-0.183,0.549,0.549
1632151854197,2021-09-20T11.30.54.197,0.197,-0.122,0.427,0.549
1632151854217,2021-09-20T11.30.54.217,0.217,0.061,0.549,0.427
1632151854237,2021-09-20T11.30.54.237,0.237,0.244,0.610,0.366
1632151854256,2021-09-20T11.30.54.256,0.256,0.061,0.671,0.305
1632151854277,2021-09-20T11.30.54.277,0.277,0.061,0.610,0.366
1632151854296,2021-09-20T11.30.54.296,0.296,0.061,0.549,0.427
1632151854316,2021-09-20T11.30.54.316,0.316,-0.122,0.610,0.427
1632151854335,2021-09-20T11.30.54.335,0.335,-0.244,0.610,0.366
1632151854356,2021-09-20T11.30.54.356,0.356,-0.061,0.549,0.305
1632151854375,2021-09-20T11.30.54.375,0.375,0.000,0.366,0.183
1632151854395,2021-09-20T11.30.54.395,0.395,-0.122,0.183,0.244
1632151854414,2021-09-20T11.30.54.414,0.414,-0.244,0.122,0.366
1632151854435,2021-09-20T11.30.54.435,0.435,-0.122,0.122,0.366
1632151854454,2021-09-20T11.30.54.454,0.454,0.000,0.183,0.305
1632151854473,2021-09-20T11.30.54.473,0.473,-0.122,0.183,0.366
1632151854493,2021-09-20T11.30.54.493,0.493,-0.122,0.183,0.305
1632151854512,2021-09-20T11.30.54.512,0.512,-0.122,0.122,0.305
1632151854533,2021-09-20T11.30.54.533,0.533,-0.061,0.061,0.122
1632151854552,2021-09-20T11.30.54.552,0.552,-0.061,0.122,0.183
1632151854572,2021-09-20T11.30.54.572,0.572,-0.061,0.122,0.183
1632151854592,2021-09-20T11.30.54.592,0.592,0.000,-0.061,0.122
1632151854612,2021-09-20T11.30.54.612,0.612,0.061,-0.122,0.122
1632151854631,2021-09-20T11.30.54.631,0.631,-0.061,-0.061,0.183
1632151854652,2021-09-20T11.30.54.652,0.652,-0.183,0.061,0.183
1632151854671,2021-09-20T11.30.54.671,0.671,-0.183,0.000,0.305
1632151854690,2021-09-20T11.30.54.690,0.690,-0.183,-0.061,0.244
1632151854710,2021-09-20T11.30.54.710,0.710,-0.061,-0.122,0.244
1632151854729,2021-09-20T11.30.54.729,0.729,-0.183,-0.061,0.305
1632151854750,2021-09-20T11.30.54.750,0.750,-0.366,-0.061,0.488
1632151854769,2021-09-20T11.30.54.769,0.769,-0.244,0.061,0.366
1632151854789,2021-09-20T11.30.54.789,0.789,0.061,0.122,0.061
1632151854808,2021-09-20T11.30.54.808,0.808,0.061,0.061,0.122
1632151854829,2021-09-20T11.30.54.829,0.829,-0.122,-0.061,0.305
1632151854848,2021-09-20T11.30.54.848,0.848,-0.122,0.000,0.305
1632151854868,2021-09-20T11.30.54.868,0.868,-0.183,-0.183,0.244
1632151854887,2021-09-20T11.30.54.887,0.887,-0.061,-0.305,0.122
1632151854908,2021-09-20T11.30.54.908,0.908,-0.061,-0.366,0.061
1632151854927,2021-09-20T11.30.54.927,0.927,-0.122,-0.305,0.244
1632151854946,2021-09-20T11.30.54.946,0.946,-0.122,-0.244,0.122
1632151854967,2021-09-20T11.30.54.967,0.967,-0.122,-0.366,-0.061
1632151854986,2021-09-20T11.30.54.986,0.986,0.183,-0.427,-0.122
1632151855006,2021-09-20T11.30.55.006,1.006,0.000,-0.366,0.061
1632151855025,2021-09-20T11.30.55.025,1.025,-0.183,-0.244,0.366
1632151855046,2021-09-20T11.30.55.046,1.046,-0.244,-0.244,0.366
1632151855065,2021-09-20T11.30.55.065,1.065,-0.061,-0.244,0.244
1632151855085,2021-09-20T11.30.55.085,1.085,0.183,-0.183,0.183
1632151855104,2021-09-20T11.30.55.104,1.104,0.061,-0.122,0.305
1632151855125,2021-09-20T11.30.55.125,1.125,-0.183,0.000,0.549
1632151855144,2021-09-20T11.30.55.144,1.144,-0.244,0.061,0.549
1632151855163,2021-09-20T11.30.55.163,1.163,-0.061,0.183,0.366
1632151855183,2021-09-20T11.30.55.183,1.183,0.061,0.366,0.305
1632151855202,2021-09-20T11.30.55.202,1.202,0.000,0.427,0.244
1632151855223,2021-09-20T11.30.55.223,1.223,-0.061,0.366,0.244
