epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1626103901427,2021-07-12T11.31.41.427,0.000,0.000,0.305,-0.610
1626103901447,2021-07-12T11.31.41.447,0.020,-0.061,0.305,-0.610
1626103901467,2021-07-12T11.31.41.467,0.040,-0.122,0.122,-0.610
1626103901486,2021-07-12T11.31.41.486,0.059,-0.122,0.122,-0.549
1626103901506,2021-07-12T11.31.41.506,0.079,-0.061,0.122,-0.488
1626103901525,2021-07-12T11.31.41.525,0.098,-0.122,0.061,-0.549
1626103901546,2021-07-12T11.31.41.546,0.119,-0.244,0.061,-0.488
1626103901565,2021-07-12T11.31.41.565,0.138,-0.366,0.000,-0.488
1626103901585,2021-07-12T11.31.41.585,0.158,-0.366,0.000,-0.488
1626103901604,2021-07-12T11.31.41.604,0.177,-0.244,0.000,-0.549
1626103901625,2021-07-12T11.31.41.625,0.198,-0.244,0.061,-0.549
1626103901644,2021-07-12T11.31.41.644,0.217,-0.305,0.061,-0.549
1626103901663,2021-07-12T11.31.41.663,0.236,-0.244,0.122,-0.549
1626103901683,2021-07-12T11.31.41.683,0.256,-0.183,0.183,-0.488
1626103901702,2021-07-12T11.31.41.702,0.275,-0.122,0.244,-0.488
1626103901723,2021-07-12T11.31.41.723,0.296,-0.122,0.305,-0.488
1626103901742,2021-07-12T11.31.41.742,0.315,-0.183,0.305,-0.488
1626103901762,2021-07-12T11.31.41.762,0.335,-0.183,0.305,-0.488
1626103901781,2021-07-12T11.31.41.781,0.354,-0.183,0.244,-0.488
1626103901802,2021-07-12T11.31.41.802,0.375,-0.122,0.244,-0.549
1626103901821,2021-07-12T11.31.41.821,0.394,-0.061,0.244,-0.549
1626103901840,2021-07-12T11.31.41.840,0.413,-0.061,0.244,-0.549
1626103901861,2021-07-12T11.31.41.861,0.434,-0.122,0.183,-0.488
1626103901880,2021-07-12T11.31.41.880,0.453,-0.122,0.244,-0.427
1626103901900,2021-07-12T11.31.41.900,0.473,-0.183,0.244,-0.488
1626103901919,2021-07-12T11.31.41.919,0.492,-0.122,0.244,-0.549
1626103901940,2021-07-12T11.31.41.940,0.513,-0.122,0.244,-0.488
1626103901959,2021-07-12T11.31.41.959,0.532,-0.183,0.244,-0.427
1626103901978,2021-07-12T11.31.41.978,0.551,-0.244,0.183,-0.427
1626103901998,2021-07-12T11.31.41.998,0.571,-0.183,0.244,-0.488
1626103902017,2021-07-12T11.31.42.017,0.590,-0.122,0.244,-0.549
1626103902038,2021-07-12T11.31.42.038,0.611,-0.122,0.244,-0.549
1626103902057,2021-07-12T11.31.42.057,0.630,-0.122,0.244,-0.488
1626103902077,2021-07-12T11.31.42.077,0.650,-0.183,0.305,-0.488
1626103902096,2021-07-12T11.31.42.096,0.669,-0.183,0.244,-0.549
1626103902115,2021-07-12T11.31.42.115,0.688,-0.122,0.244,-0.549
1626103902136,2021-07-12T11.31.42.136,0.709,-0.122,0.244,-0.488
1626103902155,2021-07-12T11.31.42.155,0.728,-0.183,0.305,-0.488
1626103902175,2021-07-12T11.31.42.175,0.748,-0.244,0.244,-0.488
1626103902195,2021-07-12T11.31.42.195,0.768,-0.183,0.183,-0.427
1626103902215,2021-07-12T11.31.42.215,0.788,-0.122,0.183,-0.488
1626103902234,2021-07-12T11.31.42.234,0.807,-0.122,0.244,-0.488
1626103902255,2021-07-12T11.31.42.255,0.828,-0.122,0.305,-0.488
1626103902274,2021-07-12T11.31.42.274,0.847,-0.183,0.183,-0.549
1626103902293,2021-07-12T11.31.42.293,0.866,-0.122,0.183,-0.488
1626103902313,2021-07-12T11.31.42.313,0.886,-0.183,0.183,-0.549
1626103902332,2021-07-12T11.31.42.332,0.905,-0.183,0.183,-0.549
1626103902353,2021-07-12T11.31.42.353,0.926,-0.122,0.244,-0.549
1626103902372,2021-07-12T11.31.42.372,0.945,-0.122,0.244,-0.488
1626103902392,2021-07-12T11.31.42.392,0.965,0.000,0.305,-0.549
1626103902411,2021-07-12T11.31.42.411,0.984,-0.061,0.427,-0.488
1626103902432,2021-07-12T11.31.42.432,1.005,-0.183,0.366,-0.427
1626103902451,2021-07-12T11.31.42.451,1.024,-0.183,0.366,-0.488
1626103902470,2021-07-12T11.31.42.470,1.043,-0.061,0.305,-0.549
1626103902490,2021-07-12T11.31.42.490,1.063,0.000,0.305,-0.488
1626103902509,2021-07-12T11.31.42.509,1.082,-0.122,0.244,-0.488
1626103902530,2021-07-12T11.31.42.530,1.103,-0.122,0.305,-0.549
1626103902549,2021-07-12T11.31.42.549,1.122,-0.183,0.305,-0.427
1626103902570,2021-07-12T11.31.42.570,1.143,-0.183,0.305,-0.427
1626103902589,2021-07-12T11.31.42.589,1.162,-0.122,0.305,-0.427
1626103902608,2021-07-12T11.31.42.608,1.181,-0.061,0.366,-0.488
1626103902628,2021-07-12T11.31.42.628,1.201,-0.061,0.366,-0.488
1626103902647,2021-07-12T11.31.42.647,1.220,-0.122,0.366,-0.427
1626103902668,2021-07-12T11.31.42.668,1.241,-0.183,0.305,-0.488
1626103902687,2021-07-12T11.31.42.687,1.260,-0.183,0.244,-0.488
1626103902707,2021-07-12T11.31.42.707,1.280,-0.061,0.244,-0.488
1626103902726,2021-07-12T11.31.42.726,1.299,-0.061,0.305,-0.549
1626103902745,2021-07-12T11.31.42.745,1.318,-0.061,0.305,-0.610
1626103902766,2021-07-12T11.31.42.766,1.339,-0.061,0.305,-0.488
1626103902785,2021-07-12T11.31.42.785,1.358,-0.122,0.305,-0.549
1626103902805,2021-07-12T11.31.42.805,1.378,-0.122,0.366,-0.549
1626103902824,2021-07-12T11.31.42.824,1.397,-0.061,0.366,-0.488
1626103902845,2021-07-12T11.31.42.845,1.418,-0.061,0.305,-0.488
1626103902864,2021-07-12T11.31.42.864,1.437,-0.183,0.305,-0.488
1626103902884,2021-07-12T11.31.42.884,1.457,-0.122,0.305,-0.549
1626103902904,2021-07-12T11.31.42.904,1.477,-0.061,0.305,-0.488
1626103902923,2021-07-12T11.31.42.923,1.496,-0.122,0.366,-0.488
1626103902943,2021-07-12T11.31.42.943,1.516,-0.122,0.244,-0.488
1626103902962,2021-07-12T11.31.42.962,1.535,-0.122,0.244,-0.488
1626103902983,2021-07-12T11.31.42.983,1.556,-0.122,0.244,-0.488
1626103903002,2021-07-12T11.31.43.002,1.575,-0.183,0.244,-0.488
1626103903022,2021-07-12T11.31.43.022,1.595,-0.183,0.244,-0.488
1626103903041,2021-07-12T11.31.43.041,1.614,-0.061,0.366,-0.488
1626103903060,2021-07-12T11.31.43.060,1.633,-0.061,0.427,-0.488
1626103903081,2021-07-12T11.31.43.081,1.654,-0.061,0.427,-0.488
1626103903100,2021-07-12T11.31.43.100,1.673,-0.183,0.366,-0.488
1626103903120,2021-07-12T11.31.43.120,1.693,-0.122,0.366,-0.488
1626103903139,2021-07-12T11.31.43.139,1.712,-0.061,0.427,-0.549
1626103903160,2021-07-12T11.31.43.160,1.733,0.000,0.427,-0.549
1626103903179,2021-07-12T11.31.43.179,1.752,0.061,0.427,-0.549
1626103903199,2021-07-12T11.31.43.199,1.772,0.000,0.488,-0.549
1626103903218,2021-07-12T11.31.43.218,1.791,0.061,0.488,-0.488
1626103903238,2021-07-12T11.31.43.238,1.811,0.122,0.549,-0.488
1626103903258,2021-07-12T11.31.43.258,1.831,0.061,0.610,-0.488
1626103903277,2021-07-12T11.31.43.277,1.850,0.061,0.610,-0.488
1626103903298,2021-07-12T11.31.43.298,1.871,0.000,0.488,-0.488
1626103903317,2021-07-12T11.31.43.317,1.890,-0.061,0.427,-0.366
1626103903337,2021-07-12T11.31.43.337,1.910,-0.122,0.366,-0.366
1626103903356,2021-07-12T11.31.43.356,1.929,-0.061,0.427,-0.427
1626103903375,2021-07-12T11.31.43.375,1.948,-0.061,0.427,-0.488
1626103903396,2021-07-12T11.31.43.396,1.969,0.061,0.427,-0.549
1626103903415,2021-07-12T11.31.43.415,1.988,-0.061,0.366,-0.549
1626103903435,2021-07-12T11.31.43.435,2.008,-0.061,0.366,-0.488
1626103903454,2021-07-12T11.31.43.454,2.027,-0.061,0.305,-0.488
1626103903475,2021-07-12T11.31.43.475,2.048,-0.183,0.305,-0.488
1626103903494,2021-07-12T11.31.43.494,2.067,-0.122,0.305,-0.488
1626103903514,2021-07-12T11.31.43.514,2.087,-0.061,0.305,-0.488
1626103903533,2021-07-12T11.31.43.533,2.106,-0.061,0.366,-0.488
1626103903552,2021-07-12T11.31.43.552,2.125,-0.061,0.427,-0.549
1626103903573,2021-07-12T11.31.43.573,2.146,-0.122,0.366,-0.488
1626103903592,2021-07-12T11.31.43.592,2.165,-0.061,0.366,-0.488
1626103903613,2021-07-12T11.31.43.613,2.186,0.000,0.427,-0.549
1626103903632,2021-07-12T11.31.43.632,2.205,0.000,0.488,-0.549
1626103903652,2021-07-12T11.31.43.652,2.225,0.122,0.488,-0.610
1626103903671,2021-07-12T11.31.43.671,2.244,0.122,0.488,-0.549
1626103903690,2021-07-12T11.31.43.690,2.263,0.000,0.366,-0.488
1626103903711,2021-07-12T11.31.43.711,2.284,-0.183,0.366,-0.427
1626103903730,2021-07-12T11.31.43.730,2.303,-0.122,0.366,-0.427
1626103903750,2021-07-12T11.31.43.750,2.323,-0.183,0.305,-0.427
1626103903769,2021-07-12T11.31.43.769,2.342,-0.244,0.244,-0.427
1626103903790,2021-07-12T11.31.43.790,2.363,-0.183,0.244,-0.549
1626103903809,2021-07-12T11.31.43.809,2.382,-0.183,0.244,-0.549
1626103903829,2021-07-12T11.31.43.829,2.402,-0.183,0.244,-0.488
1626103903848,2021-07-12T11.31.43.848,2.421,-0.061,0.244,-0.549
1626103903867,2021-07-12T11.31.43.867,2.440,-0.061,0.244,-0.549
1626103903888,2021-07-12T11.31.43.888,2.461,-0.122,0.244,-0.549
1626103903907,2021-07-12T11.31.43.907,2.480,-0.061,0.244,-0.488
1626103903927,2021-07-12T11.31.43.927,2.500,-0.122,0.244,-0.488
1626103903946,2021-07-12T11.31.43.946,2.519,-0.122,0.183,-0.488
1626103903967,2021-07-12T11.31.43.967,2.540,-0.183,0.244,-0.427
1626103903986,2021-07-12T11.31.43.986,2.559,-0.183,0.244,-0.488
1626103904005,2021-07-12T11.31.44.005,2.578,-0.122,0.183,-0.427
1626103904026,2021-07-12T11.31.44.026,2.599,-0.183,0.122,-0.427
1626103904045,2021-07-12T11.31.44.045,2.618,-0.183,0.183,-0.488
1626103904065,2021-07-12T11.31.44.065,2.638,-0.183,0.244,-0.488
1626103904084,2021-07-12T11.31.44.084,2.657,-0.183,0.183,-0.549
1626103904105,2021-07-12T11.31.44.105,2.678,-0.183,0.183,-0.427
1626103904124,2021-07-12T11.31.44.124,2.697,-0.183,0.122,-0.488
1626103904144,2021-07-12T11.31.44.144,2.717,-0.183,0.122,-0.549
1626103904163,2021-07-12T11.31.44.163,2.736,-0.122,0.183,-0.549
1626103904182,2021-07-12T11.31.44.182,2.755,-0.061,0.244,-0.549
1626103904203,2021-07-12T11.31.44.203,2.776,-0.061,0.305,-0.610
1626103904222,2021-07-12T11.31.44.222,2.795,-0.122,0.305,-0.549
1626103904242,2021-07-12T11.31.44.242,2.815,-0.061,0.244,-0.549
1626103904261,2021-07-12T11.31.44.261,2.834,-0.122,0.183,-0.488
1626103904282,2021-07-12T11.31.44.282,2.855,-0.122,0.183,-0.427
