epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1622217763202,2021-05-28T12.02.43.202,0.000,0.488,-0.366,0.061
1622217763221,2021-05-28T12.02.43.221,0.019,0.305,-0.366,0.488
1622217763242,2021-05-28T12.02.43.242,0.040,0.122,-0.366,0.061
1622217763261,2021-05-28T12.02.43.261,0.059,0.183,-0.427,0.000
1622217763281,2021-05-28T12.02.43.281,0.079,0.122,-0.549,0.000
1622217763301,2021-05-28T12.02.43.301,0.099,0.122,-0.549,0.000
1622217763321,2021-05-28T12.02.43.321,0.119,0.122,-0.427,0.061
1622217763342,2021-05-28T12.02.43.342,0.140,0.244,-0.488,0.061
1622217763361,2021-05-28T12.02.43.361,0.159,0.427,-0.488,0.061
1622217763381,2021-05-28T12.02.43.381,0.179,0.610,-0.427,0.061
1622217763400,2021-05-28T12.02.43.400,0.198,0.732,-0.366,0.000
1622217763421,2021-05-28T12.02.43.421,0.219,0.671,-0.366,0.061
1622217763441,2021-05-28T12.02.43.441,0.239,0.488,-0.366,0.122
1622217763460,2021-05-28T12.02.43.460,0.258,0.244,-0.427,0.061
1622217763481,2021-05-28T12.02.43.481,0.279,0.305,-0.427,0.061
1622217763500,2021-05-28T12.02.43.500,0.298,0.244,-0.488,-0.061
1622217763520,2021-05-28T12.02.43.520,0.318,0.305,-0.427,-0.061
1622217763539,2021-05-28T12.02.43.539,0.337,0.366,-0.305,0.061
1622217763560,2021-05-28T12.02.43.560,0.358,0.427,-0.366,0.000
1622217763580,2021-05-28T12.02.43.580,0.378,0.366,-0.427,0.000
1622217763599,2021-05-28T12.02.43.599,0.397,0.183,-0.488,-0.061
1622217763620,2021-05-28T12.02.43.620,0.418,0.122,-0.488,0.000
1622217763639,2021-05-28T12.02.43.639,0.437,0.122,-0.488,0.122
1622217763659,2021-05-28T12.02.43.659,0.457,0.122,-0.427,0.122
1622217763680,2021-05-28T12.02.43.680,0.478,0.305,-0.366,0.061
1622217763699,2021-05-28T12.02.43.699,0.497,0.427,-0.366,0.061
1622217763719,2021-05-28T12.02.43.719,0.517,0.427,-0.366,0.061
1622217763739,2021-05-28T12.02.43.739,0.537,0.488,-0.366,0.061
1622217763759,2021-05-28T12.02.43.759,0.557,0.366,-0.488,0.122
1622217763778,2021-05-28T12.02.43.778,0.576,0.366,-0.427,0.061
1622217763799,2021-05-28T12.02.43.799,0.597,0.305,-0.427,0.061
1622217763819,2021-05-28T12.02.43.819,0.617,0.366,-0.366,0.000
1622217763838,2021-05-28T12.02.43.838,0.636,0.366,-0.366,0.061
1622217763859,2021-05-28T12.02.43.859,0.657,0.244,-0.366,0.061
1622217763878,2021-05-28T12.02.43.878,0.676,0.305,-0.366,0.061
1622217763898,2021-05-28T12.02.43.898,0.696,0.244,-0.427,0.122
1622217763919,2021-05-28T12.02.43.919,0.717,0.244,-0.366,0.122
1622217763938,2021-05-28T12.02.43.938,0.736,0.244,-0.427,0.061
1622217763958,2021-05-28T12.02.43.958,0.756,0.305,-0.549,0.000
1622217763977,2021-05-28T12.02.43.977,0.775,0.244,-0.488,-0.061
1622217763998,2021-05-28T12.02.43.998,0.796,0.122,-0.488,-0.061
1622217764017,2021-05-28T12.02.44.017,0.815,0.183,-0.549,-0.061
1622217764037,2021-05-28T12.02.44.037,0.835,0.244,-0.427,-0.061
1622217764058,2021-05-28T12.02.44.058,0.856,0.183,-0.488,-0.061
