epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1632322032321,2021-09-22T10.47.12.321,0.000,0.853,0.089,0.504
1632322032342,2021-09-22T10.47.12.342,0.021,0.859,0.089,0.509
1632322032361,2021-09-22T10.47.12.361,0.040,0.859,0.091,0.506
1632322032381,2021-09-22T10.47.12.381,0.060,0.859,0.090,0.506
1632322032400,2021-09-22T10.47.12.400,0.079,0.859,0.091,0.507
1632322032421,2021-09-22T10.47.12.421,0.100,0.859,0.092,0.505
1632322032440,2021-09-22T10.47.12.440,0.119,0.860,0.090,0.506
1632322032460,2021-09-22T10.47.12.460,0.139,0.859,0.092,0.505
1632322032480,2021-09-22T10.47.12.480,0.159,0.858,0.089,0.504
1632322032500,2021-09-22T10.47.12.500,0.179,0.860,0.091,0.505
1632322032519,2021-09-22T10.47.12.519,0.198,0.860,0.090,0.506
1632322032540,2021-09-22T10.47.12.540,0.219,0.858,0.090,0.506
1632322032560,2021-09-22T10.47.12.560,0.239,0.860,0.089,0.507
1632322032579,2021-09-22T10.47.12.579,0.258,0.859,0.091,0.507
1632322032600,2021-09-22T10.47.12.600,0.279,0.859,0.091,0.506
1632322032619,2021-09-22T10.47.12.619,0.298,0.859,0.090,0.505
1632322032639,2021-09-22T10.47.12.639,0.318,0.859,0.090,0.506
1632322032658,2021-09-22T10.47.12.658,0.337,0.858,0.089,0.507
1632322032679,2021-09-22T10.47.12.679,0.358,0.858,0.090,0.505
1632322032698,2021-09-22T10.47.12.698,0.377,0.859,0.091,0.506
1632322032718,2021-09-22T10.47.12.718,0.397,0.858,0.092,0.506
1632322032737,2021-09-22T10.47.12.737,0.416,0.858,0.089,0.507
1632322032758,2021-09-22T10.47.12.758,0.437,0.858,0.091,0.507
1632322032778,2021-09-22T10.47.12.778,0.457,0.859,0.091,0.507
1632322032797,2021-09-22T10.47.12.797,0.476,0.861,0.091,0.505
1632322032818,2021-09-22T10.47.12.818,0.497,0.861,0.090,0.505
1632322032837,2021-09-22T10.47.12.837,0.516,0.857,0.091,0.506
1632322032857,2021-09-22T10.47.12.857,0.536,0.858,0.091,0.505
1632322032877,2021-09-22T10.47.12.877,0.556,0.860,0.090,0.508
1632322032897,2021-09-22T10.47.12.897,0.576,0.859,0.089,0.508
1632322032916,2021-09-22T10.47.12.916,0.595,0.859,0.089,0.505
1632322032937,2021-09-22T10.47.12.937,0.616,0.859,0.088,0.507
1632322032956,2021-09-22T10.47.12.956,0.635,0.859,0.092,0.507
1632322032976,2021-09-22T10.47.12.976,0.655,0.859,0.089,0.509
1632322032997,2021-09-22T10.47.12.997,0.676,0.860,0.090,0.507
1632322033016,2021-09-22T10.47.13.016,0.695,0.859,0.090,0.508
1632322033036,2021-09-22T10.47.13.036,0.715,0.858,0.091,0.508
1632322033055,2021-09-22T10.47.13.055,0.734,0.859,0.089,0.506
1632322033076,2021-09-22T10.47.13.076,0.755,0.860,0.088,0.507
1632322033095,2021-09-22T10.47.13.095,0.774,0.860,0.090,0.505
1632322033115,2021-09-22T10.47.13.115,0.794,0.858,0.090,0.507
1632322033134,2021-09-22T10.47.13.134,0.813,0.858,0.090,0.507
1632322033155,2021-09-22T10.47.13.155,0.834,0.859,0.089,0.507
1632322033174,2021-09-22T10.47.13.174,0.853,0.858,0.090,0.507
