epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1632410597558,2021-09-23T11.23.17.558,0.000,0.378,0.129,0.924
1632410597577,2021-09-23T11.23.17.577,0.019,0.382,0.129,0.932
1632410597597,2021-09-23T11.23.17.597,0.039,0.381,0.128,0.930
1632410597618,2021-09-23T11.23.17.618,0.060,0.383,0.129,0.930
1632410597638,2021-09-23T11.23.17.638,0.080,0.382,0.129,0.929
1632410597659,2021-09-23T11.23.17.659,0.101,0.383,0.127,0.929
1632410597679,2021-09-23T11.23.17.679,0.121,0.382,0.128,0.930
1632410597700,2021-09-23T11.23.17.700,0.142,0.383,0.128,0.929
1632410597719,2021-09-23T11.23.17.719,0.161,0.383,0.129,0.930
1632410597739,2021-09-23T11.23.17.739,0.181,0.383,0.129,0.930
1632410597760,2021-09-23T11.23.17.760,0.202,0.382,0.128,0.930
1632410597780,2021-09-23T11.23.17.780,0.222,0.382,0.130,0.930
1632410597801,2021-09-23T11.23.17.801,0.243,0.383,0.129,0.930
1632410597821,2021-09-23T11.23.17.821,0.263,0.382,0.130,0.930
1632410597842,2021-09-23T11.23.17.842,0.284,0.384,0.128,0.929
1632410597862,2021-09-23T11.23.17.862,0.304,0.382,0.129,0.931
1632410597882,2021-09-23T11.23.17.882,0.324,0.383,0.129,0.931
1632410597902,2021-09-23T11.23.17.902,0.344,0.381,0.128,0.929
1632410597923,2021-09-23T11.23.17.923,0.365,0.381,0.127,0.930
1632410597943,2021-09-23T11.23.17.943,0.385,0.382,0.128,0.929
1632410597964,2021-09-23T11.23.17.964,0.406,0.382,0.131,0.931
1632410597984,2021-09-23T11.23.17.984,0.426,0.381,0.129,0.931
1632410598005,2021-09-23T11.23.18.005,0.447,0.380,0.130,0.931
1632410598024,2021-09-23T11.23.18.024,0.466,0.381,0.131,0.931
1632410598044,2021-09-23T11.23.18.044,0.486,0.378,0.130,0.931
1632410598065,2021-09-23T11.23.18.065,0.507,0.380,0.129,0.932
1632410598085,2021-09-23T11.23.18.085,0.527,0.379,0.128,0.932
1632410598106,2021-09-23T11.23.18.106,0.548,0.377,0.128,0.932
1632410598126,2021-09-23T11.23.18.126,0.568,0.379,0.130,0.932
1632410598147,2021-09-23T11.23.18.147,0.589,0.378,0.130,0.931
1632410598166,2021-09-23T11.23.18.166,0.608,0.375,0.129,0.932
1632410598186,2021-09-23T11.23.18.186,0.628,0.376,0.129,0.931
1632410598207,2021-09-23T11.23.18.207,0.649,0.377,0.129,0.932
1632410598227,2021-09-23T11.23.18.227,0.669,0.376,0.130,0.932
1632410598248,2021-09-23T11.23.18.248,0.690,0.378,0.129,0.931
1632410598268,2021-09-23T11.23.18.268,0.710,0.378,0.129,0.933
1632410598289,2021-09-23T11.23.18.289,0.731,0.377,0.128,0.933
1632410598309,2021-09-23T11.23.18.309,0.751,0.376,0.129,0.933
1632410598328,2021-09-23T11.23.18.328,0.770,0.377,0.130,0.932
1632410598349,2021-09-23T11.23.18.349,0.791,0.379,0.130,0.934
1632410598369,2021-09-23T11.23.18.369,0.811,0.378,0.130,0.933
1632410598390,2021-09-23T11.23.18.390,0.832,0.377,0.130,0.933
1632410598410,2021-09-23T11.23.18.410,0.852,0.378,0.130,0.933
1632410598431,2021-09-23T11.23.18.431,0.873,0.376,0.129,0.933
1632410598450,2021-09-23T11.23.18.450,0.892,0.376,0.129,0.933
1632410598470,2021-09-23T11.23.18.470,0.912,0.376,0.130,0.931
1632410598491,2021-09-23T11.23.18.491,0.933,0.375,0.129,0.932
1632410598511,2021-09-23T11.23.18.511,0.953,0.377,0.129,0.931
1632410598532,2021-09-23T11.23.18.532,0.974,0.378,0.129,0.932
1632410598552,2021-09-23T11.23.18.552,0.994,0.377,0.130,0.930
1632410598573,2021-09-23T11.23.18.573,1.015,0.377,0.128,0.931
1632410598593,2021-09-23T11.23.18.593,1.035,0.375,0.129,0.933
1632410598612,2021-09-23T11.23.18.612,1.054,0.379,0.129,0.934
1632410598633,2021-09-23T11.23.18.633,1.075,0.378,0.130,0.933
1632410598653,2021-09-23T11.23.18.653,1.095,0.378,0.130,0.933
1632410598674,2021-09-23T11.23.18.674,1.116,0.377,0.131,0.932
1632410598694,2021-09-23T11.23.18.694,1.136,0.377,0.129,0.932
1632410598715,2021-09-23T11.23.18.715,1.157,0.377,0.128,0.934
1632410598736,2021-09-23T11.23.18.736,1.178,0.377,0.129,0.934
1632410598755,2021-09-23T11.23.18.755,1.197,0.378,0.130,0.933
1632410598775,2021-09-23T11.23.18.775,1.217,0.378,0.130,0.932
1632410598796,2021-09-23T11.23.18.796,1.238,0.378,0.131,0.932
1632410598816,2021-09-23T11.23.18.816,1.258,0.378,0.131,0.933
1632410598837,2021-09-23T11.23.18.837,1.279,0.377,0.130,0.932
1632410598857,2021-09-23T11.23.18.857,1.299,0.379,0.130,0.932
1632410598878,2021-09-23T11.23.18.878,1.320,0.378,0.130,0.934
1632410598897,2021-09-23T11.23.18.897,1.339,0.376,0.129,0.932
1632410598917,2021-09-23T11.23.18.917,1.359,0.376,0.130,0.933
1632410598938,2021-09-23T11.23.18.938,1.380,0.378,0.131,0.931
1632410598958,2021-09-23T11.23.18.958,1.400,0.377,0.132,0.933
1632410598979,2021-09-23T11.23.18.979,1.421,0.378,0.130,0.933
1632410598999,2021-09-23T11.23.18.999,1.441,0.376,0.129,0.932
1632410599020,2021-09-23T11.23.19.020,1.462,0.377,0.130,0.932
1632410599039,2021-09-23T11.23.19.039,1.481,0.377,0.131,0.932
1632410599059,2021-09-23T11.23.19.059,1.501,0.376,0.131,0.931
1632410599080,2021-09-23T11.23.19.080,1.522,0.376,0.130,0.932
1632410599100,2021-09-23T11.23.19.100,1.542,0.376,0.131,0.932
1632410599121,2021-09-23T11.23.19.121,1.563,0.377,0.131,0.931
1632410599141,2021-09-23T11.23.19.141,1.583,0.377,0.131,0.933
1632410599162,2021-09-23T11.23.19.162,1.604,0.377,0.130,0.933
1632410599181,2021-09-23T11.23.19.181,1.623,0.379,0.131,0.931
1632410599201,2021-09-23T11.23.19.201,1.643,0.376,0.130,0.933
1632410599222,2021-09-23T11.23.19.222,1.664,0.377,0.129,0.934
1632410599242,2021-09-23T11.23.19.242,1.684,0.379,0.129,0.933
1632410599263,2021-09-23T11.23.19.263,1.705,0.380,0.130,0.933
1632410599283,2021-09-23T11.23.19.283,1.725,0.380,0.129,0.933
1632410599304,2021-09-23T11.23.19.304,1.746,0.378,0.131,0.933
1632410599324,2021-09-23T11.23.19.324,1.766,0.377,0.129,0.931
1632410599343,2021-09-23T11.23.19.343,1.785,0.379,0.130,0.933
1632410599364,2021-09-23T11.23.19.364,1.806,0.378,0.131,0.934
1632410599384,2021-09-23T11.23.19.384,1.826,0.379,0.131,0.933
1632410599405,2021-09-23T11.23.19.405,1.847,0.378,0.130,0.933
1632410599425,2021-09-23T11.23.19.425,1.867,0.379,0.129,0.932
1632410599446,2021-09-23T11.23.19.446,1.888,0.379,0.130,0.931
1632410599466,2021-09-23T11.23.19.466,1.908,0.379,0.129,0.931
1632410599486,2021-09-23T11.23.19.486,1.928,0.380,0.131,0.932
1632410599506,2021-09-23T11.23.19.506,1.948,0.378,0.131,0.933
1632410599527,2021-09-23T11.23.19.527,1.969,0.380,0.130,0.931
1632410599547,2021-09-23T11.23.19.547,1.989,0.379,0.130,0.932
1632410599568,2021-09-23T11.23.19.568,2.010,0.378,0.130,0.932
1632410599588,2021-09-23T11.23.19.588,2.030,0.380,0.131,0.932
1632410599609,2021-09-23T11.23.19.609,2.051,0.380,0.130,0.933
1632410599628,2021-09-23T11.23.19.628,2.070,0.378,0.130,0.934
1632410599648,2021-09-23T11.23.19.648,2.090,0.378,0.132,0.932
1632410599669,2021-09-23T11.23.19.669,2.111,0.377,0.132,0.933
1632410599689,2021-09-23T11.23.19.689,2.131,0.379,0.130,0.933
1632410599710,2021-09-23T11.23.19.710,2.152,0.380,0.130,0.932
