epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1626372265316,2021-07-15T14.04.25.316,0.000,0.778,0.090,0.518
1626372265336,2021-07-15T14.04.25.336,0.020,0.770,0.099,0.553
1626372265357,2021-07-15T14.04.25.357,0.041,0.767,0.062,0.568
1626372265377,2021-07-15T14.04.25.377,0.061,0.758,0.038,0.603
1626372265398,2021-07-15T14.04.25.398,0.082,0.763,0.028,0.611
1626372265417,2021-07-15T14.04.25.417,0.101,0.775,0.013,0.578
1626372265437,2021-07-15T14.04.25.437,0.121,0.748,0.038,0.566
1626372265458,2021-07-15T14.04.25.458,0.142,0.616,-0.051,0.866
1626372265478,2021-07-15T14.04.25.478,0.162,0.765,-0.211,0.801
1626372265499,2021-07-15T14.04.25.499,0.183,0.802,-0.191,0.687
1626372265519,2021-07-15T14.04.25.519,0.203,0.753,-0.133,0.699
1626372265540,2021-07-15T14.04.25.540,0.224,0.724,-0.036,0.670
1626372265559,2021-07-15T14.04.25.559,0.243,0.693,0.017,0.674
1626372265580,2021-07-15T14.04.25.580,0.264,0.694,-0.009,0.682
1626372265600,2021-07-15T14.04.25.600,0.284,0.729,-0.046,0.666
1626372265621,2021-07-15T14.04.25.621,0.305,0.738,-0.058,0.660
1626372265641,2021-07-15T14.04.25.641,0.325,0.734,-0.054,0.661
1626372265662,2021-07-15T14.04.25.662,0.346,0.735,-0.048,0.668
1626372265682,2021-07-15T14.04.25.682,0.366,0.734,-0.050,0.672
1626372265701,2021-07-15T14.04.25.701,0.385,0.730,-0.053,0.677
1626372265722,2021-07-15T14.04.25.722,0.406,0.733,-0.059,0.683
1626372265742,2021-07-15T14.04.25.742,0.426,0.730,-0.051,0.681
1626372265763,2021-07-15T14.04.25.763,0.447,0.715,-0.046,0.678
1626372265783,2021-07-15T14.04.25.783,0.467,0.706,-0.046,0.679
1626372265804,2021-07-15T14.04.25.804,0.488,0.711,-0.051,0.680
1626372265824,2021-07-15T14.04.25.824,0.508,0.714,-0.053,0.683
1626372265843,2021-07-15T14.04.25.843,0.527,0.715,-0.050,0.685
1626372265864,2021-07-15T14.04.25.864,0.548,0.712,-0.050,0.684
1626372265884,2021-07-15T14.04.25.884,0.568,0.716,-0.054,0.683
1626372265905,2021-07-15T14.04.25.905,0.589,0.723,-0.057,0.688
1626372265925,2021-07-15T14.04.25.925,0.609,0.723,-0.058,0.688
1626372265946,2021-07-15T14.04.25.946,0.630,0.718,-0.056,0.686
1626372265966,2021-07-15T14.04.25.966,0.650,0.719,-0.060,0.685
1626372265987,2021-07-15T14.04.25.987,0.671,0.723,-0.057,0.688
1626372266006,2021-07-15T14.04.26.006,0.690,0.715,-0.056,0.687
1626372266026,2021-07-15T14.04.26.026,0.710,0.710,-0.053,0.686
1626372266047,2021-07-15T14.04.26.047,0.731,0.725,-0.060,0.690
1626372266067,2021-07-15T14.04.26.067,0.751,0.737,-0.063,0.694
1626372266088,2021-07-15T14.04.26.088,0.772,0.762,-0.068,0.684
1626372266108,2021-07-15T14.04.26.108,0.792,0.729,-0.058,0.693
1626372266129,2021-07-15T14.04.26.129,0.813,0.728,-0.058,0.698
1626372266148,2021-07-15T14.04.26.148,0.832,0.830,-0.065,0.693
1626372266168,2021-07-15T14.04.26.168,0.852,0.772,-0.066,0.704
1626372266189,2021-07-15T14.04.26.189,0.873,0.791,0.031,0.721
1626372266209,2021-07-15T14.04.26.209,0.893,0.726,0.070,0.741
1626372266230,2021-07-15T14.04.26.230,0.914,0.602,-0.029,0.743
1626372266250,2021-07-15T14.04.26.250,0.934,0.638,-0.071,0.730
1626372266271,2021-07-15T14.04.26.271,0.955,0.611,-0.057,0.747
1626372266290,2021-07-15T14.04.26.290,0.974,0.634,-0.066,0.750
1626372266310,2021-07-15T14.04.26.310,0.994,0.628,-0.051,0.760
