epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619620130921,2021-04-28T10.28.50.921,0.000,0.879,-0.044,0.362
1619620130941,2021-04-28T10.28.50.941,0.020,0.887,-0.043,0.367
1619620130960,2021-04-28T10.28.50.960,0.039,0.885,-0.042,0.366
1619620130981,2021-04-28T10.28.50.981,0.060,0.883,-0.040,0.367
1619620131001,2021-04-28T10.28.51.001,0.080,0.885,-0.040,0.369
1619620131022,2021-04-28T10.28.51.022,0.101,0.885,-0.042,0.367
1619620131042,2021-04-28T10.28.51.042,0.121,0.884,-0.038,0.360
1619620131061,2021-04-28T10.28.51.061,0.140,0.885,-0.032,0.361
1619620131082,2021-04-28T10.28.51.082,0.161,0.887,-0.040,0.379
1619620131102,2021-04-28T10.28.51.102,0.181,0.890,-0.053,0.381
1619620131123,2021-04-28T10.28.51.123,0.202,0.889,-0.051,0.374
1619620131142,2021-04-28T10.28.51.142,0.221,0.882,-0.042,0.363
1619620131163,2021-04-28T10.28.51.163,0.242,0.881,-0.035,0.354
1619620131183,2021-04-28T10.28.51.183,0.262,0.882,-0.038,0.361
1619620131204,2021-04-28T10.28.51.204,0.283,0.886,-0.043,0.370
1619620131224,2021-04-28T10.28.51.224,0.303,0.889,-0.047,0.382
1619620131243,2021-04-28T10.28.51.243,0.322,0.891,-0.050,0.386
1619620131264,2021-04-28T10.28.51.264,0.343,0.889,-0.049,0.382
1619620131284,2021-04-28T10.28.51.284,0.363,0.888,-0.043,0.384
1619620131305,2021-04-28T10.28.51.305,0.384,0.892,-0.043,0.390
1619620131324,2021-04-28T10.28.51.324,0.403,0.895,-0.042,0.403
1619620131344,2021-04-28T10.28.51.344,0.423,0.908,-0.044,0.422
1619620131365,2021-04-28T10.28.51.365,0.444,0.913,-0.041,0.455
1619620131385,2021-04-28T10.28.51.385,0.464,0.898,-0.086,0.474
1619620131406,2021-04-28T10.28.51.406,0.485,0.899,-0.092,0.483
1619620131425,2021-04-28T10.28.51.425,0.504,0.995,0.014,0.464
1619620131445,2021-04-28T10.28.51.445,0.524,0.898,0.091,0.537
1619620131466,2021-04-28T10.28.51.466,0.545,0.791,0.159,0.790
1619620131486,2021-04-28T10.28.51.486,0.565,0.650,0.374,0.992
1619620131507,2021-04-28T10.28.51.507,0.586,0.604,0.084,0.924
1619620131526,2021-04-28T10.28.51.526,0.605,0.534,-0.236,0.835
1619620131546,2021-04-28T10.28.51.546,0.625,0.650,-0.080,0.792
1619620131567,2021-04-28T10.28.51.567,0.646,0.640,-0.165,0.741
1619620131587,2021-04-28T10.28.51.587,0.666,0.652,-0.135,0.716
1619620131606,2021-04-28T10.28.51.606,0.685,0.708,-0.118,0.688
1619620131627,2021-04-28T10.28.51.627,0.706,0.745,-0.087,0.682
1619620131647,2021-04-28T10.28.51.647,0.726,0.784,-0.032,0.672
1619620131668,2021-04-28T10.28.51.668,0.747,0.783,0.041,0.670
1619620131688,2021-04-28T10.28.51.688,0.767,0.737,0.101,0.670
1619620131707,2021-04-28T10.28.51.707,0.786,0.719,0.208,0.682
1619620131728,2021-04-28T10.28.51.728,0.807,0.740,0.147,0.517
1619620131748,2021-04-28T10.28.51.748,0.827,1.000,-0.048,0.331
1619620131769,2021-04-28T10.28.51.769,0.848,1.059,0.240,0.362
1619620131789,2021-04-28T10.28.51.789,0.868,0.973,0.212,0.325
1619620131809,2021-04-28T10.28.51.809,0.888,0.870,0.138,0.275
1619620131829,2021-04-28T10.28.51.829,0.908,0.798,0.055,0.228
1619620131850,2021-04-28T10.28.51.850,0.929,0.752,0.046,0.207
1619620131870,2021-04-28T10.28.51.870,0.949,0.710,0.007,0.369
1619620131889,2021-04-28T10.28.51.889,0.968,0.769,0.053,0.875
