epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1637174362443,2021-11-17T13.39.22.443,0.000,0.327,0.234,0.932
1637174362463,2021-11-17T13.39.22.463,0.020,0.329,0.233,0.937
1637174362484,2021-11-17T13.39.22.484,0.041,0.330,0.231,0.935
1637174362505,2021-11-17T13.39.22.505,0.062,0.333,0.237,0.931
1637174362525,2021-11-17T13.39.22.525,0.082,0.330,0.231,0.926
1637174362546,2021-11-17T13.39.22.546,0.103,0.316,0.236,0.933
1637174362565,2021-11-17T13.39.22.565,0.122,0.313,0.205,0.937
1637174362585,2021-11-17T13.39.22.585,0.142,0.307,0.196,0.934
1637174362606,2021-11-17T13.39.22.606,0.163,0.293,0.165,0.943
1637174362626,2021-11-17T13.39.22.626,0.183,0.294,0.169,0.949
1637174362647,2021-11-17T13.39.22.647,0.204,0.299,0.166,0.922
1637174362667,2021-11-17T13.39.22.667,0.224,0.311,0.139,0.927
1637174362688,2021-11-17T13.39.22.688,0.245,0.324,0.172,0.939
1637174362707,2021-11-17T13.39.22.707,0.264,0.322,0.260,0.951
1637174362727,2021-11-17T13.39.22.727,0.284,0.317,0.312,0.945
1637174362748,2021-11-17T13.39.22.748,0.305,0.301,0.268,0.948
1637174362768,2021-11-17T13.39.22.768,0.325,0.300,0.190,0.970
1637174362789,2021-11-17T13.39.22.789,0.346,0.298,0.205,0.971
1637174362809,2021-11-17T13.39.22.809,0.366,0.303,0.223,0.957
1637174362830,2021-11-17T13.39.22.830,0.387,0.302,0.231,0.950
1637174362849,2021-11-17T13.39.22.849,0.406,0.305,0.240,0.943
1637174362869,2021-11-17T13.39.22.869,0.426,0.302,0.237,0.935
1637174362890,2021-11-17T13.39.22.890,0.447,0.309,0.204,0.938
1637174362910,2021-11-17T13.39.22.910,0.467,0.309,0.206,0.947
1637174362931,2021-11-17T13.39.22.931,0.488,0.311,0.232,0.947
1637174362951,2021-11-17T13.39.22.951,0.508,0.307,0.242,0.955
1637174362972,2021-11-17T13.39.22.972,0.529,0.313,0.245,0.964
1637174362991,2021-11-17T13.39.22.991,0.548,0.313,0.266,0.966
1637174363011,2021-11-17T13.39.23.011,0.568,0.281,0.249,0.980
1637174363032,2021-11-17T13.39.23.032,0.589,0.306,0.218,0.999
1637174363052,2021-11-17T13.39.23.052,0.609,0.369,0.224,1.007
1637174363073,2021-11-17T13.39.23.073,0.630,0.339,0.272,0.965
1637174363093,2021-11-17T13.39.23.093,0.650,0.298,0.266,0.914
1637174363114,2021-11-17T13.39.23.114,0.671,0.290,0.168,0.902
1637174363133,2021-11-17T13.39.23.133,0.690,0.452,-0.026,0.895
1637174363153,2021-11-17T13.39.23.153,0.710,0.474,0.291,0.783
1637174363174,2021-11-17T13.39.23.174,0.731,0.342,0.630,0.781
1637174363194,2021-11-17T13.39.23.194,0.751,0.352,0.262,0.808
1637174363215,2021-11-17T13.39.23.215,0.772,0.343,0.228,0.934
1637174363235,2021-11-17T13.39.23.235,0.792,0.235,0.186,0.951
1637174363256,2021-11-17T13.39.23.256,0.813,0.298,0.184,0.918
1637174363275,2021-11-17T13.39.23.275,0.832,0.453,0.341,0.855
1637174363296,2021-11-17T13.39.23.296,0.853,0.428,0.327,0.872
1637174363316,2021-11-17T13.39.23.316,0.873,0.380,0.240,0.907
1637174363337,2021-11-17T13.39.23.337,0.894,0.386,0.254,0.913
1637174363357,2021-11-17T13.39.23.357,0.914,0.354,0.244,0.968
1637174363378,2021-11-17T13.39.23.378,0.935,0.360,0.188,0.990
1637174363398,2021-11-17T13.39.23.398,0.955,0.391,0.133,1.030
1637174363417,2021-11-17T13.39.23.417,0.974,0.431,0.175,0.997
1637174363438,2021-11-17T13.39.23.438,0.995,0.381,0.063,0.974
1637174363458,2021-11-17T13.39.23.458,1.015,0.125,0.013,0.838
