epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635346031943,2021-10-27T10.47.11.943,0.000,0.427,-0.488,-0.244
1635346031962,2021-10-27T10.47.11.962,0.019,0.549,0.244,-0.122
1635346031983,2021-10-27T10.47.11.983,0.040,0.488,-0.183,-0.183
1635346032003,2021-10-27T10.47.12.003,0.060,0.427,-0.244,-0.183
1635346032023,2021-10-27T10.47.12.023,0.080,0.366,-0.183,-0.122
1635346032043,2021-10-27T10.47.12.043,0.100,0.427,-0.122,-0.122
1635346032062,2021-10-27T10.47.12.062,0.119,0.366,-0.122,-0.061
1635346032083,2021-10-27T10.47.12.083,0.140,0.427,-0.183,-0.122
1635346032102,2021-10-27T10.47.12.102,0.159,0.488,-0.183,-0.122
1635346032122,2021-10-27T10.47.12.122,0.179,0.549,-0.183,-0.183
1635346032141,2021-10-27T10.47.12.141,0.198,0.549,-0.183,-0.183
1635346032162,2021-10-27T10.47.12.162,0.219,0.549,-0.183,-0.244
1635346032181,2021-10-27T10.47.12.181,0.238,0.549,-0.183,-0.244
1635346032201,2021-10-27T10.47.12.201,0.258,0.549,-0.183,-0.305
1635346032222,2021-10-27T10.47.12.222,0.279,0.610,-0.183,-0.244
1635346032241,2021-10-27T10.47.12.241,0.298,0.549,-0.183,-0.244
1635346032261,2021-10-27T10.47.12.261,0.318,0.488,-0.122,-0.244
1635346032280,2021-10-27T10.47.12.280,0.337,0.488,-0.122,-0.183
1635346032301,2021-10-27T10.47.12.301,0.358,0.549,-0.122,-0.244
1635346032320,2021-10-27T10.47.12.320,0.377,0.488,-0.122,-0.183
1635346032340,2021-10-27T10.47.12.340,0.397,0.488,-0.122,-0.061
1635346032359,2021-10-27T10.47.12.359,0.416,0.488,-0.061,-0.061
1635346032380,2021-10-27T10.47.12.380,0.437,0.549,-0.061,-0.061
1635346032400,2021-10-27T10.47.12.400,0.457,0.549,-0.183,-0.183
1635346032420,2021-10-27T10.47.12.420,0.477,0.610,-0.183,-0.244
1635346032440,2021-10-27T10.47.12.440,0.497,0.610,-0.122,-0.305
1635346032459,2021-10-27T10.47.12.459,0.516,0.610,-0.061,-0.427
1635346032480,2021-10-27T10.47.12.480,0.537,0.549,-0.122,-0.427
1635346032499,2021-10-27T10.47.12.499,0.556,0.488,-0.061,-0.305
1635346032519,2021-10-27T10.47.12.519,0.576,0.366,-0.061,-0.244
1635346032538,2021-10-27T10.47.12.538,0.595,0.427,-0.122,-0.122
1635346032559,2021-10-27T10.47.12.559,0.616,0.366,-0.122,-0.061
1635346032578,2021-10-27T10.47.12.578,0.635,0.366,-0.122,-0.183
1635346032598,2021-10-27T10.47.12.598,0.655,0.488,-0.122,-0.183
1635346032617,2021-10-27T10.47.12.617,0.674,0.610,-0.244,-0.305
1635346032638,2021-10-27T10.47.12.638,0.695,0.671,-0.305,-0.366
1635346032658,2021-10-27T10.47.12.658,0.715,0.671,-0.183,-0.366
1635346032677,2021-10-27T10.47.12.677,0.734,0.610,-0.122,-0.244
1635346032698,2021-10-27T10.47.12.698,0.755,0.427,-0.061,-0.244
1635346032717,2021-10-27T10.47.12.717,0.774,0.305,-0.061,-0.122
1635346032737,2021-10-27T10.47.12.737,0.794,0.305,0.000,0.000
1635346032756,2021-10-27T10.47.12.756,0.813,0.305,0.061,-0.061
1635346032777,2021-10-27T10.47.12.777,0.834,0.305,0.061,-0.122
1635346032796,2021-10-27T10.47.12.796,0.853,0.427,-0.061,-0.183
1635346032816,2021-10-27T10.47.12.816,0.873,0.610,-0.122,-0.305
1635346032836,2021-10-27T10.47.12.836,0.893,0.610,-0.183,-0.427
1635346032856,2021-10-27T10.47.12.856,0.913,0.732,-0.183,-0.427
1635346032877,2021-10-27T10.47.12.877,0.934,0.793,-0.244,-0.305
1635346032896,2021-10-27T10.47.12.896,0.953,0.610,-0.244,-0.244
1635346032916,2021-10-27T10.47.12.916,0.973,0.488,-0.183,-0.183
1635346032935,2021-10-27T10.47.12.935,0.992,0.305,0.000,0.000
1635346032956,2021-10-27T10.47.12.956,1.013,0.183,-0.061,0.061
1635346032975,2021-10-27T10.47.12.975,1.032,0.244,-0.061,-0.061
1635346032995,2021-10-27T10.47.12.995,1.052,0.427,-0.122,-0.183
1635346033014,2021-10-27T10.47.13.014,1.071,0.549,-0.183,-0.305
1635346033035,2021-10-27T10.47.13.035,1.092,0.549,-0.183,-0.305
1635346033055,2021-10-27T10.47.13.055,1.112,0.671,-0.244,-0.366
1635346033074,2021-10-27T10.47.13.074,1.131,0.793,-0.244,-0.305
1635346033095,2021-10-27T10.47.13.095,1.152,0.671,-0.183,-0.183
1635346033114,2021-10-27T10.47.13.114,1.171,0.549,-0.122,-0.061
1635346033134,2021-10-27T10.47.13.134,1.191,0.488,-0.061,-0.061
1635346033153,2021-10-27T10.47.13.153,1.210,0.427,-0.183,-0.122
1635346033174,2021-10-27T10.47.13.174,1.231,0.427,-0.244,-0.244
1635346033193,2021-10-27T10.47.13.193,1.250,0.549,-0.183,-0.244
1635346033213,2021-10-27T10.47.13.213,1.270,0.488,-0.244,-0.244
1635346033233,2021-10-27T10.47.13.233,1.290,0.427,-0.244,-0.244
1635346033253,2021-10-27T10.47.13.253,1.310,0.427,-0.183,-0.183
1635346033274,2021-10-27T10.47.13.274,1.331,0.366,-0.305,-0.061
1635346033293,2021-10-27T10.47.13.293,1.350,0.305,-0.183,-0.061
1635346033313,2021-10-27T10.47.13.313,1.370,0.244,-0.183,0.000
1635346033332,2021-10-27T10.47.13.332,1.389,0.366,-0.183,-0.061
1635346033353,2021-10-27T10.47.13.353,1.410,0.488,-0.183,-0.122
1635346033372,2021-10-27T10.47.13.372,1.429,0.427,-0.244,-0.122
1635346033392,2021-10-27T10.47.13.392,1.449,0.549,-0.244,-0.244
1635346033411,2021-10-27T10.47.13.411,1.468,0.671,-0.061,-0.183
1635346033432,2021-10-27T10.47.13.432,1.489,0.488,0.000,-0.122
1635346033451,2021-10-27T10.47.13.451,1.508,0.366,0.000,-0.122
1635346033471,2021-10-27T10.47.13.471,1.528,0.427,-0.061,-0.183
1635346033492,2021-10-27T10.47.13.492,1.549,0.610,-0.305,-0.305
