epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1626372265295,2021-07-15T14.04.25.295,0.000,-5.854,14.207,7.012
1626372265316,2021-07-15T14.04.25.316,0.021,-6.524,15.000,7.683
1626372265336,2021-07-15T14.04.25.336,0.041,-8.293,19.085,10.976
1626372265357,2021-07-15T14.04.25.357,0.062,-11.098,23.293,15.061
1626372265377,2021-07-15T14.04.25.377,0.082,-13.354,25.305,17.500
1626372265398,2021-07-15T14.04.25.398,0.103,-16.037,25.000,19.573
1626372265417,2021-07-15T14.04.25.417,0.122,-19.451,26.402,22.317
1626372265437,2021-07-15T14.04.25.437,0.142,-21.098,31.159,25.061
1626372265458,2021-07-15T14.04.25.458,0.163,-27.134,31.768,29.390
1626372265478,2021-07-15T14.04.25.478,0.183,-22.500,13.354,23.963
1626372265499,2021-07-15T14.04.25.499,0.204,-8.049,10.366,14.085
1626372265519,2021-07-15T14.04.25.519,0.224,-0.610,9.695,5.305
1626372265540,2021-07-15T14.04.25.540,0.245,3.049,7.927,-0.671
1626372265559,2021-07-15T14.04.25.559,0.264,2.256,6.951,-0.183
1626372265580,2021-07-15T14.04.25.580,0.285,-0.549,4.085,2.439
1626372265600,2021-07-15T14.04.25.600,0.305,-1.585,1.341,3.171
1626372265621,2021-07-15T14.04.25.621,0.326,-1.463,1.402,2.866
1626372265641,2021-07-15T14.04.25.641,0.346,-0.732,2.012,2.500
1626372265662,2021-07-15T14.04.25.662,0.367,-0.305,2.927,2.378
1626372265682,2021-07-15T14.04.25.682,0.387,-0.305,3.963,2.622
1626372265701,2021-07-15T14.04.25.701,0.406,-0.061,4.756,2.683
1626372265722,2021-07-15T14.04.25.722,0.427,0.183,5.366,2.500
1626372265742,2021-07-15T14.04.25.742,0.447,0.122,6.646,2.378
1626372265763,2021-07-15T14.04.25.763,0.468,0.671,7.866,2.866
1626372265783,2021-07-15T14.04.25.783,0.488,0.854,6.646,2.927
1626372265804,2021-07-15T14.04.25.804,0.509,0.854,4.451,2.500
1626372265824,2021-07-15T14.04.25.824,0.529,0.793,2.927,1.951
1626372265845,2021-07-15T14.04.25.845,0.550,0.549,2.012,1.646
1626372265864,2021-07-15T14.04.25.864,0.569,0.305,1.220,1.524
1626372265884,2021-07-15T14.04.25.884,0.589,0.061,0.549,1.524
1626372265905,2021-07-15T14.04.25.905,0.610,-0.183,0.488,1.402
1626372265925,2021-07-15T14.04.25.925,0.630,-0.366,1.098,1.220
1626372265946,2021-07-15T14.04.25.946,0.651,-0.732,1.768,1.037
1626372265966,2021-07-15T14.04.25.966,0.671,-1.402,1.585,0.915
1626372265987,2021-07-15T14.04.25.987,0.692,-2.866,2.012,0.671
1626372266006,2021-07-15T14.04.26.006,0.711,-2.805,2.866,0.915
1626372266026,2021-07-15T14.04.26.026,0.731,-2.012,2.866,1.220
1626372266047,2021-07-15T14.04.26.047,0.752,-1.159,2.622,1.463
1626372266067,2021-07-15T14.04.26.067,0.772,2.317,4.207,2.317
1626372266088,2021-07-15T14.04.26.088,0.793,8.049,7.256,2.683
1626372266108,2021-07-15T14.04.26.108,0.813,9.939,12.012,2.378
1626372266129,2021-07-15T14.04.26.129,0.834,9.207,15.122,2.683
1626372266148,2021-07-15T14.04.26.148,0.853,9.085,19.512,1.829
1626372266168,2021-07-15T14.04.26.168,0.873,10.671,32.012,1.585
1626372266189,2021-07-15T14.04.26.189,0.894,12.134,39.085,6.646
1626372266209,2021-07-15T14.04.26.209,0.914,7.744,43.049,9.451
1626372266230,2021-07-15T14.04.26.230,0.935,1.037,37.012,6.829
1626372266250,2021-07-15T14.04.26.250,0.955,1.768,26.646,4.024
1626372266271,2021-07-15T14.04.26.271,0.976,3.171,22.012,2.012
1626372266290,2021-07-15T14.04.26.290,0.995,2.805,19.268,0.061
1626372266310,2021-07-15T14.04.26.310,1.015,3.963,17.866,-0.915
1626372266331,2021-07-15T14.04.26.331,1.036,3.902,16.951,-1.890
1626372266351,2021-07-15T14.04.26.351,1.056,3.780,15.488,-2.195
1626372266372,2021-07-15T14.04.26.372,1.077,4.024,14.573,-2.622
1626372266393,2021-07-15T14.04.26.393,1.098,3.720,13.780,-1.768
1626372266413,2021-07-15T14.04.26.413,1.118,4.268,12.927,-0.915
1626372266432,2021-07-15T14.04.26.432,1.137,4.390,12.805,-1.463
1626372266453,2021-07-15T14.04.26.453,1.158,3.659,12.073,-1.280
1626372266473,2021-07-15T14.04.26.473,1.178,2.927,11.220,-0.366
1626372266494,2021-07-15T14.04.26.494,1.199,2.195,10.915,-0.366
1626372266514,2021-07-15T14.04.26.514,1.219,1.159,10.244,-0.183
1626372266535,2021-07-15T14.04.26.535,1.240,0.915,9.573,0.122
1626372266555,2021-07-15T14.04.26.555,1.260,0.183,9.268,0.549
1626372266574,2021-07-15T14.04.26.574,1.279,-1.220,8.902,0.915
1626372266595,2021-07-15T14.04.26.595,1.300,-1.829,8.659,0.854
1626372266615,2021-07-15T14.04.26.615,1.320,-2.134,9.085,1.463
1626372266636,2021-07-15T14.04.26.636,1.341,-3.476,8.841,2.256
1626372266656,2021-07-15T14.04.26.656,1.361,-3.110,8.354,2.744
1626372266677,2021-07-15T14.04.26.677,1.382,-2.073,8.659,2.622
1626372266697,2021-07-15T14.04.26.697,1.402,-2.134,8.841,1.951
1626372266718,2021-07-15T14.04.26.718,1.423,-1.585,9.390,1.890
1626372266737,2021-07-15T14.04.26.737,1.442,-1.341,9.634,2.439
1626372266757,2021-07-15T14.04.26.757,1.462,-2.500,9.512,2.317
1626372266778,2021-07-15T14.04.26.778,1.483,-2.744,9.268,2.561
1626372266798,2021-07-15T14.04.26.798,1.503,-1.890,9.146,2.378
1626372266819,2021-07-15T14.04.26.819,1.524,-2.012,8.902,2.012
1626372266839,2021-07-15T14.04.26.839,1.544,-1.524,8.293,1.829
1626372266860,2021-07-15T14.04.26.860,1.565,-1.402,7.378,1.890
1626372266879,2021-07-15T14.04.26.879,1.584,-2.195,6.098,2.012
1626372266899,2021-07-15T14.04.26.899,1.604,-1.829,4.024,2.012
1626372266920,2021-07-15T14.04.26.920,1.625,-0.610,2.195,1.402
1626372266940,2021-07-15T14.04.26.940,1.645,0.122,0.549,0.976
1626372266961,2021-07-15T14.04.26.961,1.666,0.366,-1.280,0.366
1626372266981,2021-07-15T14.04.26.981,1.686,0.122,-2.866,0.061
1626372267002,2021-07-15T14.04.27.002,1.707,0.366,-3.659,-0.122
1626372267021,2021-07-15T14.04.27.021,1.726,0.915,-4.085,-0.427
1626372267041,2021-07-15T14.04.27.041,1.746,1.159,-4.329,-0.427
1626372267062,2021-07-15T14.04.27.062,1.767,1.585,-4.695,-0.671
1626372267082,2021-07-15T14.04.27.082,1.787,1.890,-5.061,-1.280
1626372267103,2021-07-15T14.04.27.103,1.808,2.073,-5.244,-1.220
1626372267123,2021-07-15T14.04.27.123,1.828,2.378,-5.549,-1.280
1626372267144,2021-07-15T14.04.27.144,1.849,2.500,-5.793,-1.768
1626372267163,2021-07-15T14.04.27.163,1.868,2.561,-5.854,-1.646
1626372267184,2021-07-15T14.04.27.184,1.889,2.500,-5.732,-1.463
1626372267204,2021-07-15T14.04.27.204,1.909,2.439,-5.915,-1.280
1626372267225,2021-07-15T14.04.27.225,1.930,2.195,-6.220,-1.220
