epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635347894399,2021-10-27T11.18.14.399,0.000,1.667,-0.676,1.050
1635347894418,2021-10-27T11.18.14.418,0.019,1.847,-0.745,0.997
1635347894438,2021-10-27T11.18.14.438,0.039,2.154,-1.160,0.882
1635347894457,2021-10-27T11.18.14.457,0.058,2.438,-1.561,0.229
1635347894478,2021-10-27T11.18.14.478,0.079,2.436,-0.973,-0.873
1635347894497,2021-10-27T11.18.14.497,0.098,2.290,-0.587,-1.775
1635347894517,2021-10-27T11.18.14.517,0.118,2.315,-0.958,-1.696
1635347894536,2021-10-27T11.18.14.536,0.137,1.950,0.275,-1.016
1635347894557,2021-10-27T11.18.14.557,0.158,-0.073,-0.070,-1.448
1635347894577,2021-10-27T11.18.14.577,0.178,0.234,-2.604,1.114
1635347894596,2021-10-27T11.18.14.596,0.197,2.990,-0.588,1.691
1635347894617,2021-10-27T11.18.14.617,0.218,2.368,0.225,1.568
1635347894636,2021-10-27T11.18.14.636,0.237,0.549,-1.147,0.678
1635347894656,2021-10-27T11.18.14.656,0.257,1.119,-0.729,0.819
1635347894675,2021-10-27T11.18.14.675,0.276,0.763,-0.531,0.833
1635347894696,2021-10-27T11.18.14.696,0.297,0.506,-0.508,0.785
1635347894715,2021-10-27T11.18.14.715,0.316,0.520,-0.449,0.773
1635347894736,2021-10-27T11.18.14.736,0.337,0.530,-0.444,0.778
1635347894755,2021-10-27T11.18.14.755,0.356,0.551,-0.456,0.764
1635347894775,2021-10-27T11.18.14.775,0.376,0.525,-0.473,0.730
1635347894796,2021-10-27T11.18.14.796,0.397,0.493,-0.435,0.736
1635347894815,2021-10-27T11.18.14.815,0.416,0.503,-0.404,0.737
1635347894835,2021-10-27T11.18.14.835,0.436,0.516,-0.404,0.730
1635347894854,2021-10-27T11.18.14.854,0.455,0.419,-0.408,0.713
1635347894875,2021-10-27T11.18.14.875,0.476,0.391,-0.392,0.724
1635347894894,2021-10-27T11.18.14.894,0.495,0.457,-0.438,0.744
1635347894914,2021-10-27T11.18.14.914,0.515,0.512,-0.445,0.735
1635347894933,2021-10-27T11.18.14.933,0.534,0.522,-0.437,0.740
1635347894954,2021-10-27T11.18.14.954,0.555,0.539,-0.410,0.745
1635347894973,2021-10-27T11.18.14.973,0.574,0.557,-0.433,0.722
1635347894993,2021-10-27T11.18.14.993,0.594,0.568,-0.490,0.718
1635347895014,2021-10-27T11.18.15.014,0.615,0.569,-0.452,0.746
1635347895033,2021-10-27T11.18.15.033,0.634,0.596,-0.389,0.826
1635347895053,2021-10-27T11.18.15.053,0.654,0.458,-0.390,0.966
1635347895072,2021-10-27T11.18.15.072,0.673,0.521,-0.425,1.035
1635347895093,2021-10-27T11.18.15.093,0.694,0.471,-0.519,1.152
1635347895112,2021-10-27T11.18.15.112,0.713,0.519,-0.405,1.225
1635347895133,2021-10-27T11.18.15.133,0.734,0.497,-0.257,1.340
1635347895152,2021-10-27T11.18.15.152,0.753,1.048,-0.423,1.363
1635347895172,2021-10-27T11.18.15.172,0.773,1.753,-0.777,1.433
1635347895191,2021-10-27T11.18.15.191,0.792,1.364,-1.172,1.671
1635347895212,2021-10-27T11.18.15.212,0.813,0.705,-4.564,2.308
1635347895232,2021-10-27T11.18.15.232,0.833,0.365,-1.923,2.106
1635347895251,2021-10-27T11.18.15.251,0.852,-0.304,1.138,1.073
1635347895272,2021-10-27T11.18.15.272,0.873,0.619,0.544,1.201
1635347895291,2021-10-27T11.18.15.291,0.892,0.547,-0.218,1.093
1635347895311,2021-10-27T11.18.15.311,0.912,0.585,-0.349,0.881
1635347895330,2021-10-27T11.18.15.330,0.931,0.889,-0.370,0.838
1635347895351,2021-10-27T11.18.15.351,0.952,1.027,-0.643,0.825
1635347895370,2021-10-27T11.18.15.370,0.971,1.078,-0.908,0.831
1635347895390,2021-10-27T11.18.15.390,0.991,1.286,-0.850,0.931
1635347895409,2021-10-27T11.18.15.409,1.010,1.567,-0.868,1.049
1635347895430,2021-10-27T11.18.15.430,1.031,1.899,-1.274,1.014
1635347895450,2021-10-27T11.18.15.450,1.051,2.217,-1.623,0.484
1635347895469,2021-10-27T11.18.15.469,1.070,2.245,-1.551,-0.590
1635347895490,2021-10-27T11.18.15.490,1.091,2.201,-0.652,-1.664
1635347895509,2021-10-27T11.18.15.509,1.110,2.261,-0.862,-2.057
1635347895529,2021-10-27T11.18.15.529,1.130,2.210,-0.473,-1.483
1635347895549,2021-10-27T11.18.15.549,1.150,0.634,-0.024,-1.756
1635347895569,2021-10-27T11.18.15.569,1.170,0.846,-0.845,1.502
1635347895588,2021-10-27T11.18.15.588,1.189,3.288,0.218,1.968
1635347895609,2021-10-27T11.18.15.609,1.210,1.721,-0.429,1.220
1635347895628,2021-10-27T11.18.15.628,1.229,0.815,-1.247,0.656
1635347895648,2021-10-27T11.18.15.648,1.249,1.074,-0.719,0.816
1635347895669,2021-10-27T11.18.15.669,1.270,0.668,-0.581,0.812
1635347895688,2021-10-27T11.18.15.688,1.289,0.531,-0.405,0.794
1635347895708,2021-10-27T11.18.15.708,1.309,0.581,-0.373,0.772
1635347895727,2021-10-27T11.18.15.727,1.328,0.564,-0.422,0.750
1635347895748,2021-10-27T11.18.15.748,1.349,0.567,-0.445,0.734
