epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1626372267019,2021-07-15T14.04.27.019,0.000,0.314,0.004,0.962
1626372267038,2021-07-15T14.04.27.038,0.019,0.306,0.016,0.966
1626372267059,2021-07-15T14.04.27.059,0.040,0.301,0.007,0.961
1626372267078,2021-07-15T14.04.27.078,0.059,0.296,-0.005,0.958
1626372267097,2021-07-15T14.04.27.097,0.078,0.306,0.006,0.958
1626372267117,2021-07-15T14.04.27.117,0.098,0.325,0.010,0.965
1626372267136,2021-07-15T14.04.27.136,0.117,0.321,0.005,0.964
1626372267157,2021-07-15T14.04.27.157,0.138,0.320,0.006,0.958
1626372267176,2021-07-15T14.04.27.176,0.157,0.330,0.006,0.959
1626372267196,2021-07-15T14.04.27.196,0.177,0.333,0.006,0.959
1626372267215,2021-07-15T14.04.27.215,0.196,0.353,0.014,0.963
1626372267236,2021-07-15T14.04.27.236,0.217,0.354,0.015,0.963
1626372267255,2021-07-15T14.04.27.255,0.236,0.353,0.007,0.959
1626372267274,2021-07-15T14.04.27.274,0.255,0.355,0.012,0.959
1626372267295,2021-07-15T14.04.27.295,0.276,0.350,0.015,0.956
1626372267314,2021-07-15T14.04.27.314,0.295,0.352,0.011,0.953
1626372267334,2021-07-15T14.04.27.334,0.315,0.346,0.013,0.951
1626372267353,2021-07-15T14.04.27.353,0.334,0.358,0.010,0.954
1626372267374,2021-07-15T14.04.27.374,0.355,0.352,0.006,0.948
1626372267393,2021-07-15T14.04.27.393,0.374,0.362,0.014,0.948
1626372267412,2021-07-15T14.04.27.412,0.393,0.352,0.013,0.945
1626372267432,2021-07-15T14.04.27.432,0.413,0.371,0.008,0.950
1626372267451,2021-07-15T14.04.27.451,0.432,0.367,0.009,0.946
1626372267472,2021-07-15T14.04.27.472,0.453,0.360,0.009,0.942
1626372267491,2021-07-15T14.04.27.491,0.472,0.369,0.014,0.944
1626372267511,2021-07-15T14.04.27.511,0.492,0.370,0.012,0.940
1626372267530,2021-07-15T14.04.27.530,0.511,0.386,0.012,0.942
1626372267551,2021-07-15T14.04.27.551,0.532,0.397,0.014,0.945
1626372267570,2021-07-15T14.04.27.570,0.551,0.400,0.014,0.943
1626372267589,2021-07-15T14.04.27.589,0.570,0.384,0.015,0.936
1626372267610,2021-07-15T14.04.27.610,0.591,0.389,0.017,0.934
1626372267629,2021-07-15T14.04.27.629,0.610,0.390,0.012,0.929
1626372267649,2021-07-15T14.04.27.649,0.630,0.391,0.014,0.926
1626372267668,2021-07-15T14.04.27.668,0.649,0.390,0.015,0.925
1626372267689,2021-07-15T14.04.27.689,0.670,0.392,0.013,0.923
1626372267708,2021-07-15T14.04.27.708,0.689,0.366,0.018,0.905
1626372267727,2021-07-15T14.04.27.727,0.708,0.275,0.015,0.863
1626372267747,2021-07-15T14.04.27.747,0.728,0.052,0.010,0.776
1626372267766,2021-07-15T14.04.27.766,0.747,0.260,-0.001,0.836
1626372267787,2021-07-15T14.04.27.787,0.768,0.437,-0.003,0.915
1626372267806,2021-07-15T14.04.27.806,0.787,0.335,0.070,0.869
1626372267826,2021-07-15T14.04.27.826,0.807,0.869,-0.065,0.984
1626372267845,2021-07-15T14.04.27.845,0.826,1.104,0.188,0.956
1626372267866,2021-07-15T14.04.27.866,0.847,0.594,0.209,0.858
1626372267885,2021-07-15T14.04.27.885,0.866,0.604,0.191,0.867
1626372267904,2021-07-15T14.04.27.904,0.885,0.553,0.094,0.871
1626372267924,2021-07-15T14.04.27.924,0.905,0.650,0.118,0.864
1626372267944,2021-07-15T14.04.27.944,0.925,0.568,0.118,0.843
1626372267964,2021-07-15T14.04.27.964,0.945,0.561,0.103,0.854
1626372267983,2021-07-15T14.04.27.983,0.964,0.594,0.105,0.838
1626372268004,2021-07-15T14.04.28.004,0.985,0.575,0.103,0.841
1626372268023,2021-07-15T14.04.28.023,1.004,0.596,0.105,0.843
1626372268043,2021-07-15T14.04.28.043,1.024,0.603,0.158,0.835
1626372268062,2021-07-15T14.04.28.062,1.043,0.596,0.150,0.834
1626372268081,2021-07-15T14.04.28.081,1.062,0.589,0.128,0.834
1626372268102,2021-07-15T14.04.28.102,1.083,0.584,0.117,0.844
1626372268121,2021-07-15T14.04.28.121,1.102,0.570,0.082,0.858
1626372268141,2021-07-15T14.04.28.141,1.122,0.562,0.054,0.867
1626372268160,2021-07-15T14.04.28.160,1.141,0.608,0.075,0.841
1626372268181,2021-07-15T14.04.28.181,1.162,0.624,0.109,0.812
1626372268200,2021-07-15T14.04.28.200,1.181,0.626,0.096,0.813
1626372268219,2021-07-15T14.04.28.219,1.200,0.644,0.082,0.792
1626372268239,2021-07-15T14.04.28.239,1.220,0.646,0.055,0.778
1626372268258,2021-07-15T14.04.28.258,1.239,0.658,0.012,0.766
1626372268279,2021-07-15T14.04.28.279,1.260,0.690,-0.002,0.736
