epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1622217763221,2021-05-28T12.02.43.221,0.000,0.573,-0.063,0.786
1622217763242,2021-05-28T12.02.43.242,0.021,0.577,-0.064,0.793
1622217763261,2021-05-28T12.02.43.261,0.040,0.576,-0.062,0.793
1622217763281,2021-05-28T12.02.43.281,0.060,0.578,-0.061,0.793
1622217763301,2021-05-28T12.02.43.301,0.080,0.578,-0.061,0.792
1622217763321,2021-05-28T12.02.43.321,0.100,0.576,-0.063,0.793
1622217763342,2021-05-28T12.02.43.342,0.121,0.577,-0.063,0.793
1622217763361,2021-05-28T12.02.43.361,0.140,0.577,-0.062,0.794
1622217763381,2021-05-28T12.02.43.381,0.160,0.576,-0.063,0.793
1622217763400,2021-05-28T12.02.43.400,0.179,0.577,-0.062,0.794
1622217763421,2021-05-28T12.02.43.421,0.200,0.579,-0.061,0.794
1622217763441,2021-05-28T12.02.43.441,0.220,0.577,-0.061,0.795
1622217763460,2021-05-28T12.02.43.460,0.239,0.576,-0.062,0.792
1622217763481,2021-05-28T12.02.43.481,0.260,0.576,-0.062,0.793
1622217763500,2021-05-28T12.02.43.500,0.279,0.578,-0.063,0.793
1622217763520,2021-05-28T12.02.43.520,0.299,0.577,-0.062,0.795
1622217763539,2021-05-28T12.02.43.539,0.318,0.576,-0.063,0.793
1622217763560,2021-05-28T12.02.43.560,0.339,0.575,-0.062,0.793
1622217763580,2021-05-28T12.02.43.580,0.359,0.577,-0.061,0.796
1622217763599,2021-05-28T12.02.43.599,0.378,0.578,-0.060,0.794
1622217763620,2021-05-28T12.02.43.620,0.399,0.578,-0.061,0.794
1622217763639,2021-05-28T12.02.43.639,0.418,0.575,-0.063,0.794
1622217763659,2021-05-28T12.02.43.659,0.438,0.577,-0.063,0.795
1622217763678,2021-05-28T12.02.43.678,0.457,0.578,-0.061,0.795
1622217763699,2021-05-28T12.02.43.699,0.478,0.576,-0.062,0.793
1622217763719,2021-05-28T12.02.43.719,0.498,0.576,-0.062,0.794
1622217763739,2021-05-28T12.02.43.739,0.518,0.578,-0.061,0.794
1622217763759,2021-05-28T12.02.43.759,0.538,0.577,-0.061,0.794
1622217763778,2021-05-28T12.02.43.778,0.557,0.577,-0.063,0.796
1622217763799,2021-05-28T12.02.43.799,0.578,0.578,-0.060,0.796
1622217763819,2021-05-28T12.02.43.819,0.598,0.577,-0.062,0.793
1622217763838,2021-05-28T12.02.43.838,0.617,0.578,-0.062,0.796
1622217763859,2021-05-28T12.02.43.859,0.638,0.577,-0.062,0.793
1622217763878,2021-05-28T12.02.43.878,0.657,0.576,-0.061,0.793
1622217763898,2021-05-28T12.02.43.898,0.677,0.578,-0.063,0.795
1622217763917,2021-05-28T12.02.43.917,0.696,0.577,-0.063,0.793
1622217763938,2021-05-28T12.02.43.938,0.717,0.576,-0.062,0.793
1622217763958,2021-05-28T12.02.43.958,0.737,0.577,-0.064,0.793
1622217763977,2021-05-28T12.02.43.977,0.756,0.578,-0.063,0.794
1622217763998,2021-05-28T12.02.43.998,0.777,0.578,-0.062,0.797
1622217764017,2021-05-28T12.02.44.017,0.796,0.578,-0.061,0.794
1622217764037,2021-05-28T12.02.44.037,0.816,0.577,-0.063,0.794
1622217764058,2021-05-28T12.02.44.058,0.837,0.576,-0.061,0.795
1622217764077,2021-05-28T12.02.44.077,0.856,0.576,-0.062,0.794
1622217764097,2021-05-28T12.02.44.097,0.876,0.577,-0.062,0.796
1622217764116,2021-05-28T12.02.44.116,0.895,0.576,-0.061,0.795
1622217764137,2021-05-28T12.02.44.137,0.916,0.578,-0.060,0.794
1622217764156,2021-05-28T12.02.44.156,0.935,0.578,-0.061,0.794
1622217764177,2021-05-28T12.02.44.177,0.956,0.576,-0.062,0.796
1622217764197,2021-05-28T12.02.44.197,0.976,0.576,-0.062,0.794
1622217764216,2021-05-28T12.02.44.216,0.995,0.575,-0.062,0.792
1622217764237,2021-05-28T12.02.44.237,1.016,0.576,-0.062,0.795
1622217764256,2021-05-28T12.02.44.256,1.035,0.577,-0.063,0.796
1622217764276,2021-05-28T12.02.44.276,1.055,0.575,-0.062,0.793
1622217764297,2021-05-28T12.02.44.297,1.076,0.576,-0.061,0.794
1622217764316,2021-05-28T12.02.44.316,1.095,0.577,-0.061,0.794
1622217764336,2021-05-28T12.02.44.336,1.115,0.578,-0.058,0.795
1622217764355,2021-05-28T12.02.44.355,1.134,0.577,-0.063,0.795
1622217764376,2021-05-28T12.02.44.376,1.155,0.579,-0.063,0.794
1622217764395,2021-05-28T12.02.44.395,1.174,0.578,-0.061,0.795
1622217764415,2021-05-28T12.02.44.415,1.194,0.578,-0.061,0.796
1622217764436,2021-05-28T12.02.44.436,1.215,0.578,-0.062,0.796
1622217764455,2021-05-28T12.02.44.455,1.234,0.576,-0.063,0.794
1622217764475,2021-05-28T12.02.44.475,1.254,0.579,-0.062,0.795
1622217764494,2021-05-28T12.02.44.494,1.273,0.576,-0.064,0.793
1622217764515,2021-05-28T12.02.44.515,1.294,0.577,-0.064,0.795
1622217764534,2021-05-28T12.02.44.534,1.313,0.577,-0.063,0.794
1622217764554,2021-05-28T12.02.44.554,1.333,0.577,-0.062,0.795
1622217764575,2021-05-28T12.02.44.575,1.354,0.577,-0.061,0.792
1622217764594,2021-05-28T12.02.44.594,1.373,0.578,-0.062,0.795
1622217764614,2021-05-28T12.02.44.614,1.393,0.578,-0.059,0.796
1622217764634,2021-05-28T12.02.44.634,1.413,0.574,-0.061,0.794
1622217764654,2021-05-28T12.02.44.654,1.433,0.576,-0.063,0.793
1622217764675,2021-05-28T12.02.44.675,1.454,0.578,-0.061,0.794
1622217764694,2021-05-28T12.02.44.694,1.473,0.577,-0.063,0.794
1622217764714,2021-05-28T12.02.44.714,1.493,0.577,-0.063,0.796
1622217764733,2021-05-28T12.02.44.733,1.512,0.577,-0.062,0.795
1622217764754,2021-05-28T12.02.44.754,1.533,0.576,-0.063,0.796
1622217764773,2021-05-28T12.02.44.773,1.552,0.578,-0.060,0.796
1622217764793,2021-05-28T12.02.44.793,1.572,0.577,-0.064,0.794
1622217764814,2021-05-28T12.02.44.814,1.593,0.577,-0.061,0.795
1622217764833,2021-05-28T12.02.44.833,1.612,0.579,-0.061,0.796
1622217764853,2021-05-28T12.02.44.853,1.632,0.576,-0.060,0.794
1622217764872,2021-05-28T12.02.44.872,1.651,0.576,-0.060,0.795
1622217764893,2021-05-28T12.02.44.893,1.672,0.577,-0.062,0.795
1622217764912,2021-05-28T12.02.44.912,1.691,0.578,-0.060,0.796
1622217764932,2021-05-28T12.02.44.932,1.711,0.577,-0.060,0.796
1622217764953,2021-05-28T12.02.44.953,1.732,0.578,-0.062,0.795
1622217764972,2021-05-28T12.02.44.972,1.751,0.577,-0.062,0.795
1622217764992,2021-05-28T12.02.44.992,1.771,0.577,-0.063,0.795
1622217765011,2021-05-28T12.02.45.011,1.790,0.577,-0.062,0.794
1622217765032,2021-05-28T12.02.45.032,1.811,0.578,-0.064,0.795
1622217765051,2021-05-28T12.02.45.051,1.830,0.577,-0.065,0.795
1622217765072,2021-05-28T12.02.45.072,1.851,0.575,-0.064,0.794
1622217765092,2021-05-28T12.02.45.092,1.871,0.577,-0.064,0.795
