epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1626103902182,2021-07-12T11.31.42.182,0.000,0.183,0.122,0.610
1626103902203,2021-07-12T11.31.42.203,0.021,0.671,0.488,0.488
1626103902223,2021-07-12T11.31.42.223,0.041,0.122,0.183,0.549
1626103902244,2021-07-12T11.31.42.244,0.062,0.061,0.122,0.610
1626103902264,2021-07-12T11.31.42.264,0.082,0.122,0.183,0.610
1626103902285,2021-07-12T11.31.42.285,0.103,0.244,0.183,0.549
1626103902305,2021-07-12T11.31.42.305,0.123,0.183,0.122,0.488
1626103902324,2021-07-12T11.31.42.324,0.142,0.122,0.122,0.549
1626103902345,2021-07-12T11.31.42.345,0.163,0.061,0.122,0.610
1626103902365,2021-07-12T11.31.42.365,0.183,0.122,0.061,0.549
1626103902386,2021-07-12T11.31.42.386,0.204,0.122,0.183,0.610
1626103902406,2021-07-12T11.31.42.406,0.224,0.061,0.244,0.549
1626103902427,2021-07-12T11.31.42.427,0.245,0.061,0.244,0.488
1626103902447,2021-07-12T11.31.42.447,0.265,0.122,0.244,0.488
1626103902466,2021-07-12T11.31.42.466,0.284,0.122,0.183,0.610
1626103902487,2021-07-12T11.31.42.487,0.305,0.122,0.244,0.610
1626103902507,2021-07-12T11.31.42.507,0.325,0.061,0.122,0.610
1626103902528,2021-07-12T11.31.42.528,0.346,0.122,0.244,0.610
1626103902548,2021-07-12T11.31.42.548,0.366,0.183,0.244,0.610
1626103902569,2021-07-12T11.31.42.569,0.387,0.122,0.244,0.610
1626103902589,2021-07-12T11.31.42.589,0.407,0.061,0.244,0.610
1626103902608,2021-07-12T11.31.42.608,0.426,0.122,0.183,0.610
1626103902629,2021-07-12T11.31.42.629,0.447,0.122,0.244,0.549
1626103902649,2021-07-12T11.31.42.649,0.467,0.183,0.305,0.549
1626103902670,2021-07-12T11.31.42.670,0.488,0.183,0.183,0.610
1626103902690,2021-07-12T11.31.42.690,0.508,0.122,0.244,0.549
1626103902711,2021-07-12T11.31.42.711,0.529,0.061,0.244,0.549
1626103902731,2021-07-12T11.31.42.731,0.549,0.183,0.183,0.488
1626103902752,2021-07-12T11.31.42.752,0.570,0.122,0.183,0.549
1626103902771,2021-07-12T11.31.42.771,0.589,0.122,0.183,0.549
1626103902791,2021-07-12T11.31.42.791,0.609,0.183,0.122,0.549
1626103902812,2021-07-12T11.31.42.812,0.630,0.183,0.122,0.610
1626103902832,2021-07-12T11.31.42.832,0.650,0.061,0.183,0.549
1626103902853,2021-07-12T11.31.42.853,0.671,0.122,0.244,0.549
1626103902873,2021-07-12T11.31.42.873,0.691,0.183,0.183,0.610
1626103902894,2021-07-12T11.31.42.894,0.712,0.183,0.244,0.610
1626103902913,2021-07-12T11.31.42.913,0.731,0.122,0.244,0.549
1626103902933,2021-07-12T11.31.42.933,0.751,0.122,0.183,0.610
1626103902954,2021-07-12T11.31.42.954,0.772,0.183,0.183,0.549
1626103902974,2021-07-12T11.31.42.974,0.792,0.122,0.183,0.549
