epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1626274803174,2021-07-14T11.00.03.174,0.000,0.213,-0.024,0.980
1626274803194,2021-07-14T11.00.03.194,0.020,0.213,-0.022,0.987
1626274803213,2021-07-14T11.00.03.213,0.039,0.215,-0.022,0.988
1626274803234,2021-07-14T11.00.03.234,0.060,0.211,-0.024,0.984
1626274803253,2021-07-14T11.00.03.253,0.079,0.210,-0.024,0.983
1626274803274,2021-07-14T11.00.03.274,0.100,0.214,-0.024,0.987
1626274803293,2021-07-14T11.00.03.293,0.119,0.214,-0.022,0.989
1626274803313,2021-07-14T11.00.03.313,0.139,0.211,-0.021,0.985
1626274803332,2021-07-14T11.00.03.332,0.158,0.212,-0.023,0.985
1626274803353,2021-07-14T11.00.03.353,0.179,0.214,-0.023,0.985
1626274803372,2021-07-14T11.00.03.372,0.198,0.212,-0.022,0.985
1626274803392,2021-07-14T11.00.03.392,0.218,0.211,-0.022,0.987
1626274803411,2021-07-14T11.00.03.411,0.237,0.212,-0.022,0.986
1626274803430,2021-07-14T11.00.03.430,0.256,0.212,-0.022,0.986
1626274803451,2021-07-14T11.00.03.451,0.277,0.214,-0.022,0.989
1626274803470,2021-07-14T11.00.03.470,0.296,0.212,-0.021,0.987
1626274803490,2021-07-14T11.00.03.490,0.316,0.213,-0.022,0.986
1626274803509,2021-07-14T11.00.03.509,0.335,0.214,-0.023,0.985
1626274803530,2021-07-14T11.00.03.530,0.356,0.210,-0.023,0.983
1626274803549,2021-07-14T11.00.03.549,0.375,0.208,-0.025,0.979
1626274803569,2021-07-14T11.00.03.569,0.395,0.213,-0.023,0.985
1626274803588,2021-07-14T11.00.03.588,0.414,0.214,-0.022,0.986
1626274803609,2021-07-14T11.00.03.609,0.435,0.212,-0.024,0.987
1626274803628,2021-07-14T11.00.03.628,0.454,0.216,-0.024,0.988
1626274803649,2021-07-14T11.00.03.649,0.475,0.212,-0.023,0.983
1626274803668,2021-07-14T11.00.03.668,0.494,0.214,-0.021,0.986
1626274803687,2021-07-14T11.00.03.687,0.513,0.214,-0.020,0.986
1626274803707,2021-07-14T11.00.03.707,0.533,0.215,-0.020,0.989
1626274803726,2021-07-14T11.00.03.726,0.552,0.214,-0.021,0.989
1626274803747,2021-07-14T11.00.03.747,0.573,0.214,-0.021,0.987
1626274803766,2021-07-14T11.00.03.766,0.592,0.217,-0.021,0.988
1626274803786,2021-07-14T11.00.03.786,0.612,0.213,-0.021,0.987
1626274803805,2021-07-14T11.00.03.805,0.631,0.210,-0.021,0.986
1626274803826,2021-07-14T11.00.03.826,0.652,0.211,-0.020,0.987
1626274803845,2021-07-14T11.00.03.845,0.671,0.210,-0.023,0.986
1626274803865,2021-07-14T11.00.03.865,0.691,0.210,-0.021,0.986
1626274803884,2021-07-14T11.00.03.884,0.710,0.210,-0.022,0.986
1626274803903,2021-07-14T11.00.03.903,0.729,0.210,-0.021,0.988
1626274803924,2021-07-14T11.00.03.924,0.750,0.211,-0.021,0.989
1626274803943,2021-07-14T11.00.03.943,0.769,0.209,-0.019,0.985
1626274803963,2021-07-14T11.00.03.963,0.789,0.213,-0.019,0.990
1626274803983,2021-07-14T11.00.03.983,0.809,0.212,-0.022,0.989
1626274804003,2021-07-14T11.00.04.003,0.829,0.210,-0.021,0.986
1626274804022,2021-07-14T11.00.04.022,0.848,0.209,-0.021,0.985
1626274804043,2021-07-14T11.00.04.043,0.869,0.209,-0.021,0.984
1626274804062,2021-07-14T11.00.04.062,0.888,0.209,-0.017,0.990
1626274804082,2021-07-14T11.00.04.082,0.908,0.214,-0.017,0.990
1626274804101,2021-07-14T11.00.04.101,0.927,0.213,-0.019,0.988
1626274804122,2021-07-14T11.00.04.122,0.948,0.206,-0.024,0.983
1626274804141,2021-07-14T11.00.04.141,0.967,0.207,-0.020,0.982
1626274804160,2021-07-14T11.00.04.160,0.986,0.212,-0.018,0.987
1626274804180,2021-07-14T11.00.04.180,1.006,0.212,-0.019,0.988
1626274804199,2021-07-14T11.00.04.199,1.025,0.211,-0.019,0.988
1626274804220,2021-07-14T11.00.04.220,1.046,0.208,-0.021,0.982
1626274804239,2021-07-14T11.00.04.239,1.065,0.211,-0.022,0.985
1626274804259,2021-07-14T11.00.04.259,1.085,0.215,-0.021,0.988
1626274804278,2021-07-14T11.00.04.278,1.104,0.212,-0.020,0.985
1626274804299,2021-07-14T11.00.04.299,1.125,0.217,-0.018,0.989
1626274804318,2021-07-14T11.00.04.318,1.144,0.218,-0.019,0.989
1626274804338,2021-07-14T11.00.04.338,1.164,0.212,-0.019,0.987
1626274804358,2021-07-14T11.00.04.358,1.184,0.215,-0.019,0.989
1626274804377,2021-07-14T11.00.04.377,1.203,0.217,-0.018,0.988
1626274804397,2021-07-14T11.00.04.397,1.223,0.218,-0.021,0.989
1626274804416,2021-07-14T11.00.04.416,1.242,0.213,-0.021,0.986
1626274804437,2021-07-14T11.00.04.437,1.263,0.212,-0.022,0.987
1626274804456,2021-07-14T11.00.04.456,1.282,0.212,-0.021,0.988
1626274804476,2021-07-14T11.00.04.476,1.302,0.213,-0.022,0.986
1626274804495,2021-07-14T11.00.04.495,1.321,0.214,-0.021,0.986
1626274804516,2021-07-14T11.00.04.516,1.342,0.215,-0.021,0.988
1626274804535,2021-07-14T11.00.04.535,1.361,0.215,-0.021,0.989
1626274804555,2021-07-14T11.00.04.555,1.381,0.212,-0.020,0.986
1626274804574,2021-07-14T11.00.04.574,1.400,0.214,-0.020,0.988
1626274804595,2021-07-14T11.00.04.595,1.421,0.214,-0.021,0.987
1626274804614,2021-07-14T11.00.04.614,1.440,0.215,-0.019,0.987
1626274804633,2021-07-14T11.00.04.633,1.459,0.216,-0.020,0.985
1626274804653,2021-07-14T11.00.04.653,1.479,0.214,-0.019,0.986
1626274804672,2021-07-14T11.00.04.672,1.498,0.211,-0.020,0.982
1626274804693,2021-07-14T11.00.04.693,1.519,0.212,-0.020,0.986
1626274804712,2021-07-14T11.00.04.712,1.538,0.217,-0.015,0.990
1626274804733,2021-07-14T11.00.04.733,1.559,0.218,-0.016,0.990
1626274804752,2021-07-14T11.00.04.752,1.578,0.217,-0.015,0.988
1626274804772,2021-07-14T11.00.04.772,1.598,0.213,-0.017,0.986
1626274804791,2021-07-14T11.00.04.791,1.617,0.215,-0.017,0.985
1626274804812,2021-07-14T11.00.04.812,1.638,0.216,-0.015,0.990
1626274804831,2021-07-14T11.00.04.831,1.657,0.218,-0.015,0.990
1626274804850,2021-07-14T11.00.04.850,1.676,0.215,-0.015,0.988
1626274804870,2021-07-14T11.00.04.870,1.696,0.210,-0.019,0.985
1626274804889,2021-07-14T11.00.04.889,1.715,0.211,-0.017,0.987
1626274804910,2021-07-14T11.00.04.910,1.736,0.214,-0.013,0.991
1626274804929,2021-07-14T11.00.04.929,1.755,0.208,-0.017,0.983
1626274804949,2021-07-14T11.00.04.949,1.775,0.208,-0.020,0.982
1626274804968,2021-07-14T11.00.04.968,1.794,0.212,-0.018,0.984
1626274804989,2021-07-14T11.00.04.989,1.815,0.214,-0.015,0.988
1626274805008,2021-07-14T11.00.05.008,1.834,0.210,-0.018,0.986
1626274805028,2021-07-14T11.00.05.028,1.854,0.213,-0.016,0.986
1626274805047,2021-07-14T11.00.05.047,1.873,0.211,-0.015,0.988
1626274805068,2021-07-14T11.00.05.068,1.894,0.208,-0.017,0.986
1626274805087,2021-07-14T11.00.05.087,1.913,0.209,-0.016,0.987
1626274805106,2021-07-14T11.00.05.106,1.932,0.207,-0.018,0.985
1626274805127,2021-07-14T11.00.05.127,1.953,0.210,-0.017,0.983
1626274805146,2021-07-14T11.00.05.146,1.972,0.211,-0.017,0.985
1626274805166,2021-07-14T11.00.05.166,1.992,0.211,-0.020,0.986
1626274805185,2021-07-14T11.00.05.185,2.011,0.209,-0.021,0.985
1626274805206,2021-07-14T11.00.05.206,2.032,0.215,-0.020,0.989
1626274805226,2021-07-14T11.00.05.226,2.052,0.213,-0.021,0.985
