epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1626274803155,2021-07-14T11.00.03.155,0.000,0.000,0.488,0.000
1626274803175,2021-07-14T11.00.03.175,0.020,0.183,0.610,0.305
1626274803194,2021-07-14T11.00.03.194,0.039,0.061,0.610,0.244
1626274803213,2021-07-14T11.00.03.213,0.058,0.061,0.610,0.244
1626274803234,2021-07-14T11.00.03.234,0.079,0.244,0.732,0.305
1626274803253,2021-07-14T11.00.03.253,0.098,0.122,0.610,0.244
1626274803274,2021-07-14T11.00.03.274,0.119,0.000,0.244,0.244
1626274803293,2021-07-14T11.00.03.293,0.138,0.061,0.488,0.366
1626274803313,2021-07-14T11.00.03.313,0.158,0.244,0.671,0.366
1626274803332,2021-07-14T11.00.03.332,0.177,0.122,0.427,0.305
1626274803353,2021-07-14T11.00.03.353,0.198,-0.061,0.183,0.366
1626274803372,2021-07-14T11.00.03.372,0.217,-0.061,0.183,0.366
1626274803392,2021-07-14T11.00.03.392,0.237,0.061,0.061,0.366
1626274803411,2021-07-14T11.00.03.411,0.256,-0.061,-0.061,0.366
1626274803430,2021-07-14T11.00.03.430,0.275,-0.061,0.000,0.366
1626274803451,2021-07-14T11.00.03.451,0.296,0.000,-0.061,0.427
1626274803470,2021-07-14T11.00.03.470,0.315,0.061,0.122,0.366
1626274803490,2021-07-14T11.00.03.490,0.335,0.183,0.305,0.366
1626274803509,2021-07-14T11.00.03.509,0.354,0.244,0.305,0.366
1626274803530,2021-07-14T11.00.03.530,0.375,0.183,0.183,0.427
1626274803549,2021-07-14T11.00.03.549,0.394,0.000,-0.122,0.366
1626274803569,2021-07-14T11.00.03.569,0.414,-0.366,-0.732,0.549
1626274803588,2021-07-14T11.00.03.588,0.433,-0.488,-0.549,0.610
1626274803609,2021-07-14T11.00.03.609,0.454,-0.427,-0.366,0.671
1626274803628,2021-07-14T11.00.03.628,0.473,-0.427,-0.305,0.732
1626274803649,2021-07-14T11.00.03.649,0.494,-0.427,-0.061,0.854
1626274803668,2021-07-14T11.00.03.668,0.513,-0.549,-0.122,0.732
1626274803687,2021-07-14T11.00.03.687,0.532,-0.549,0.000,0.549
1626274803707,2021-07-14T11.00.03.707,0.552,-0.366,0.305,0.366
1626274803726,2021-07-14T11.00.03.726,0.571,-0.122,0.732,0.305
1626274803747,2021-07-14T11.00.03.747,0.592,-0.061,1.037,0.183
1626274803766,2021-07-14T11.00.03.766,0.611,0.244,1.402,0.061
1626274803786,2021-07-14T11.00.03.786,0.631,0.671,1.829,-0.122
1626274803805,2021-07-14T11.00.03.805,0.650,0.915,1.768,-0.305
1626274803826,2021-07-14T11.00.03.826,0.671,1.341,1.402,-0.488
1626274803845,2021-07-14T11.00.03.845,0.690,1.463,0.366,-0.793
1626274803865,2021-07-14T11.00.03.865,0.710,0.976,0.061,-0.671
1626274803884,2021-07-14T11.00.03.884,0.729,0.610,0.122,-0.549
1626274803905,2021-07-14T11.00.03.905,0.750,0.427,0.244,-0.366
1626274803924,2021-07-14T11.00.03.924,0.769,0.183,0.061,-0.305
1626274803943,2021-07-14T11.00.03.943,0.788,0.488,0.305,-0.122
1626274803963,2021-07-14T11.00.03.963,0.808,0.427,0.122,-0.183
1626274803983,2021-07-14T11.00.03.983,0.828,0.549,0.061,-0.244
1626274804003,2021-07-14T11.00.04.003,0.848,1.037,0.305,-0.122
1626274804022,2021-07-14T11.00.04.022,0.867,0.610,0.244,0.061
1626274804043,2021-07-14T11.00.04.043,0.888,0.000,0.122,0.305
1626274804062,2021-07-14T11.00.04.062,0.907,-0.244,-0.183,0.305
1626274804082,2021-07-14T11.00.04.082,0.927,-0.183,-0.061,0.244
1626274804101,2021-07-14T11.00.04.101,0.946,0.305,0.549,0.122
1626274804122,2021-07-14T11.00.04.122,0.967,0.427,0.427,0.061
1626274804141,2021-07-14T11.00.04.141,0.986,-0.183,-0.427,0.183
1626274804160,2021-07-14T11.00.04.160,1.005,-0.610,-0.854,0.183
1626274804180,2021-07-14T11.00.04.180,1.025,-0.427,-0.610,0.244
1626274804199,2021-07-14T11.00.04.199,1.044,-0.366,-0.671,0.366
1626274804220,2021-07-14T11.00.04.220,1.065,-0.610,-0.976,0.427
1626274804239,2021-07-14T11.00.04.239,1.084,-1.037,-1.402,0.488
1626274804259,2021-07-14T11.00.04.259,1.104,-1.159,-1.280,0.671
1626274804278,2021-07-14T11.00.04.278,1.123,-1.098,-0.915,0.793
1626274804299,2021-07-14T11.00.04.299,1.144,-1.280,-0.915,0.732
1626274804318,2021-07-14T11.00.04.318,1.163,-0.915,-0.427,0.610
1626274804338,2021-07-14T11.00.04.338,1.183,-0.549,-0.122,0.671
1626274804358,2021-07-14T11.00.04.358,1.203,-0.427,-0.244,0.549
1626274804378,2021-07-14T11.00.04.378,1.223,-0.244,0.061,0.366
1626274804397,2021-07-14T11.00.04.397,1.242,-0.061,0.366,0.122
1626274804416,2021-07-14T11.00.04.416,1.261,0.000,0.549,0.061
1626274804437,2021-07-14T11.00.04.437,1.282,-0.061,0.427,0.122
1626274804456,2021-07-14T11.00.04.456,1.301,0.000,0.244,0.122
1626274804476,2021-07-14T11.00.04.476,1.321,0.000,0.122,0.244
1626274804495,2021-07-14T11.00.04.495,1.340,0.122,-0.061,0.305
1626274804516,2021-07-14T11.00.04.516,1.361,-0.061,-0.183,0.061
1626274804535,2021-07-14T11.00.04.535,1.380,0.244,0.122,0.183
1626274804555,2021-07-14T11.00.04.555,1.400,1.098,0.122,0.427
1626274804574,2021-07-14T11.00.04.574,1.419,1.524,-0.244,0.305
1626274804595,2021-07-14T11.00.04.595,1.440,2.012,-0.305,0.305
1626274804614,2021-07-14T11.00.04.614,1.459,1.890,-0.122,0.366
1626274804633,2021-07-14T11.00.04.633,1.478,1.524,0.000,0.366
1626274804653,2021-07-14T11.00.04.653,1.498,1.037,0.183,0.427
1626274804672,2021-07-14T11.00.04.672,1.517,0.854,0.061,0.427
1626274804693,2021-07-14T11.00.04.693,1.538,0.183,-0.549,0.366
1626274804712,2021-07-14T11.00.04.712,1.557,-0.244,-0.610,0.244
1626274804733,2021-07-14T11.00.04.733,1.578,0.000,0.122,0.305
1626274804752,2021-07-14T11.00.04.752,1.597,0.183,0.610,0.305
1626274804772,2021-07-14T11.00.04.772,1.617,0.244,0.854,0.183
1626274804791,2021-07-14T11.00.04.791,1.636,0.122,0.671,0.122
1626274804812,2021-07-14T11.00.04.812,1.657,0.000,0.610,0.122
1626274804831,2021-07-14T11.00.04.831,1.676,0.305,0.976,0.305
1626274804851,2021-07-14T11.00.04.851,1.696,0.793,1.402,0.305
1626274804870,2021-07-14T11.00.04.870,1.715,0.671,0.915,0.244
1626274804889,2021-07-14T11.00.04.889,1.734,0.305,0.732,0.427
1626274804910,2021-07-14T11.00.04.910,1.755,0.122,0.793,0.610
1626274804929,2021-07-14T11.00.04.929,1.774,0.732,1.341,0.427
1626274804949,2021-07-14T11.00.04.949,1.794,0.488,0.793,0.366
1626274804968,2021-07-14T11.00.04.968,1.813,0.183,0.244,0.244
1626274804989,2021-07-14T11.00.04.989,1.834,0.061,0.427,0.305
1626274805008,2021-07-14T11.00.05.008,1.853,0.122,0.671,0.244
1626274805028,2021-07-14T11.00.05.028,1.873,-0.122,0.610,0.061
1626274805047,2021-07-14T11.00.05.047,1.892,0.000,0.793,0.122
1626274805068,2021-07-14T11.00.05.068,1.913,0.244,0.732,0.183
1626274805087,2021-07-14T11.00.05.087,1.932,0.061,0.305,0.183
1626274805106,2021-07-14T11.00.05.106,1.951,-0.183,0.000,0.366
1626274805127,2021-07-14T11.00.05.127,1.972,-0.610,-0.671,0.244
1626274805147,2021-07-14T11.00.05.147,1.992,-1.280,-0.915,0.122
1626274805166,2021-07-14T11.00.05.166,2.011,-1.890,-1.098,0.244
1626274805185,2021-07-14T11.00.05.185,2.030,-2.378,-1.402,0.549
1626274805206,2021-07-14T11.00.05.206,2.051,-2.744,-1.524,0.793
1626274805226,2021-07-14T11.00.05.226,2.071,-2.378,-0.732,0.793
1626274805245,2021-07-14T11.00.05.245,2.090,-2.378,-0.610,0.793
1626274805264,2021-07-14T11.00.05.264,2.109,-1.951,-0.427,0.793
1626274805285,2021-07-14T11.00.05.285,2.130,-1.707,-0.671,0.793
1626274805304,2021-07-14T11.00.05.304,2.149,-1.585,-0.732,0.732
1626274805324,2021-07-14T11.00.05.324,2.169,-1.280,-0.183,0.549
1626274805343,2021-07-14T11.00.05.343,2.188,-1.098,-0.427,0.488
