epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636748292536,2021-11-12T15.18.12.536,0.000,0.441,0.292,0.853
1636748292557,2021-11-12T15.18.12.557,0.021,0.446,0.294,0.860
1636748292576,2021-11-12T15.18.12.576,0.040,0.443,0.295,0.860
1636748292596,2021-11-12T15.18.12.596,0.060,0.443,0.294,0.859
1636748292617,2021-11-12T15.18.12.617,0.081,0.442,0.295,0.858
1636748292637,2021-11-12T15.18.12.637,0.101,0.443,0.296,0.859
1636748292658,2021-11-12T15.18.12.658,0.122,0.443,0.295,0.859
1636748292678,2021-11-12T15.18.12.678,0.142,0.444,0.295,0.857
1636748292699,2021-11-12T15.18.12.699,0.163,0.444,0.296,0.857
1636748292718,2021-11-12T15.18.12.718,0.182,0.443,0.294,0.859
1636748292738,2021-11-12T15.18.12.738,0.202,0.443,0.295,0.860
1636748292759,2021-11-12T15.18.12.759,0.223,0.443,0.296,0.858
1636748292779,2021-11-12T15.18.12.779,0.243,0.443,0.296,0.859
1636748292800,2021-11-12T15.18.12.800,0.264,0.442,0.295,0.859
1636748292820,2021-11-12T15.18.12.820,0.284,0.443,0.295,0.858
1636748292841,2021-11-12T15.18.12.841,0.305,0.444,0.296,0.859
1636748292860,2021-11-12T15.18.12.860,0.324,0.442,0.296,0.858
1636748292881,2021-11-12T15.18.12.881,0.345,0.443,0.295,0.858
1636748292901,2021-11-12T15.18.12.901,0.365,0.442,0.296,0.859
1636748292922,2021-11-12T15.18.12.922,0.386,0.441,0.296,0.860
1636748292942,2021-11-12T15.18.12.942,0.406,0.444,0.294,0.861
1636748292963,2021-11-12T15.18.12.963,0.427,0.444,0.295,0.861
1636748292983,2021-11-12T15.18.12.983,0.447,0.444,0.294,0.860
1636748293002,2021-11-12T15.18.13.002,0.466,0.442,0.295,0.860
1636748293023,2021-11-12T15.18.13.023,0.487,0.444,0.296,0.858
1636748293043,2021-11-12T15.18.13.043,0.507,0.443,0.296,0.859
1636748293064,2021-11-12T15.18.13.064,0.528,0.442,0.296,0.861
1636748293084,2021-11-12T15.18.13.084,0.548,0.442,0.298,0.859
1636748293105,2021-11-12T15.18.13.105,0.569,0.442,0.297,0.858
1636748293125,2021-11-12T15.18.13.125,0.589,0.443,0.296,0.860
1636748293144,2021-11-12T15.18.13.144,0.608,0.442,0.298,0.861
1636748293165,2021-11-12T15.18.13.165,0.629,0.443,0.296,0.860
1636748293185,2021-11-12T15.18.13.185,0.649,0.442,0.297,0.859
1636748293206,2021-11-12T15.18.13.206,0.670,0.442,0.295,0.860
1636748293226,2021-11-12T15.18.13.226,0.690,0.443,0.296,0.861
1636748293247,2021-11-12T15.18.13.247,0.711,0.443,0.295,0.859
1636748293267,2021-11-12T15.18.13.267,0.731,0.442,0.296,0.861
1636748293288,2021-11-12T15.18.13.288,0.752,0.443,0.296,0.861
1636748293307,2021-11-12T15.18.13.307,0.771,0.443,0.297,0.861
1636748293327,2021-11-12T15.18.13.327,0.791,0.444,0.297,0.860
1636748293348,2021-11-12T15.18.13.348,0.812,0.443,0.296,0.860
1636748293368,2021-11-12T15.18.13.368,0.832,0.443,0.297,0.860
1636748293389,2021-11-12T15.18.13.389,0.853,0.443,0.295,0.860
1636748293409,2021-11-12T15.18.13.409,0.873,0.442,0.296,0.861
1636748293430,2021-11-12T15.18.13.430,0.894,0.443,0.297,0.858
1636748293449,2021-11-12T15.18.13.449,0.913,0.443,0.295,0.860
1636748293469,2021-11-12T15.18.13.469,0.933,0.443,0.296,0.862
1636748293490,2021-11-12T15.18.13.490,0.954,0.441,0.296,0.862
1636748293510,2021-11-12T15.18.13.510,0.974,0.442,0.297,0.860
1636748293531,2021-11-12T15.18.13.531,0.995,0.444,0.296,0.860
1636748293551,2021-11-12T15.18.13.551,1.015,0.445,0.297,0.857
1636748293572,2021-11-12T15.18.13.572,1.036,0.443,0.298,0.860
1636748293591,2021-11-12T15.18.13.591,1.055,0.444,0.296,0.861
1636748293611,2021-11-12T15.18.13.611,1.075,0.442,0.296,0.859
1636748293632,2021-11-12T15.18.13.632,1.096,0.442,0.296,0.860
1636748293653,2021-11-12T15.18.13.653,1.117,0.442,0.296,0.860
1636748293673,2021-11-12T15.18.13.673,1.137,0.442,0.297,0.859
1636748293694,2021-11-12T15.18.13.694,1.158,0.442,0.297,0.860
1636748293714,2021-11-12T15.18.13.714,1.178,0.441,0.296,0.860
1636748293733,2021-11-12T15.18.13.733,1.197,0.442,0.297,0.860
1636748293754,2021-11-12T15.18.13.754,1.218,0.443,0.295,0.863
1636748293774,2021-11-12T15.18.13.774,1.238,0.442,0.296,0.862
1636748293795,2021-11-12T15.18.13.795,1.259,0.443,0.295,0.861
1636748293815,2021-11-12T15.18.13.815,1.279,0.442,0.297,0.858
1636748293836,2021-11-12T15.18.13.836,1.300,0.441,0.298,0.860
1636748293856,2021-11-12T15.18.13.856,1.320,0.443,0.297,0.862
1636748293875,2021-11-12T15.18.13.875,1.339,0.442,0.294,0.861
1636748293896,2021-11-12T15.18.13.896,1.360,0.442,0.294,0.862
1636748293916,2021-11-12T15.18.13.916,1.380,0.442,0.296,0.862
1636748293937,2021-11-12T15.18.13.937,1.401,0.443,0.295,0.860
1636748293957,2021-11-12T15.18.13.957,1.421,0.441,0.296,0.861
1636748293978,2021-11-12T15.18.13.978,1.442,0.442,0.297,0.860
1636748293998,2021-11-12T15.18.13.998,1.462,0.442,0.297,0.859
1636748294017,2021-11-12T15.18.14.017,1.481,0.441,0.296,0.861
1636748294038,2021-11-12T15.18.14.038,1.502,0.442,0.297,0.860
1636748294058,2021-11-12T15.18.14.058,1.522,0.442,0.295,0.859
1636748294079,2021-11-12T15.18.14.079,1.543,0.441,0.296,0.859
1636748294099,2021-11-12T15.18.14.099,1.563,0.441,0.297,0.860
1636748294120,2021-11-12T15.18.14.120,1.584,0.443,0.297,0.862
1636748294140,2021-11-12T15.18.14.140,1.604,0.444,0.297,0.861
1636748294159,2021-11-12T15.18.14.159,1.623,0.441,0.297,0.860
