epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635346032015,2021-10-27T10.47.12.015,1.651,0.603,-0.010,0.792
1635346032034,2021-10-27T10.47.12.034,1.670,0.604,-0.012,0.793
1635346032055,2021-10-27T10.47.12.055,1.691,0.604,-0.012,0.793
1635346032075,2021-10-27T10.47.12.075,1.711,0.604,-0.011,0.793
1635346032094,2021-10-27T10.47.12.094,1.730,0.605,-0.011,0.793
1635346032115,2021-10-27T10.47.12.115,1.751,0.604,-0.010,0.790
1635346032134,2021-10-27T10.47.12.134,1.770,0.604,-0.012,0.792
1635346032154,2021-10-27T10.47.12.154,1.790,0.604,-0.010,0.792
1635346032173,2021-10-27T10.47.12.173,1.809,0.604,-0.010,0.791
1635346032194,2021-10-27T10.47.12.194,1.830,0.605,-0.011,0.792
1635346032214,2021-10-27T10.47.12.214,1.850,0.606,-0.011,0.792
1635346032233,2021-10-27T10.47.12.233,1.869,0.603,-0.010,0.791
1635346032254,2021-10-27T10.47.12.254,1.890,0.604,-0.009,0.793
1635346032273,2021-10-27T10.47.12.273,1.909,0.604,-0.010,0.793
1635346032293,2021-10-27T10.47.12.293,1.929,0.603,-0.012,0.792
1635346032313,2021-10-27T10.47.12.313,1.949,0.604,-0.012,0.792
1635346032333,2021-10-27T10.47.12.333,1.969,0.605,-0.013,0.793
1635346032354,2021-10-27T10.47.12.354,1.990,0.605,-0.012,0.792
1635346032373,2021-10-27T10.47.12.373,2.009,0.605,-0.009,0.793
1635346032393,2021-10-27T10.47.12.393,2.029,0.605,-0.009,0.792
1635346032412,2021-10-27T10.47.12.412,2.048,0.605,-0.011,0.792
1635346032433,2021-10-27T10.47.12.433,2.069,0.605,-0.011,0.793
1635346032452,2021-10-27T10.47.12.452,2.088,0.604,-0.009,0.792
1635346032472,2021-10-27T10.47.12.472,2.108,0.605,-0.009,0.794
1635346032493,2021-10-27T10.47.12.493,2.129,0.604,-0.010,0.795
1635346032512,2021-10-27T10.47.12.512,2.148,0.604,-0.012,0.792
1635346032532,2021-10-27T10.47.12.532,2.168,0.603,-0.010,0.792
1635346032551,2021-10-27T10.47.12.551,2.187,0.604,-0.010,0.795
1635346032572,2021-10-27T10.47.12.572,2.208,0.603,-0.010,0.794
1635346032592,2021-10-27T10.47.12.592,2.228,0.604,-0.010,0.794
1635346032611,2021-10-27T10.47.12.611,2.247,0.603,-0.011,0.793
1635346032632,2021-10-27T10.47.12.632,2.268,0.603,-0.010,0.792
1635346032651,2021-10-27T10.47.12.651,2.287,0.604,-0.010,0.794
1635346032671,2021-10-27T10.47.12.671,2.307,0.604,-0.011,0.793
1635346032690,2021-10-27T10.47.12.690,2.326,0.605,-0.011,0.792
1635346032711,2021-10-27T10.47.12.711,2.347,0.605,-0.012,0.792
1635346032731,2021-10-27T10.47.12.731,2.367,0.604,-0.013,0.792
1635346032751,2021-10-27T10.47.12.751,2.387,0.604,-0.011,0.792
1635346032771,2021-10-27T10.47.12.771,2.407,0.604,-0.009,0.792
1635346032790,2021-10-27T10.47.12.790,2.426,0.602,-0.011,0.794
1635346032811,2021-10-27T10.47.12.811,2.447,0.604,-0.011,0.792
1635346032830,2021-10-27T10.47.12.830,2.466,0.603,-0.011,0.793
1635346032850,2021-10-27T10.47.12.850,2.486,0.603,-0.010,0.794
1635346032871,2021-10-27T10.47.12.871,2.507,0.602,-0.009,0.794
1635346032890,2021-10-27T10.47.12.890,2.526,0.604,-0.010,0.792
1635346032910,2021-10-27T10.47.12.910,2.546,0.604,-0.011,0.792
1635346032929,2021-10-27T10.47.12.929,2.565,0.604,-0.011,0.792
1635346032950,2021-10-27T10.47.12.950,2.586,0.605,-0.011,0.792
1635346032970,2021-10-27T10.47.12.970,2.606,0.602,-0.011,0.794
1635346032989,2021-10-27T10.47.12.989,2.625,0.602,-0.011,0.792
1635346033010,2021-10-27T10.47.13.010,2.646,0.604,-0.011,0.792
1635346033029,2021-10-27T10.47.13.029,2.665,0.604,-0.013,0.795
1635346033049,2021-10-27T10.47.13.049,2.685,0.603,-0.011,0.795
1635346033068,2021-10-27T10.47.13.068,2.704,0.604,-0.012,0.793
1635346033089,2021-10-27T10.47.13.089,2.725,0.603,-0.012,0.792
1635346033109,2021-10-27T10.47.13.109,2.745,0.604,-0.010,0.793
1635346033128,2021-10-27T10.47.13.128,2.764,0.605,-0.010,0.793
1635346033149,2021-10-27T10.47.13.149,2.785,0.604,-0.012,0.793
1635346033168,2021-10-27T10.47.13.168,2.804,0.604,-0.009,0.791
1635346033189,2021-10-27T10.47.13.189,2.825,0.604,-0.008,0.794
1635346033208,2021-10-27T10.47.13.208,2.844,0.605,-0.008,0.794
1635346033228,2021-10-27T10.47.13.228,2.864,0.604,-0.009,0.793
1635346033249,2021-10-27T10.47.13.249,2.885,0.604,-0.010,0.793
1635346033268,2021-10-27T10.47.13.268,2.904,0.604,-0.010,0.793
1635346033288,2021-10-27T10.47.13.288,2.924,0.605,-0.011,0.793
1635346033307,2021-10-27T10.47.13.307,2.943,0.602,-0.013,0.792
1635346033328,2021-10-27T10.47.13.328,2.964,0.603,-0.013,0.793
1635346033347,2021-10-27T10.47.13.347,2.983,0.603,-0.011,0.792
1635346033367,2021-10-27T10.47.13.367,3.003,0.604,-0.011,0.794
1635346033388,2021-10-27T10.47.13.388,3.024,0.603,-0.010,0.792
1635346033407,2021-10-27T10.47.13.407,3.043,0.604,-0.011,0.793
1635346033427,2021-10-27T10.47.13.427,3.063,0.606,-0.013,0.794
1635346033446,2021-10-27T10.47.13.446,3.082,0.604,-0.013,0.793
1635346033467,2021-10-27T10.47.13.467,3.103,0.603,-0.009,0.795
1635346033487,2021-10-27T10.47.13.487,3.123,0.603,-0.010,0.792
1635346033506,2021-10-27T10.47.13.506,3.142,0.604,-0.014,0.791
1635346033527,2021-10-27T10.47.13.527,3.163,0.603,-0.013,0.795
1635346033546,2021-10-27T10.47.13.546,3.182,0.602,-0.009,0.795
1635346033566,2021-10-27T10.47.13.566,3.202,0.605,-0.010,0.792
1635346033585,2021-10-27T10.47.13.585,3.221,0.603,-0.011,0.793
1635346033606,2021-10-27T10.47.13.606,3.242,0.603,-0.010,0.792
1635346033627,2021-10-27T10.47.13.627,3.263,0.604,-0.010,0.792
1635346033646,2021-10-27T10.47.13.646,3.282,0.604,-0.010,0.792
1635346033666,2021-10-27T10.47.13.666,3.302,0.604,-0.008,0.792
1635346033685,2021-10-27T10.47.13.685,3.321,0.605,-0.008,0.792
1635346033706,2021-10-27T10.47.13.706,3.342,0.605,-0.008,0.792
1635346033725,2021-10-27T10.47.13.725,3.361,0.606,-0.010,0.791
1635346033745,2021-10-27T10.47.13.745,3.381,0.605,-0.011,0.792
1635346033766,2021-10-27T10.47.13.766,3.402,0.604,-0.012,0.793
1635346033785,2021-10-27T10.47.13.785,3.421,0.604,-0.011,0.792
1635346033805,2021-10-27T10.47.13.805,3.441,0.602,-0.012,0.793
1635346033824,2021-10-27T10.47.13.824,3.460,0.604,-0.010,0.793
1635346033845,2021-10-27T10.47.13.845,3.481,0.604,-0.010,0.792
1635346033864,2021-10-27T10.47.13.864,3.500,0.603,-0.013,0.792
1635346033884,2021-10-27T10.47.13.884,3.520,0.603,-0.013,0.793
1635346033905,2021-10-27T10.47.13.905,3.541,0.603,-0.009,0.792
1635346033924,2021-10-27T10.47.13.924,3.560,0.602,-0.008,0.794
1635346033944,2021-10-27T10.47.13.944,3.580,0.603,-0.011,0.793
1635346033963,2021-10-27T10.47.13.963,3.599,0.603,-0.010,0.792
1635346033984,2021-10-27T10.47.13.984,3.620,0.604,-0.011,0.792
1635346034004,2021-10-27T10.47.14.004,3.640,0.603,-0.012,0.794
1635346034023,2021-10-27T10.47.14.023,3.659,0.602,-0.010,0.795
1635346034044,2021-10-27T10.47.14.044,3.680,0.604,-0.009,0.792
1635346034063,2021-10-27T10.47.14.063,3.699,0.604,-0.009,0.794
1635346034084,2021-10-27T10.47.14.084,3.720,0.603,-0.011,0.792
1635346034103,2021-10-27T10.47.14.103,3.739,0.602,-0.012,0.792
1635346034123,2021-10-27T10.47.14.123,3.759,0.604,-0.012,0.792
1635346034144,2021-10-27T10.47.14.144,3.780,0.603,-0.011,0.793
1635346034163,2021-10-27T10.47.14.163,3.799,0.604,-0.013,0.792
1635346034183,2021-10-27T10.47.14.183,3.819,0.604,-0.011,0.792
1635346034202,2021-10-27T10.47.14.202,3.838,0.604,-0.011,0.793
1635346034223,2021-10-27T10.47.14.223,3.859,0.603,-0.011,0.794
1635346034242,2021-10-27T10.47.14.242,3.878,0.604,-0.009,0.793
1635346034262,2021-10-27T10.47.14.262,3.898,0.604,-0.010,0.792
1635346034283,2021-10-27T10.47.14.283,3.919,0.602,-0.012,0.793
1635346034302,2021-10-27T10.47.14.302,3.938,0.604,-0.012,0.793
1635346034322,2021-10-27T10.47.14.322,3.958,0.604,-0.011,0.792
1635346034341,2021-10-27T10.47.14.341,3.977,0.604,-0.012,0.792
1635346034362,2021-10-27T10.47.14.362,3.998,0.604,-0.012,0.793
1635346034381,2021-10-27T10.47.14.381,4.017,0.604,-0.011,0.793
1635346034401,2021-10-27T10.47.14.401,4.037,0.604,-0.009,0.793
1635346034422,2021-10-27T10.47.14.422,4.058,0.605,-0.009,0.794
1635346034441,2021-10-27T10.47.14.441,4.077,0.605,-0.010,0.792
1635346034461,2021-10-27T10.47.14.461,4.097,0.604,-0.008,0.792
1635346034481,2021-10-27T10.47.14.481,4.117,0.603,-0.010,0.792
1635346034501,2021-10-27T10.47.14.501,4.137,0.605,-0.010,0.792
1635346034522,2021-10-27T10.47.14.522,4.158,0.604,-0.010,0.793
1635346034541,2021-10-27T10.47.14.541,4.177,0.605,-0.011,0.792
1635346034561,2021-10-27T10.47.14.561,4.197,0.606,-0.011,0.793
1635346034580,2021-10-27T10.47.14.580,4.216,0.605,-0.010,0.791
1635346034601,2021-10-27T10.47.14.601,4.237,0.605,-0.009,0.792
1635346034620,2021-10-27T10.47.14.620,4.256,0.606,-0.008,0.793
1635346034640,2021-10-27T10.47.14.640,4.276,0.606,-0.010,0.793
1635346034661,2021-10-27T10.47.14.661,4.297,0.605,-0.009,0.793
1635346034680,2021-10-27T10.47.14.680,4.316,0.606,-0.009,0.792
1635346034700,2021-10-27T10.47.14.700,4.336,0.607,-0.011,0.792
1635346034719,2021-10-27T10.47.14.719,4.355,0.606,-0.011,0.792
1635346034740,2021-10-27T10.47.14.740,4.376,0.604,-0.011,0.793
1635346034759,2021-10-27T10.47.14.759,4.395,0.605,-0.010,0.793
1635346034779,2021-10-27T10.47.14.779,4.415,0.604,-0.011,0.794
1635346034800,2021-10-27T10.47.14.800,4.436,0.604,-0.012,0.792
1635346034819,2021-10-27T10.47.14.819,4.455,0.604,-0.010,0.792
1635346034839,2021-10-27T10.47.14.839,4.475,0.604,-0.010,0.792
1635346034858,2021-10-27T10.47.14.858,4.494,0.604,-0.012,0.794
1635346034879,2021-10-27T10.47.14.879,4.515,0.604,-0.010,0.793
1635346034899,2021-10-27T10.47.14.899,4.535,0.604,-0.011,0.792
1635346034918,2021-10-27T10.47.14.918,4.554,0.605,-0.012,0.793
1635346034939,2021-10-27T10.47.14.939,4.575,0.602,-0.010,0.793
1635346034958,2021-10-27T10.47.14.958,4.594,0.602,-0.010,0.793
1635346034979,2021-10-27T10.47.14.979,4.615,0.602,-0.010,0.795
1635346034998,2021-10-27T10.47.14.998,4.634,0.604,-0.010,0.794
1635346035018,2021-10-27T10.47.15.018,4.654,0.604,-0.011,0.793
1635346035039,2021-10-27T10.47.15.039,4.675,0.604,-0.010,0.795
1635346035058,2021-10-27T10.47.15.058,4.694,0.602,-0.012,0.794
1635346035078,2021-10-27T10.47.15.078,4.714,0.604,-0.013,0.795
1635346035097,2021-10-27T10.47.15.097,4.733,0.604,-0.013,0.792
1635346035118,2021-10-27T10.47.15.118,4.754,0.605,-0.013,0.793
1635346035137,2021-10-27T10.47.15.137,4.773,0.605,-0.011,0.792
1635346035157,2021-10-27T10.47.15.157,4.793,0.604,-0.011,0.792
1635346035178,2021-10-27T10.47.15.178,4.814,0.604,-0.010,0.791
1635346035197,2021-10-27T10.47.15.197,4.833,0.606,-0.010,0.792
1635346035217,2021-10-27T10.47.15.217,4.853,0.605,-0.008,0.794
1635346035236,2021-10-27T10.47.15.236,4.872,0.604,-0.009,0.793
1635346035257,2021-10-27T10.47.15.257,4.893,0.604,-0.011,0.794
1635346035276,2021-10-27T10.47.15.276,4.912,0.604,-0.011,0.792
1635346035296,2021-10-27T10.47.15.296,4.932,0.605,-0.011,0.792
1635346035317,2021-10-27T10.47.15.317,4.953,0.604,-0.010,0.794
1635346035336,2021-10-27T10.47.15.336,4.972,0.604,-0.011,0.794
1635346035356,2021-10-27T10.47.15.356,4.992,0.603,-0.010,0.792
1635346035376,2021-10-27T10.47.15.376,5.012,0.604,-0.010,0.793
1635346035396,2021-10-27T10.47.15.396,5.032,0.604,-0.009,0.793
1635346035417,2021-10-27T10.47.15.417,5.053,0.604,-0.009,0.792
1635346035436,2021-10-27T10.47.15.436,5.072,0.604,-0.010,0.793
1635346035456,2021-10-27T10.47.15.456,5.092,0.604,-0.008,0.795
1635346035475,2021-10-27T10.47.15.475,5.111,0.605,-0.009,0.794
1635346035496,2021-10-27T10.47.15.496,5.132,0.605,-0.011,0.792
1635346035515,2021-10-27T10.47.15.515,5.151,0.604,-0.014,0.792
1635346035535,2021-10-27T10.47.15.535,5.171,0.605,-0.011,0.792
1635346035556,2021-10-27T10.47.15.556,5.192,0.604,-0.012,0.793
1635346035575,2021-10-27T10.47.15.575,5.211,0.604,-0.010,0.792
1635346035595,2021-10-27T10.47.15.595,5.231,0.605,-0.010,0.794
1635346035614,2021-10-27T10.47.15.614,5.250,0.605,-0.011,0.792
1635346035635,2021-10-27T10.47.15.635,5.271,0.604,-0.012,0.791
1635346035654,2021-10-27T10.47.15.654,5.290,0.606,-0.012,0.792
1635346035674,2021-10-27T10.47.15.674,5.310,0.607,-0.009,0.792
1635346035695,2021-10-27T10.47.15.695,5.331,0.603,-0.009,0.792
1635346035714,2021-10-27T10.47.15.714,5.350,0.605,-0.011,0.795
1635346035734,2021-10-27T10.47.15.734,5.370,0.605,-0.010,0.794
1635346035753,2021-10-27T10.47.15.753,5.389,0.604,-0.010,0.795
