time,x-gyro,y-gyro,z-gyro
2021-11-26T16:13:04.669,-0.701,0.274,-0.152
2021-11-26T16:13:04.687,-0.793,0.183,-0.183
2021-11-26T16:13:04.709,-0.640,0.244,-0.122
2021-11-26T16:13:04.720,-0.549,0.213,-0.091
2021-11-26T16:13:04.746,-0.579,0.183,-0.152
2021-11-26T16:13:04.764,-0.457,0.152,-0.183
2021-11-26T16:13:04.787,-0.549,0.213,-0.213
2021-11-26T16:13:04.809,-0.549,0.061,-0.183
2021-11-26T16:13:04.822,-0.396,0.061,-0.183
2021-11-26T16:13:04.844,-0.488,0.061,-0.244
2021-11-26T16:13:04.866,-0.396,0.152,-0.244
2021-11-26T16:13:04.888,-0.427,0.366,-0.213
2021-11-26T16:13:04.900,-0.640,0.213,-0.213
2021-11-26T16:13:04.924,-0.579,0.274,-0.244
2021-11-26T16:13:04.945,-0.549,0.335,-0.213
2021-11-26T16:13:04.978,-0.579,0.183,-0.274
2021-11-26T16:13:04.980,-0.579,0.244,-0.335
2021-11-26T16:13:05.001,-0.671,0.213,-0.274
2021-11-26T16:13:05.024,-0.518,0.183,-0.305
2021-11-26T16:13:05.046,-0.305,0.244,-0.305
2021-11-26T16:13:05.080,-0.396,0.091,-0.366
2021-11-26T16:13:05.082,-0.335,-0.030,-0.396
2021-11-26T16:13:05.102,-0.335,-0.061,-0.366
2021-11-26T16:13:05.126,-0.305,-0.091,-0.335
2021-11-26T16:13:05.147,-0.122,-0.091,-0.366
2021-11-26T16:13:05.160,-0.091,-0.122,-0.305
2021-11-26T16:13:05.181,-0.274,-0.183,-0.305
2021-11-26T16:13:05.203,-0.244,-0.091,-0.305
2021-11-26T16:13:05.226,-0.335,-0.183,-0.305
2021-11-26T16:13:05.237,-0.274,-0.183,-0.274
2021-11-26T16:13:05.260,-0.122,-0.183,-0.244
2021-11-26T16:13:05.282,-0.274,-0.244,-0.213
2021-11-26T16:13:05.305,-0.213,-0.091,-0.213
2021-11-26T16:13:05.326,-0.335,-0.122,-0.244
2021-11-26T16:13:05.339,-0.671,0.000,-0.213
2021-11-26T16:13:05.361,-0.549,0.122,-0.244
2021-11-26T16:13:05.384,-0.610,0.091,-0.244
2021-11-26T16:13:05.417,-0.701,0.183,-0.305
2021-11-26T16:13:05.421,-0.579,0.183,-0.305
2021-11-26T16:13:05.440,-0.518,0.000,-0.274
2021-11-26T16:13:05.463,-0.366,0.061,-0.274
2021-11-26T16:13:05.486,-0.396,0.122,-0.274
2021-11-26T16:13:05.496,-0.396,0.030,-0.274
2021-11-26T16:13:05.519,-0.244,0.122,-0.244
2021-11-26T16:13:05.542,-0.457,0.030,-0.183
2021-11-26T16:13:05.585,-0.549,0.000,-0.122
2021-11-26T16:13:05.586,-0.579,0.183,0.030
2021-11-26T16:13:05.597,-0.457,0.000,0.091
2021-11-26T16:13:05.620,-0.335,-0.213,0.213
2021-11-26T16:13:05.642,-0.305,-0.549,0.427
2021-11-26T16:13:05.665,-0.396,-1.067,0.549
2021-11-26T16:13:05.676,-0.305,-0.823,0.549
2021-11-26T16:13:05.698,-0.793,0.030,0.335
2021-11-26T16:13:05.723,-0.793,0.244,0.000
2021-11-26T16:13:05.744,-0.640,0.457,-0.122
