time,x-gyro,y-gyro,z-gyro
2021-08-03T11:53:45.432,0.122,-0.488,-0.335
2021-08-03T11:53:45.456,0.122,-0.305,-0.152
2021-08-03T11:53:45.478,0.091,-0.274,-0.305
2021-08-03T11:53:45.503,0.061,-0.213,-0.305
2021-08-03T11:53:45.511,-0.091,-0.122,-0.274
2021-08-03T11:53:45.534,-0.213,-0.122,-0.244
2021-08-03T11:53:45.556,-0.396,-0.061,-0.183
2021-08-03T11:53:45.578,-0.488,0.061,-0.091
2021-08-03T11:53:45.601,-0.701,0.183,-0.122
2021-08-03T11:53:45.613,-0.915,0.427,-0.183
2021-08-03T11:53:45.636,-1.067,0.671,-0.152
2021-08-03T11:53:45.657,-1.159,0.640,-0.244
2021-08-03T11:53:45.679,-1.189,0.579,-0.335
2021-08-03T11:53:45.706,-1.280,0.457,-0.396
2021-08-03T11:53:45.713,-1.128,0.366,-0.427
2021-08-03T11:53:45.737,-0.976,0.091,-0.457
2021-08-03T11:53:45.758,-0.762,-0.061,-0.427
2021-08-03T11:53:45.781,-0.335,-0.274,-0.366
2021-08-03T11:53:45.792,0.030,-0.335,-0.396
2021-08-03T11:53:45.815,0.122,-0.427,-0.396
2021-08-03T11:53:45.837,-0.122,-0.335,-0.274
2021-08-03T11:53:45.862,-0.488,-0.030,-0.030
2021-08-03T11:53:45.883,-0.884,0.305,0.122
2021-08-03T11:53:45.893,-0.854,0.427,0.183
2021-08-03T11:53:45.919,-0.579,0.549,0.244
2021-08-03T11:53:45.939,-0.213,0.366,0.091
2021-08-03T11:53:45.964,0.091,0.122,-0.091
2021-08-03T11:53:45.985,0.122,0.091,-0.091
2021-08-03T11:53:45.997,-0.152,0.122,-0.061
2021-08-03T11:53:46.020,-0.610,0.183,-0.091
2021-08-03T11:53:46.040,-0.732,0.244,-0.061
2021-08-03T11:53:46.063,-0.671,0.183,-0.122
2021-08-03T11:53:46.086,-0.518,0.000,-0.122
2021-08-03T11:53:46.096,-0.518,-0.061,-0.152
2021-08-03T11:53:46.121,-0.549,0.030,-0.122
2021-08-03T11:53:46.142,-0.518,0.030,-0.091
2021-08-03T11:53:46.168,-0.610,0.030,-0.091
2021-08-03T11:53:46.187,-0.610,0.030,-0.152
2021-08-03T11:53:46.197,-0.640,0.030,-0.183
2021-08-03T11:53:46.221,-0.762,0.122,-0.091
2021-08-03T11:53:46.244,-0.945,0.213,0.030
2021-08-03T11:53:46.265,-0.854,0.213,-0.061
2021-08-03T11:53:46.288,-0.701,0.091,-0.122
2021-08-03T11:53:46.298,-0.732,0.061,-0.122
2021-08-03T11:53:46.323,-0.915,0.122,0.000
