time,x-accel,y-accel,z-accel
1618163045505,0.072509766,0.69506836,0.87390137
1618163045537,0.17578125,0.9454346,0.85388184
1618163045565,0.14038086,0.99609375,0.6497803
1618163045565,0.2640381,0.7669678,0.5686035
1618163045597,0.42016602,0.67248535,0.6343994
1618163045625,0.41003418,0.5625,0.70996094
1618163045626,0.41271973,0.47070312,0.8354492
1618163045655,0.38671875,0.44995117,0.8614502
1618163045684,0.31811523,0.5189209,0.7727051
1618163045685,0.3322754,0.60131836,0.7373047
1618163045715,0.34020996,0.59973145,0.74035645
1618163045745,0.33032227,0.578125,0.7507324
1618163045745,0.32104492,0.5822754,0.751709
1618163045776,0.3161621,0.5977783,0.7408447
1618163045807,0.34179688,0.5690918,0.76293945
1618163045807,0.34960938,0.560791,0.77697754
1618163045836,0.35217285,0.6044922,0.7675781
1618163045865,0.35510254,0.6270752,0.76379395
1618163045867,0.31860352,0.6119385,0.75549316
1618163045896,0.31396484,0.5970459,0.7578125
1618163045925,0.33984375,0.5687256,0.7675781
1618163045927,0.34558105,0.52233887,0.7791748
1618163045956,0.32287598,0.4711914,0.8039551
1618163045985,0.32495117,0.46362305,0.8171387
1618163045987,0.2475586,0.47155762,0.7796631
1618163046015,0.20581055,0.51171875,0.76672363
1618163046047,0.22021484,0.57421875,0.756958
1618163046047,0.20385742,0.6092529,0.7279053
1618163046075,0.2076416,0.64282227,0.7260742
1618163046105,0.2286377,0.6357422,0.73657227
1618163046135,0.2121582,0.6015625,0.7520752
1618163046136,0.22180176,0.5831299,0.758667
1618163046165,0.22143555,0.62402344,0.73498535
1618163046166,0.22436523,0.6923828,0.7203369
1618163046196,0.23413086,0.7116699,0.73010254
1618163046226,0.2672119,0.6756592,0.7515869
1618163046226,0.24511719,0.6575928,0.7454834
1618163046254,0.21179199,0.6497803,0.7463379
1618163046285,0.20935059,0.6665039,0.7373047
1618163046285,0.14941406,0.671875,0.7318115
1618163046316,0.11193848,0.68725586,0.73706055
1618163046345,0.13952637,0.6862793,0.7363281
1618163046345,0.16259766,0.631958,0.73950195
1618163046376,0.14990234,0.6176758,0.7492676
1618163046405,0.18640137,0.65625,0.755249
1618163046406,0.16418457,0.66638184,0.7446289
1618163046436,0.1361084,0.6689453,0.72143555
1618163046465,0.13537598,0.7252197,0.6800537
1618163046467,0.11206055,0.78796387,0.6119385
1618163046496,0.07519531,0.8892822,0.5410156
1618163046525,0.122924805,0.9736328,0.5076904
1618163046528,0.12573242,0.9472656,0.5319824
1618163046556,0.13903809,0.85510254,0.61816406
1618163046585,0.18676758,0.8123779,0.66516113
1618163046587,0.17114258,0.8288574,0.6422119
1618163046615,0.16357422,0.8189697,0.6191406
1618163046645,0.13256836,0.75927734,0.62072754
1618163046645,0.08862305,0.68237305,0.661499
1618163046676,0.08154297,0.5930176,0.70251465
1618163046705,0.06762695,0.5755615,0.7027588
1618163046707,-0.08081055,0.6072998,0.6175537
1618163046736,-0.09692383,0.66552734,0.5649414
1618163046766,0.0546875,0.7293701,0.6203613
1618163046766,0.3203125,0.7915039,0.7279053
1618163046796,0.46618652,0.7774658,0.76904297
1618163046826,0.34191895,0.71118164,0.7468262
1618163046826,0.22753906,0.6314697,0.7380371
1618163046854,0.19592285,0.6427002,0.708374
1618163046884,0.20678711,0.689209,0.6862793
1618163046885,0.19006348,0.7076416,0.67126465
1618163046915,0.18713379,0.72924805,0.6550293
1618163046944,0.23864746,0.75146484,0.64782715
1618163046945,0.28979492,0.7574463,0.649292
1618163046977,0.2960205,0.7213135,0.66223145
1618163047005,0.2685547,0.6607666,0.6912842
1618163047006,0.24633789,0.6483154,0.7285156
1618163047037,0.23071289,0.63061523,0.7468262
1618163047065,0.23730469,0.6402588,0.74328613
1618163047068,0.22998047,0.6894531,0.7463379
1618163047096,0.24731445,0.6750488,0.78466797
1618163047125,0.21740723,0.67419434,0.8126221
1618163047127,0.1772461,0.76049805,0.8109131
1618163047157,0.24584961,0.7163086,0.7980957
1618163047185,0.3557129,0.66882324,0.7857666
1618163047187,0.39208984,0.89611816,0.8022461
1618163047245,0.63757324,1.166626,0.8652344
1618163047246,0.68237305,0.88623047,0.84191895
1618163047246,0.5440674,0.4468994,0.763916
1618163047275,0.38134766,0.3725586,0.6767578
1618163047305,0.29736328,0.44226074,0.6520996
1618163047307,0.3713379,0.53686523,0.68896484
1618163047364,0.3947754,0.5435791,0.7138672
1618163047368,0.34423828,0.49072266,0.7023926
1618163047368,0.35351562,0.46020508,0.70422363
1618163047395,0.34643555,0.41601562,0.70532227
1618163047425,0.31860352,0.4156494,0.6921387
1618163047426,0.2841797,0.41870117,0.66918945
1618163047454,0.24194336,0.3918457,0.6323242
1618163047483,0.22888184,0.4210205,0.6011963
1618163047484,0.23327637,0.45141602,0.5661621
1618163047515,0.20739746,0.4699707,0.5163574
1618163047545,0.16589355,0.4650879,0.47436523
1618163047546,0.1328125,0.52246094,0.46362305
1618163047605,0.16003418,0.607666,0.4984131
1618163047605,0.25354004,0.67663574,0.586792
1618163047608,0.234375,0.7344971,0.6702881
1618163047637,0.15356445,0.74487305,0.7697754
1618163047665,0.12097168,0.9206543,0.8746338
1618163047668,0.15563965,0.9901123,0.98339844
1618163047696,0.19970703,1.0964355,1.1394043
1618163047726,0.20874023,1.0767822,1.1586914
1618163047756,0.39672852,0.6563721,0.98742676
1618163047756,0.53186035,0.42016602,0.84350586
1618163047787,0.46643066,0.21484375,0.8031006
1618163047816,0.3729248,0.07141113,0.88134766
1618163047816,0.24304199,0.08654785,0.92297363
1618163047844,0.21606445,0.3536377,0.8614502
1618163047874,0.23986816,0.63793945,0.7772217
1618163047874,0.21069336,0.86206055,0.7192383
1618163047904,0.17248535,0.9493408,0.6710205
1618163047935,0.17419434,0.8096924,0.743042
1618163047936,0.18273926,0.4859619,0.8260498
1618163047966,0.15441895,0.34204102,0.8436279
1618163047995,0.11730957,0.44519043,0.8123779
1618163047995,0.1282959,0.5925293,0.7894287
1618163048025,0.17883301,0.654541,0.80566406
1618163048055,0.1586914,0.59765625,0.8234863
1618163048057,0.13049316,0.52197266,0.82543945
1618163048086,0.13330078,0.553833,0.8126221
1618163048115,0.20263672,0.64294434,0.83166504
1618163048118,0.17626953,0.6431885,0.8232422
1618163048146,0.095825195,0.5933838,0.7833252
1618163048175,0.10205078,0.5946045,0.7755127
1618163048178,0.13635254,0.62023926,0.8071289
1618163048205,0.107421875,0.6191406,0.79016113
1618163048236,0.022827148,0.58483887,0.7480469
1618163048236,0.06542969,0.6270752,0.76538086
1618163048265,0.03466797,0.651001,0.7324219
1618163048296,-0.013305664,0.64538574,0.69641113
1618163048296,0.064453125,0.65930176,0.7244873
1618163048326,0.044799805,0.63220215,0.72802734
1618163048355,0.0814209,0.63098145,0.7375488
1618163048356,0.17822266,0.6459961,0.7819824
1618163048386,0.23693848,0.6419678,0.81640625
1618163048416,0.23266602,0.6229248,0.8088379
1618163048416,0.27087402,0.63708496,0.7989502
1618163048446,0.26171875,0.62158203,0.7869873
1618163048476,0.25964355,0.60253906,0.80200195
1618163048476,0.23864746,0.62268066,0.79467773
1618163048506,0.23840332,0.6053467,0.7930908
1618163048535,0.2722168,0.5819092,0.8015137
1618163048536,0.2783203,0.56396484,0.8009033
1618163048567,0.2845459,0.5541992,0.8096924
1618163048596,0.30639648,0.5443115,0.8088379
1618163048596,0.31713867,0.5234375,0.8137207
1618163048626,0.32165527,0.51013184,0.8171387
1618163048655,0.32983398,0.5128174,0.8190918
1618163048658,0.33691406,0.48608398,0.8282471
1618163048687,0.33581543,0.48254395,0.8215332
1618163048715,0.32995605,0.5004883,0.8109131
1618163048717,0.3251953,0.5070801,0.803833
1618163048746,0.3059082,0.49169922,0.81518555
1618163048775,0.29870605,0.48046875,0.83032227
1618163048775,0.30249023,0.49621582,0.8347168
1618163048805,0.29003906,0.48571777,0.83203125
1618163048835,0.2890625,0.47961426,0.8249512
1618163048835,0.30163574,0.5019531,0.83654785
1618163048866,0.29675293,0.50927734,0.8306885
1618163048896,0.26330566,0.4555664,0.83776855
1618163048896,0.24780273,0.42590332,0.8421631
1618163048924,0.27087402,0.460083,0.836792
1618163048955,0.28637695,0.49597168,0.81604004
1618163048955,0.27770996,0.49890137,0.81555176
1618163048986,0.28930664,0.5,0.8173828
1618163049016,0.3034668,0.52697754,0.8063965
1618163049016,0.30944824,0.5482178,0.796875
1618163049045,0.30566406,0.55444336,0.79248047
1618163049075,0.30358887,0.5698242,0.7824707
1618163049075,0.2993164,0.57128906,0.77404785
1618163049105,0.29760742,0.55444336,0.78100586
1618163049135,0.30700684,0.5616455,0.7751465
1618163049135,0.29919434,0.555542,0.7783203
1618163049166,0.29785156,0.5560303,0.78222656
1618163049195,0.29711914,0.55895996,0.78271484
1618163049198,0.30688477,0.5539551,0.7854004
1618163049226,0.3031006,0.548584,0.78430176
1618163049255,0.288208,0.5313721,0.79125977
1618163049257,0.28234863,0.5313721,0.8005371
1618163049315,0.28881836,0.53759766,0.80249023
1618163049316,0.29089355,0.5354004,0.7910156
1618163049320,0.27416992,0.5308838,0.79248047
1618163049346,0.2664795,0.5181885,0.8074951
1618163049375,0.2593994,0.5300293,0.8078613
1618163049377,0.26550293,0.52453613,0.80944824
1618163049405,0.28259277,0.51416016,0.8253174
1618163049555,0.26208496,0.5144043,0.8234863
1618163049555,0.27600098,0.51416016,0.8286133
1618163049557,0.2689209,0.49291992,0.8413086
1618163049559,0.26965332,0.48168945,0.8416748
1618163049560,0.2709961,0.46875,0.8510742
1618163049560,0.28076172,0.45483398,0.8642578
1618163049561,0.27954102,0.46398926,0.8597412
1618163049645,0.27209473,0.4473877,0.85791016
1618163049646,0.27612305,0.4437256,0.85668945
1618163049647,0.27648926,0.45593262,0.8598633
1618163049648,0.28186035,0.44909668,0.85266113
1618163049651,0.28930664,0.4432373,0.8553467
1618163049676,0.29675293,0.44140625,0.85632324
1618163049676,0.29406738,0.44299316,0.85375977
1618163049706,0.29638672,0.4342041,0.8565674
1618163049735,0.30163574,0.42858887,0.8577881
1618163049736,0.30212402,0.43139648,0.8613281
1618163049795,0.3079834,0.43640137,0.8496094
