time,x-accel,y-accel,z-accel
2021-12-01T13:30:05.439,0.605,-0.386,0.713
2021-12-01T13:30:05.449,0.611,-0.385,0.719
2021-12-01T13:30:05.471,0.608,-0.387,0.719
2021-12-01T13:30:05.497,0.609,-0.385,0.719
2021-12-01T13:30:05.518,0.611,-0.385,0.719
2021-12-01T13:30:05.530,0.611,-0.386,0.720
2021-12-01T13:30:05.551,0.609,-0.390,0.719
2021-12-01T13:30:05.573,0.613,-0.380,0.720
2021-12-01T13:30:05.596,0.611,-0.376,0.722
2021-12-01T13:30:05.618,0.609,-0.381,0.721
2021-12-01T13:30:05.629,0.610,-0.381,0.723
2021-12-01T13:30:05.654,0.609,-0.390,0.719
2021-12-01T13:30:05.679,0.610,-0.396,0.718
2021-12-01T13:30:05.698,0.607,-0.396,0.722
2021-12-01T13:30:05.710,0.606,-0.390,0.723
2021-12-01T13:30:05.733,0.605,-0.384,0.724
2021-12-01T13:30:05.756,0.606,-0.385,0.723
2021-12-01T13:30:05.782,0.606,-0.390,0.720
2021-12-01T13:30:05.799,0.605,-0.390,0.719
2021-12-01T13:30:05.811,0.606,-0.393,0.719
2021-12-01T13:30:05.836,0.605,-0.392,0.720
2021-12-01T13:30:05.855,0.608,-0.390,0.722
2021-12-01T13:30:05.879,0.607,-0.392,0.720
2021-12-01T13:30:05.889,0.607,-0.391,0.718
2021-12-01T13:30:05.915,0.608,-0.391,0.719
2021-12-01T13:30:05.934,0.606,-0.391,0.720
2021-12-01T13:30:05.956,0.605,-0.392,0.719
2021-12-01T13:30:05.969,0.608,-0.391,0.719
2021-12-01T13:30:05.991,0.609,-0.396,0.716
2021-12-01T13:30:06.012,0.611,-0.401,0.712
2021-12-01T13:30:06.035,0.612,-0.404,0.710
2021-12-01T13:30:06.057,0.608,-0.401,0.713
2021-12-01T13:30:06.070,0.604,-0.402,0.715
2021-12-01T13:30:06.094,0.593,-0.416,0.720
2021-12-01T13:30:06.114,0.591,-0.435,0.731
2021-12-01T13:30:06.138,0.633,-0.365,0.745
2021-12-01T13:30:06.151,0.568,-0.436,0.810
2021-12-01T13:30:06.172,0.544,-0.548,0.864
2021-12-01T13:30:06.193,0.755,-0.489,0.819
2021-12-01T13:30:06.215,0.877,-0.588,0.826
2021-12-01T13:30:06.239,0.619,-0.245,0.879
2021-12-01T13:30:06.249,0.780,-0.755,0.808
2021-12-01T13:30:06.273,0.885,-0.917,0.629
2021-12-01T13:30:06.295,0.811,-0.579,0.657
2021-12-01T13:30:06.326,0.729,-0.478,0.677
2021-12-01T13:30:06.330,0.516,-0.588,0.708
2021-12-01T13:30:06.350,0.466,-0.714,0.682
2021-12-01T13:30:06.375,0.397,-0.646,0.798
2021-12-01T13:30:06.396,0.254,-0.632,0.725
2021-12-01T13:30:06.408,0.201,-0.513,0.675
2021-12-01T13:30:06.430,0.246,-0.353,0.680
2021-12-01T13:30:06.453,0.394,-0.306,0.687
2021-12-01T13:30:06.475,0.563,-0.311,0.680
2021-12-01T13:30:06.498,0.733,-0.356,0.664
2021-12-01T13:30:06.509,0.908,-0.397,0.663
2021-12-01T13:30:06.532,1.032,-0.326,0.658
2021-12-01T13:30:06.558,1.176,-0.163,0.625
2021-12-01T13:30:06.576,1.334,-0.032,0.557
2021-12-01T13:30:06.588,1.373,0.100,0.454
2021-12-01T13:30:06.612,1.360,0.204,0.277
2021-12-01T13:30:06.633,1.282,0.261,0.072
2021-12-01T13:30:06.656,1.100,-0.031,-0.094
2021-12-01T13:30:06.676,1.022,-0.018,-0.024
2021-12-01T13:30:06.687,1.229,-0.702,0.772
2021-12-01T13:30:06.709,1.195,-0.743,1.415
2021-12-01T13:30:06.731,0.911,0.565,1.115
2021-12-01T13:30:06.757,0.357,-0.514,0.752
2021-12-01T13:30:06.770,0.607,-0.449,0.661
2021-12-01T13:30:06.790,0.661,-0.545,0.643
2021-12-01T13:30:06.811,0.603,-0.434,0.740
2021-12-01T13:30:06.835,0.568,-0.385,0.775
2021-12-01T13:30:06.846,0.587,-0.392,0.742
