time,x-accel,y-accel,z-accel
2021-09-21T14:23:44.936,0.600,0.095,0.835
2021-09-21T14:23:44.953,0.605,0.096,0.843
2021-09-21T14:23:44.970,0.606,0.094,0.839
2021-09-21T14:23:44.992,0.605,0.094,0.842
2021-09-21T14:23:45.014,0.605,0.095,0.842
2021-09-21T14:23:45.025,0.605,0.093,0.841
2021-09-21T14:23:45.049,0.604,0.094,0.843
2021-09-21T14:23:45.072,0.604,0.094,0.840
2021-09-21T14:23:45.093,0.605,0.094,0.841
2021-09-21T14:23:45.105,0.604,0.094,0.842
2021-09-21T14:23:45.127,0.604,0.094,0.842
2021-09-21T14:23:45.149,0.604,0.095,0.840
2021-09-21T14:23:45.173,0.605,0.094,0.841
2021-09-21T14:23:45.194,0.604,0.094,0.841
2021-09-21T14:23:45.206,0.603,0.094,0.842
2021-09-21T14:23:45.229,0.603,0.097,0.842
2021-09-21T14:23:45.253,0.604,0.095,0.843
2021-09-21T14:23:45.274,0.603,0.095,0.843
2021-09-21T14:23:45.296,0.602,0.095,0.844
2021-09-21T14:23:45.307,0.603,0.094,0.842
2021-09-21T14:23:45.330,0.604,0.095,0.842
2021-09-21T14:23:45.352,0.603,0.095,0.840
2021-09-21T14:23:45.363,0.603,0.095,0.844
2021-09-21T14:23:45.387,0.603,0.094,0.844
2021-09-21T14:23:45.409,0.602,0.094,0.845
2021-09-21T14:23:45.431,0.603,0.096,0.844
2021-09-21T14:23:45.453,0.603,0.095,0.842
2021-09-21T14:23:45.465,0.602,0.094,0.842
2021-09-21T14:23:45.488,0.603,0.094,0.844
2021-09-21T14:23:45.510,0.602,0.094,0.844
2021-09-21T14:23:45.544,0.603,0.096,0.841
2021-09-21T14:23:45.546,0.604,0.096,0.844
2021-09-21T14:23:45.566,0.603,0.095,0.844
2021-09-21T14:23:45.588,0.603,0.094,0.841
2021-09-21T14:23:45.611,0.603,0.095,0.843
2021-09-21T14:23:45.645,0.603,0.095,0.841
2021-09-21T14:23:45.647,0.604,0.096,0.842
2021-09-21T14:23:45.667,0.603,0.095,0.843
2021-09-21T14:23:45.701,0.602,0.095,0.843
2021-09-21T14:23:45.703,0.604,0.095,0.842
2021-09-21T14:23:45.725,0.604,0.095,0.843
2021-09-21T14:23:45.746,0.604,0.095,0.843
2021-09-21T14:23:45.769,0.604,0.097,0.843
2021-09-21T14:23:45.791,0.604,0.096,0.843
2021-09-21T14:23:45.802,0.603,0.094,0.843
2021-09-21T14:23:45.836,0.603,0.094,0.842
2021-09-21T14:23:45.847,0.603,0.095,0.842
2021-09-21T14:23:45.870,0.603,0.095,0.843
2021-09-21T14:23:45.882,0.602,0.096,0.843
2021-09-21T14:23:45.904,0.603,0.096,0.843
2021-09-21T14:23:45.926,0.603,0.095,0.843
2021-09-21T14:23:45.949,0.603,0.096,0.842
2021-09-21T14:23:45.961,0.603,0.095,0.843
2021-09-21T14:23:45.983,0.603,0.095,0.843
2021-09-21T14:23:46.005,0.603,0.096,0.843
2021-09-21T14:23:46.028,0.603,0.095,0.842
2021-09-21T14:23:46.050,0.603,0.095,0.843
2021-09-21T14:23:46.061,0.603,0.094,0.844
2021-09-21T14:23:46.085,0.602,0.093,0.844
2021-09-21T14:23:46.106,0.603,0.095,0.843
2021-09-21T14:23:46.129,0.603,0.097,0.843
2021-09-21T14:23:46.140,0.603,0.095,0.842
2021-09-21T14:23:46.163,0.604,0.095,0.843
2021-09-21T14:23:46.185,0.603,0.096,0.844
2021-09-21T14:23:46.210,0.603,0.097,0.843
2021-09-21T14:23:46.219,0.604,0.096,0.843
2021-09-21T14:23:46.241,0.603,0.095,0.844
