time,x-accel,y-accel,z-accel
2021-12-14T10:47:55.835,0.410,-0.677,0.636
2021-12-14T10:47:55.860,0.415,-0.681,0.642
2021-12-14T10:47:55.881,0.413,-0.681,0.638
2021-12-14T10:47:55.895,0.414,-0.679,0.641
2021-12-14T10:47:55.919,0.413,-0.683,0.639
2021-12-14T10:47:55.945,0.418,-0.682,0.639
2021-12-14T10:47:55.960,0.414,-0.683,0.642
2021-12-14T10:47:55.982,0.416,-0.682,0.640
2021-12-14T10:47:56.004,0.417,-0.686,0.637
2021-12-14T10:47:56.015,0.417,-0.681,0.637
2021-12-14T10:47:56.036,0.416,-0.680,0.640
2021-12-14T10:47:56.059,0.416,-0.679,0.640
2021-12-14T10:47:56.070,0.417,-0.681,0.642
2021-12-14T10:47:56.094,0.413,-0.684,0.647
2021-12-14T10:47:56.115,0.411,-0.684,0.643
2021-12-14T10:47:56.137,0.413,-0.680,0.640
2021-12-14T10:47:56.162,0.414,-0.682,0.640
2021-12-14T10:47:56.172,0.420,-0.677,0.641
2021-12-14T10:47:56.195,0.415,-0.679,0.637
2021-12-14T10:47:56.219,0.413,-0.683,0.639
2021-12-14T10:47:56.242,0.415,-0.684,0.642
2021-12-14T10:47:56.251,0.415,-0.682,0.643
2021-12-14T10:47:56.275,0.416,-0.682,0.640
2021-12-14T10:47:56.304,0.418,-0.682,0.637
2021-12-14T10:47:56.321,0.417,-0.682,0.639
2021-12-14T10:47:56.330,0.422,-0.681,0.640
2021-12-14T10:47:56.353,0.421,-0.680,0.639
2021-12-14T10:47:56.374,0.419,-0.679,0.641
2021-12-14T10:47:56.401,0.417,-0.675,0.642
2021-12-14T10:47:56.419,0.407,-0.682,0.640
2021-12-14T10:47:56.430,0.407,-0.683,0.641
2021-12-14T10:47:56.453,0.400,-0.676,0.632
2021-12-14T10:47:56.478,0.432,-0.691,0.647
2021-12-14T10:47:56.500,0.408,-0.679,0.637
2021-12-14T10:47:56.512,0.413,-0.679,0.639
2021-12-14T10:47:56.535,0.418,-0.681,0.644
2021-12-14T10:47:56.559,0.409,-0.684,0.648
2021-12-14T10:47:56.580,0.405,-0.681,0.640
2021-12-14T10:47:56.600,0.416,-0.681,0.638
2021-12-14T10:47:56.612,0.416,-0.682,0.641
2021-12-14T10:47:56.639,0.414,-0.677,0.638
2021-12-14T10:47:56.658,0.415,-0.677,0.641
2021-12-14T10:47:56.681,0.417,-0.673,0.646
2021-12-14T10:47:56.694,0.413,-0.676,0.647
2021-12-14T10:47:56.716,0.414,-0.680,0.646
2021-12-14T10:47:56.737,0.415,-0.681,0.647
2021-12-14T10:47:56.760,0.417,-0.673,0.645
2021-12-14T10:47:56.770,0.417,-0.675,0.650
2021-12-14T10:47:56.794,0.407,-0.684,0.649
2021-12-14T10:47:56.817,0.410,-0.679,0.650
2021-12-14T10:47:56.838,0.414,-0.677,0.653
2021-12-14T10:47:56.861,0.415,-0.677,0.651
2021-12-14T10:47:56.872,0.415,-0.670,0.658
2021-12-14T10:47:56.894,0.415,-0.669,0.660
2021-12-14T10:47:56.914,0.412,-0.675,0.654
2021-12-14T10:47:56.938,0.408,-0.678,0.652
2021-12-14T10:47:56.950,0.409,-0.680,0.651
2021-12-14T10:47:56.971,0.406,-0.682,0.648
2021-12-14T10:47:56.996,0.407,-0.677,0.648
2021-12-14T10:47:57.018,0.409,-0.676,0.651
2021-12-14T10:47:57.041,0.410,-0.671,0.651
2021-12-14T10:47:57.051,0.408,-0.672,0.651
2021-12-14T10:47:57.073,0.411,-0.672,0.654
2021-12-14T10:47:57.098,0.409,-0.671,0.652
2021-12-14T10:47:57.122,0.410,-0.670,0.652
2021-12-14T10:47:57.131,0.411,-0.669,0.657
2021-12-14T10:47:57.152,0.408,-0.670,0.652
2021-12-14T10:47:57.176,0.406,-0.677,0.654
2021-12-14T10:47:57.197,0.400,-0.684,0.651
2021-12-14T10:47:57.210,0.395,-0.674,0.640
2021-12-14T10:47:57.232,0.400,-0.690,0.670
2021-12-14T10:47:57.255,0.402,-0.684,0.670
2021-12-14T10:47:57.283,0.409,-0.651,0.656
2021-12-14T10:47:57.298,0.402,-0.676,0.652
2021-12-14T10:47:57.309,0.396,-0.715,0.644
2021-12-14T10:47:57.332,0.402,-0.724,0.633
2021-12-14T10:47:57.356,0.441,-0.688,0.671
2021-12-14T10:47:57.377,0.430,-0.675,0.710
2021-12-14T10:47:57.387,0.449,-0.690,0.709
2021-12-14T10:47:57.412,0.498,-0.663,0.707
2021-12-14T10:47:57.434,0.497,-0.711,0.715
2021-12-14T10:47:57.457,0.514,-0.774,0.733
2021-12-14T10:47:57.479,0.519,-0.892,0.759
2021-12-14T10:47:57.490,0.618,-0.853,0.746
2021-12-14T10:47:57.513,0.509,-0.788,0.661
