time,x-accel,y-accel,z-accel
2021-09-06T17:05:28.494,0.627,-0.264,0.761
2021-09-06T17:05:28.520,0.632,-0.270,0.768
2021-09-06T17:05:28.540,0.631,-0.267,0.764
2021-09-06T17:05:28.563,0.630,-0.266,0.762
2021-09-06T17:05:28.575,0.629,-0.267,0.763
2021-09-06T17:05:28.595,0.628,-0.267,0.765
2021-09-06T17:05:28.619,0.629,-0.263,0.763
2021-09-06T17:05:28.641,0.631,-0.265,0.764
2021-09-06T17:05:28.651,0.632,-0.271,0.761
2021-09-06T17:05:28.674,0.631,-0.261,0.765
2021-09-06T17:05:28.698,0.627,-0.262,0.769
2021-09-06T17:05:28.718,0.629,-0.266,0.770
2021-09-06T17:05:28.744,0.628,-0.266,0.770
2021-09-06T17:05:28.755,0.626,-0.271,0.770
2021-09-06T17:05:28.776,0.625,-0.269,0.772
2021-09-06T17:05:28.801,0.627,-0.276,0.769
2021-09-06T17:05:28.827,0.623,-0.287,0.770
2021-09-06T17:05:28.833,0.620,-0.277,0.775
2021-09-06T17:05:28.854,0.620,-0.277,0.773
2021-09-06T17:05:28.878,0.622,-0.286,0.772
2021-09-06T17:05:28.907,0.625,-0.286,0.766
2021-09-06T17:05:28.923,0.626,-0.282,0.765
2021-09-06T17:05:28.938,0.624,-0.281,0.763
2021-09-06T17:05:28.956,0.623,-0.279,0.765
2021-09-06T17:05:28.982,0.621,-0.282,0.766
2021-09-06T17:05:29.002,0.622,-0.289,0.762
2021-09-06T17:05:29.012,0.623,-0.287,0.762
2021-09-06T17:05:29.037,0.624,-0.280,0.764
2021-09-06T17:05:29.058,0.622,-0.273,0.769
2021-09-06T17:05:29.081,0.620,-0.276,0.769
2021-09-06T17:05:29.102,0.617,-0.287,0.770
2021-09-06T17:05:29.114,0.616,-0.289,0.768
2021-09-06T17:05:29.141,0.614,-0.285,0.768
2021-09-06T17:05:29.157,0.614,-0.296,0.765
2021-09-06T17:05:29.180,0.619,-0.293,0.764
2021-09-06T17:05:29.193,0.620,-0.288,0.769
2021-09-06T17:05:29.215,0.623,-0.284,0.772
2021-09-06T17:05:29.239,0.616,-0.313,0.787
2021-09-06T17:05:29.260,0.605,-0.351,0.795
2021-09-06T17:05:29.271,0.613,-0.264,0.833
2021-09-06T17:05:29.295,0.532,-0.295,0.936
2021-09-06T17:05:29.318,0.602,-0.402,0.908
2021-09-06T17:05:29.338,0.689,-0.226,1.007
2021-09-06T17:05:29.361,0.803,-0.364,1.205
2021-09-06T17:05:29.372,0.140,-0.329,1.219
2021-09-06T17:05:29.395,0.472,-0.218,1.016
2021-09-06T17:05:29.418,0.988,-0.196,0.987
2021-09-06T17:05:29.440,1.332,-0.522,0.956
2021-09-06T17:05:29.452,0.651,-0.581,0.552
2021-09-06T17:05:29.474,0.413,-0.363,0.572
2021-09-06T17:05:29.496,1.507,-0.404,1.096
2021-09-06T17:05:29.520,1.431,-0.636,1.638
2021-09-06T17:05:29.539,-0.226,-0.701,0.586
2021-09-06T17:05:29.552,-0.404,-0.357,0.350
2021-09-06T17:05:29.574,0.135,-0.159,0.680
2021-09-06T17:05:29.595,0.374,-0.428,0.752
2021-09-06T17:05:29.618,0.302,-0.448,0.774
2021-09-06T17:05:29.629,0.400,-0.244,0.864
2021-09-06T17:05:29.657,0.630,-0.081,0.983
2021-09-06T17:05:29.674,0.822,-0.093,1.022
2021-09-06T17:05:29.696,0.958,-0.246,0.982
2021-09-06T17:05:29.708,1.022,-0.406,0.955
2021-09-06T17:05:29.729,1.097,-0.539,1.007
2021-09-06T17:05:29.752,1.261,-0.422,1.041
2021-09-06T17:05:29.774,1.455,-0.132,0.957
2021-09-06T17:05:29.797,1.784,-0.036,0.736
2021-09-06T17:05:29.809,2.167,0.158,0.341
2021-09-06T17:05:29.832,2.377,0.366,-0.365
2021-09-06T17:05:29.854,2.077,0.657,-0.993
2021-09-06T17:05:29.876,1.262,0.829,-0.818
2021-09-06T17:05:29.888,0.217,0.021,0.700
2021-09-06T17:05:29.910,0.580,-1.942,2.084
2021-09-06T17:05:29.935,-0.196,-0.419,0.069
2021-09-06T17:05:29.959,1.965,0.043,1.070
2021-09-06T17:05:29.981,0.621,-0.167,1.115
2021-09-06T17:05:29.991,0.682,-0.099,0.876
2021-09-06T17:05:30.016,0.799,-0.303,0.748
2021-09-06T17:05:30.035,0.667,-0.279,0.828
2021-09-06T17:05:30.059,0.635,-0.256,0.813
2021-09-06T17:05:30.070,0.641,-0.264,0.779
2021-09-06T17:05:30.093,0.623,-0.261,0.784
2021-09-06T17:05:30.113,0.624,-0.281,0.778
2021-09-06T17:05:30.136,0.628,-0.296,0.770
2021-09-06T17:05:30.149,0.623,-0.286,0.773
2021-09-06T17:05:30.175,0.622,-0.282,0.775
2021-09-06T17:05:30.194,0.622,-0.288,0.770
2021-09-06T17:05:30.218,0.623,-0.280,0.769
2021-09-06T17:05:30.242,0.624,-0.278,0.771
2021-09-06T17:05:30.251,0.618,-0.287,0.769
2021-09-06T17:05:30.274,0.620,-0.284,0.768
2021-09-06T17:05:30.295,0.616,-0.283,0.767
2021-09-06T17:05:30.319,0.620,-0.284,0.763
2021-09-06T17:05:30.329,0.617,-0.289,0.767
2021-09-06T17:05:30.357,0.621,-0.290,0.764
2021-09-06T17:05:30.375,0.620,-0.290,0.763
2021-09-06T17:05:30.397,0.619,-0.293,0.763
2021-09-06T17:05:30.418,0.620,-0.296,0.764
2021-09-06T17:05:30.431,0.623,-0.293,0.764
2021-09-06T17:05:30.452,0.625,-0.282,0.765
2021-09-06T17:05:30.476,0.629,-0.279,0.768
2021-09-06T17:05:30.499,0.628,-0.284,0.766
2021-09-06T17:05:30.511,0.629,-0.283,0.764
2021-09-06T17:05:30.530,0.624,-0.309,0.766
2021-09-06T17:05:30.554,0.620,-0.292,0.765
2021-09-06T17:05:30.579,0.651,-0.280,0.752
2021-09-06T17:05:30.589,0.614,-0.301,0.765
2021-09-06T17:05:30.612,0.630,-0.299,0.758
2021-09-06T17:05:30.633,0.617,-0.293,0.783
2021-09-06T17:05:30.655,0.609,-0.371,0.800
2021-09-06T17:05:30.679,0.623,-0.331,0.855
2021-09-06T17:05:30.689,0.489,-0.409,1.004
2021-09-06T17:05:30.711,0.731,-0.229,1.115
2021-09-06T17:05:30.739,0.607,-0.429,1.371
2021-09-06T17:05:30.755,-0.035,-0.178,1.254
2021-09-06T17:05:30.767,0.464,-0.101,1.009
2021-09-06T17:05:30.788,1.356,-0.302,1.175
2021-09-06T17:05:30.812,1.677,-0.553,1.192
2021-09-06T17:05:30.833,0.081,-0.621,0.497
2021-09-06T17:05:30.856,0.396,-0.934,0.768
2021-09-06T17:05:30.868,2.231,-0.656,1.963
2021-09-06T17:05:30.892,0.205,-0.542,1.307
2021-09-06T17:05:30.915,-0.556,-0.274,0.372
2021-09-06T17:05:30.936,-0.300,-0.346,0.491
2021-09-06T17:05:30.947,0.280,-0.571,0.659
2021-09-06T17:05:30.969,0.384,-0.664,0.646
2021-09-06T17:05:30.991,0.359,-0.551,0.688
2021-09-06T17:05:31.014,0.505,-0.381,0.789
2021-09-06T17:05:31.025,0.785,-0.235,0.898
2021-09-06T17:05:31.048,1.043,-0.322,0.935
2021-09-06T17:05:31.070,1.171,-0.568,0.929
2021-09-06T17:05:31.093,1.252,-0.735,0.997
2021-09-06T17:05:31.114,1.542,-0.649,1.048
2021-09-06T17:05:31.125,1.908,-0.256,0.933
2021-09-06T17:05:31.148,2.163,-0.292,0.581
2021-09-06T17:05:31.171,2.709,0.505,-0.335
2021-09-06T17:05:31.193,2.349,0.604,-0.595
2021-09-06T17:05:31.204,2.178,0.207,-1.721
2021-09-06T17:05:31.226,-0.147,1.464,0.009
2021-09-06T17:05:31.251,0.446,-1.845,2.012
2021-09-06T17:05:31.273,1.474,-0.559,0.453
2021-09-06T17:05:31.296,2.319,0.560,1.624
2021-09-06T17:05:31.309,0.203,-0.358,0.815
2021-09-06T17:05:31.328,0.777,-0.177,0.807
2021-09-06T17:05:31.352,0.753,-0.390,0.755
2021-09-06T17:05:31.373,0.644,-0.195,0.845
2021-09-06T17:05:31.384,0.626,-0.216,0.809
2021-09-06T17:05:31.408,0.638,-0.244,0.795
2021-09-06T17:05:31.429,0.618,-0.263,0.798
2021-09-06T17:05:31.453,0.623,-0.282,0.780
2021-09-06T17:05:31.474,0.617,-0.279,0.781
2021-09-06T17:05:31.486,0.619,-0.272,0.779
2021-09-06T17:05:31.510,0.618,-0.259,0.782
2021-09-06T17:05:31.535,0.621,-0.262,0.782
2021-09-06T17:05:31.554,0.623,-0.263,0.775
