time,x-gyro,y-gyro,z-gyro
2021-08-03T06:16:33.791,0.854,0.366,-0.549
2021-08-03T06:16:33.823,1.006,1.860,-0.427
2021-08-03T06:16:33.835,1.067,0.884,-0.274
2021-08-03T06:16:33.847,0.091,0.305,-0.396
2021-08-03T06:16:33.881,-0.762,-0.640,-0.488
2021-08-03T06:16:33.883,-3.506,-1.951,-1.037
2021-08-03T06:16:33.906,-18.384,-7.043,-4.024
2021-08-03T06:16:33.929,-45.396,-14.787,-9.848
2021-08-03T06:16:33.950,-47.683,-12.165,-10.549
2021-08-03T06:16:33.963,-24.817,-5.457,-5.701
2021-08-03T06:16:33.983,-11.220,-2.957,-3.018
2021-08-03T06:16:34.006,-7.104,-1.250,-2.104
2021-08-03T06:16:34.030,-2.500,0.549,-0.945
2021-08-03T06:16:34.049,1.768,1.738,0.000
2021-08-03T06:16:34.063,6.098,2.409,0.854
2021-08-03T06:16:34.084,10.976,3.567,2.104
2021-08-03T06:16:34.107,18.140,5.305,3.720
2021-08-03T06:16:34.129,22.957,6.220,4.848
2021-08-03T06:16:34.152,21.951,6.189,4.695
2021-08-03T06:16:34.163,17.927,5.396,3.902
2021-08-03T06:16:34.184,13.506,4.665,2.988
2021-08-03T06:16:34.207,10.732,4.024,2.195
2021-08-03T06:16:34.222,9.238,3.354,1.616
2021-08-03T06:16:34.252,6.555,3.049,1.067
2021-08-03T06:16:34.263,4.024,2.561,0.671
2021-08-03T06:16:34.286,2.683,1.951,0.335
2021-08-03T06:16:34.299,1.768,1.768,0.061
2021-08-03T06:16:34.321,1.463,1.524,-0.152
2021-08-03T06:16:34.345,1.098,1.311,-0.274
2021-08-03T06:16:34.366,0.884,0.945,-0.427
2021-08-03T06:16:34.380,1.280,0.793,-0.488
2021-08-03T06:16:34.400,1.524,0.854,-0.488
2021-08-03T06:16:34.422,1.341,0.610,-0.671
2021-08-03T06:16:34.446,1.341,0.427,-0.549
2021-08-03T06:16:34.456,2.317,0.518,-0.213
2021-08-03T06:16:34.478,2.104,0.701,-0.152
2021-08-03T06:16:34.504,1.311,0.518,-0.335
2021-08-03T06:16:34.523,1.037,0.457,-0.427
2021-08-03T06:16:34.534,1.494,0.610,-0.335
2021-08-03T06:16:34.557,0.701,0.640,-0.274
2021-08-03T06:16:34.579,0.457,0.579,-0.396
2021-08-03T06:16:34.600,1.006,0.549,-0.457
2021-08-03T06:16:34.612,0.915,0.579,-0.488
2021-08-03T06:16:34.634,0.640,0.579,-0.549
2021-08-03T06:16:34.657,1.098,0.488,-0.488
2021-08-03T06:16:34.679,0.549,0.640,-0.396
2021-08-03T06:16:34.690,0.183,0.457,-0.427
2021-08-03T06:16:34.713,0.122,0.152,-0.488
2021-08-03T06:16:34.735,0.640,0.427,-0.366
2021-08-03T06:16:34.758,0.976,0.671,-0.274
2021-08-03T06:16:34.769,0.427,0.610,-0.305
2021-08-03T06:16:34.803,0.061,0.518,-0.427
2021-08-03T06:16:34.814,0.701,0.701,-0.274
2021-08-03T06:16:34.837,1.098,0.884,-0.122
2021-08-03T06:16:34.850,0.762,0.671,-0.305
2021-08-03T06:16:34.873,0.610,0.671,-0.274
2021-08-03T06:16:34.904,0.976,0.732,-0.122
2021-08-03T06:16:34.917,1.098,0.732,-0.152
2021-08-03T06:16:34.929,1.098,0.732,-0.183
2021-08-03T06:16:34.951,0.640,0.732,-0.152
2021-08-03T06:16:34.973,0.244,0.640,-0.213
2021-08-03T06:16:34.996,0.610,0.671,-0.213
2021-08-03T06:16:35.008,0.579,0.610,-0.183
2021-08-03T06:16:35.031,0.579,0.549,-0.183
2021-08-03T06:16:35.052,0.427,0.640,-0.244
2021-08-03T06:16:35.075,0.427,0.671,-0.213
2021-08-03T06:16:35.097,0.793,0.488,-0.305
2021-08-03T06:16:35.109,0.793,0.549,-0.305
2021-08-03T06:16:35.132,0.549,0.610,-0.274
2021-08-03T06:16:35.152,0.427,0.640,-0.366
2021-08-03T06:16:35.175,0.335,0.701,-0.335
2021-08-03T06:16:35.186,0.884,0.610,-0.244
2021-08-03T06:16:35.208,0.823,0.671,-0.183
2021-08-03T06:16:35.230,1.128,0.762,-0.122
2021-08-03T06:16:35.253,0.915,0.793,-0.213
2021-08-03T06:16:35.266,0.732,0.671,-0.244
2021-08-03T06:16:35.289,0.762,0.671,-0.213
2021-08-03T06:16:35.314,0.640,0.640,-0.305
2021-08-03T06:16:35.342,0.823,0.579,-0.366
2021-08-03T06:16:35.343,0.457,0.579,-0.396
2021-08-03T06:16:35.366,0.854,0.579,-0.366
2021-08-03T06:16:35.388,0.915,0.610,-0.244
2021-08-03T06:16:35.411,0.732,0.610,-0.274
2021-08-03T06:16:35.444,0.945,0.640,-0.305
2021-08-03T06:16:35.445,0.671,0.640,-0.396
2021-08-03T06:16:35.467,0.457,0.518,-0.427
2021-08-03T06:16:35.489,0.640,0.488,-0.457
2021-08-03T06:16:35.502,0.732,0.579,-0.427
2021-08-03T06:16:35.524,0.640,0.579,-0.396
2021-08-03T06:16:35.547,0.915,0.579,-0.305
2021-08-03T06:16:35.570,0.732,0.640,-0.274
2021-08-03T06:16:35.581,0.732,0.610,-0.213
2021-08-03T06:16:35.603,0.854,0.671,-0.244
2021-08-03T06:16:35.625,0.976,0.701,-0.274
2021-08-03T06:16:35.648,0.976,0.610,-0.244
2021-08-03T06:16:35.659,0.671,0.640,-0.274
2021-08-03T06:16:35.682,0.457,0.701,-0.244
2021-08-03T06:16:35.704,0.518,0.671,-0.244
2021-08-03T06:16:35.727,0.671,0.732,-0.213
2021-08-03T06:16:35.738,0.854,0.762,-0.183
2021-08-03T06:16:35.761,0.579,0.640,-0.274
2021-08-03T06:16:35.784,0.183,0.579,-0.366
2021-08-03T06:16:35.806,0.427,0.640,-0.305
2021-08-03T06:16:35.818,0.854,0.762,-0.213
2021-08-03T06:16:35.840,0.884,0.671,-0.213
2021-08-03T06:16:35.861,0.488,0.640,-0.335
2021-08-03T06:16:35.883,0.732,0.701,-0.213
2021-08-03T06:16:35.895,1.037,0.793,-0.122
2021-08-03T06:16:35.928,0.854,0.762,-0.183
2021-08-03T06:16:35.940,0.518,0.701,-0.305
2021-08-03T06:16:35.964,0.579,0.640,-0.305
2021-08-03T06:16:35.974,0.396,0.610,-0.274
2021-08-03T06:16:35.998,0.274,0.640,-0.274
2021-08-03T06:16:36.029,0.701,0.610,-0.274
2021-08-03T06:16:36.042,0.640,0.640,-0.305
2021-08-03T06:16:36.065,0.457,0.549,-0.396
2021-08-03T06:16:36.076,0.183,0.579,-0.396
2021-08-03T06:16:36.098,0.854,0.579,-0.183
2021-08-03T06:16:36.121,0.366,0.457,-0.335
2021-08-03T06:16:36.144,0.061,0.335,-0.793
2021-08-03T06:16:36.154,0.396,0.335,-0.610
2021-08-03T06:16:36.178,0.274,0.610,-0.366
2021-08-03T06:16:36.198,1.433,0.610,-0.244
2021-08-03T06:16:36.221,0.915,0.579,-0.366
2021-08-03T06:16:36.233,0.366,0.549,-0.457
2021-08-03T06:16:36.254,0.884,0.518,-0.335
2021-08-03T06:16:36.277,1.280,0.579,-0.274
2021-08-03T06:16:36.300,0.549,0.610,-0.396
2021-08-03T06:16:36.311,-0.030,0.457,-0.518
2021-08-03T06:16:36.334,0.640,0.457,-0.488
2021-08-03T06:16:36.357,0.732,0.579,-0.366
2021-08-03T06:16:36.382,0.427,0.640,-0.274
2021-08-03T06:16:36.391,0.457,0.640,-0.335
2021-08-03T06:16:36.422,0.701,0.579,-0.396
2021-08-03T06:16:36.434,0.366,0.579,-0.366
2021-08-03T06:16:36.459,0.762,0.579,-0.305
2021-08-03T06:16:36.469,0.976,0.640,-0.305
2021-08-03T06:16:36.492,0.701,0.549,-0.427
2021-08-03T06:16:36.515,0.518,0.488,-0.427
2021-08-03T06:16:36.537,0.976,0.549,-0.274
2021-08-03T06:16:36.548,1.159,0.640,-0.213
2021-08-03T06:16:36.571,0.701,0.579,-0.366
2021-08-03T06:16:36.593,0.518,0.549,-0.396
2021-08-03T06:16:36.616,0.793,0.671,-0.366
2021-08-03T06:16:36.627,0.823,0.671,-0.274
2021-08-03T06:16:36.649,0.518,0.579,-0.366
2021-08-03T06:16:36.672,0.762,0.640,-0.305
2021-08-03T06:16:36.694,1.098,0.671,-0.244
2021-08-03T06:16:36.706,0.976,0.610,-0.274
2021-08-03T06:16:36.728,0.701,0.579,-0.366
2021-08-03T06:16:36.751,1.250,0.579,-0.335
2021-08-03T06:16:36.774,0.701,0.701,-0.274
2021-08-03T06:16:36.797,0.793,0.549,-0.366
2021-08-03T06:16:36.807,0.671,0.579,-0.366
2021-08-03T06:16:36.829,0.915,0.518,-0.335
2021-08-03T06:16:36.852,0.854,0.518,-0.396
2021-08-03T06:16:36.863,0.640,0.549,-0.335
2021-08-03T06:16:36.886,0.579,0.579,-0.366
2021-08-03T06:16:36.908,0.610,0.610,-0.396
2021-08-03T06:16:36.931,0.793,0.579,-0.335
2021-08-03T06:16:36.952,0.549,0.610,-0.366
2021-08-03T06:16:36.964,0.579,0.640,-0.335
2021-08-03T06:16:36.987,0.854,0.579,-0.335
2021-08-03T06:16:37.019,0.244,0.488,-0.488
2021-08-03T06:16:37.022,0.305,0.488,-0.457
2021-08-03T06:16:37.054,0.640,0.579,-0.335
2021-08-03T06:16:37.066,0.518,0.640,-0.274
2021-08-03T06:16:37.088,0.945,0.549,-0.335
2021-08-03T06:16:37.110,0.823,0.549,-0.366
2021-08-03T06:16:37.122,0.671,0.579,-0.396
2021-08-03T06:16:37.144,0.793,0.549,-0.335
2021-08-03T06:16:37.167,0.762,0.457,-0.427
2021-08-03T06:16:37.189,0.549,0.488,-0.457
2021-08-03T06:16:37.201,0.579,0.457,-0.396
2021-08-03T06:16:37.223,0.823,0.457,-0.305
2021-08-03T06:16:37.245,0.762,0.579,-0.305
2021-08-03T06:16:37.267,0.518,0.579,-0.305
2021-08-03T06:16:37.289,0.640,0.549,-0.335
2021-08-03T06:16:37.302,0.701,0.579,-0.305
2021-08-03T06:16:37.325,0.701,0.579,-0.305
2021-08-03T06:16:37.347,0.823,0.488,-0.305
2021-08-03T06:16:37.358,0.762,0.518,-0.335
2021-08-03T06:16:37.381,0.427,0.549,-0.305
2021-08-03T06:16:37.415,0.640,0.579,-0.305
2021-08-03T06:16:37.426,0.427,0.640,-0.335
2021-08-03T06:16:37.447,0.244,0.518,-0.396
2021-08-03T06:16:37.458,0.122,0.518,-0.274
2021-08-03T06:16:37.480,0.366,0.579,-0.274
2021-08-03T06:16:37.503,0.488,0.488,-0.396
2021-08-03T06:16:37.514,0.579,0.549,-0.427
2021-08-03T06:16:37.538,0.488,0.488,-0.396
2021-08-03T06:16:37.560,0.701,0.610,-0.366
2021-08-03T06:16:37.582,0.884,0.701,-0.366
2021-08-03T06:16:37.593,0.610,0.640,-0.305
2021-08-03T06:16:37.616,0.488,0.610,-0.122
2021-08-03T06:16:37.638,0.701,0.732,-0.061
2021-08-03T06:16:37.661,0.549,0.671,-0.183
2021-08-03T06:16:37.673,0.274,0.640,-0.244
2021-08-03T06:16:37.694,0.183,0.671,-0.305
2021-08-03T06:16:37.717,0.427,0.610,-0.274
2021-08-03T06:16:37.740,0.274,0.549,-0.305
2021-08-03T06:16:37.751,0.244,0.579,-0.305
2021-08-03T06:16:37.774,0.640,0.671,-0.152
2021-08-03T06:16:37.795,0.640,0.610,-0.183
2021-08-03T06:16:37.818,0.274,0.579,-0.335
2021-08-03T06:16:37.829,0.579,0.701,-0.274
2021-08-03T06:16:37.852,1.037,0.671,-0.244
2021-08-03T06:16:37.876,0.762,0.640,-0.244
2021-08-03T06:16:37.897,0.701,0.579,-0.274
2021-08-03T06:16:37.908,0.976,0.610,-0.274
2021-08-03T06:16:37.931,1.006,0.701,-0.152
2021-08-03T06:16:37.975,0.884,0.732,-0.183
2021-08-03T06:16:37.977,0.762,0.579,-0.305
2021-08-03T06:16:37.998,0.640,0.610,-0.335
2021-08-03T06:16:38.011,0.274,0.701,-0.335
2021-08-03T06:16:38.033,0.457,0.549,-0.305
2021-08-03T06:16:38.055,0.610,0.640,-0.213
2021-08-03T06:16:38.088,0.518,0.640,-0.152
2021-08-03T06:16:38.090,0.488,0.579,-0.274
2021-08-03T06:16:38.110,0.518,0.640,-0.244
2021-08-03T06:16:38.132,0.427,0.579,-0.183
2021-08-03T06:16:38.156,-0.061,0.549,-0.305
2021-08-03T06:16:38.168,0.579,0.610,-0.213
2021-08-03T06:16:38.189,0.610,0.579,-0.274
2021-08-03T06:16:38.211,0.213,0.549,-0.396
2021-08-03T06:16:38.234,0.732,0.640,-0.274
2021-08-03T06:16:38.246,0.457,0.701,-0.274
2021-08-03T06:16:38.279,0.640,0.671,-0.274
2021-08-03T06:16:38.291,0.732,0.610,-0.274
2021-08-03T06:16:38.313,0.396,0.640,-0.366
2021-08-03T06:16:38.324,0.518,0.671,-0.335
2021-08-03T06:16:38.347,0.457,0.640,-0.305
2021-08-03T06:16:38.380,0.457,0.640,-0.213
2021-08-03T06:16:38.391,0.366,0.701,-0.213
2021-08-03T06:16:38.403,0.396,0.762,-0.244
