time,x-accel,y-accel,z-accel
2021-11-05T14:02:13.079,0.419,0.024,0.904
2021-11-05T14:02:13.089,0.419,0.025,0.904
2021-11-05T14:02:13.111,0.419,0.026,0.906
2021-11-05T14:02:13.133,0.417,0.024,0.904
2021-11-05T14:02:13.156,0.417,0.025,0.905
2021-11-05T14:02:13.179,0.416,0.024,0.904
2021-11-05T14:02:13.189,0.417,0.026,0.903
2021-11-05T14:02:13.212,0.418,0.024,0.904
2021-11-05T14:02:13.235,0.418,0.025,0.905
2021-11-05T14:02:13.258,0.418,0.025,0.904
2021-11-05T14:02:13.280,0.418,0.025,0.905
2021-11-05T14:02:13.291,0.417,0.025,0.904
2021-11-05T14:02:13.313,0.418,0.024,0.904
2021-11-05T14:02:13.337,0.418,0.024,0.904
2021-11-05T14:02:13.359,0.420,0.025,0.905
2021-11-05T14:02:13.382,0.419,0.025,0.905
2021-11-05T14:02:13.393,0.419,0.025,0.904
2021-11-05T14:02:13.415,0.419,0.026,0.905
2021-11-05T14:02:13.439,0.418,0.026,0.905
2021-11-05T14:02:13.473,0.418,0.024,0.903
2021-11-05T14:02:13.482,0.419,0.023,0.904
2021-11-05T14:02:13.494,0.419,0.026,0.906
2021-11-05T14:02:13.516,0.417,0.026,0.906
2021-11-05T14:02:13.538,0.418,0.022,0.904
2021-11-05T14:02:13.561,0.420,0.024,0.903
2021-11-05T14:02:13.583,0.420,0.026,0.903
2021-11-05T14:02:13.594,0.420,0.025,0.904
2021-11-05T14:02:13.617,0.420,0.026,0.905
2021-11-05T14:02:13.639,0.420,0.027,0.903
2021-11-05T14:02:13.663,0.417,0.025,0.905
2021-11-05T14:02:13.686,0.418,0.025,0.905
2021-11-05T14:02:13.697,0.419,0.025,0.903
2021-11-05T14:02:13.721,0.418,0.026,0.904
2021-11-05T14:02:13.742,0.417,0.024,0.904
2021-11-05T14:02:13.765,0.419,0.025,0.904
2021-11-05T14:02:13.787,0.419,0.025,0.906
2021-11-05T14:02:13.798,0.420,0.027,0.904
2021-11-05T14:02:13.821,0.418,0.026,0.903
2021-11-05T14:02:13.843,0.417,0.023,0.904
2021-11-05T14:02:13.866,0.417,0.024,0.905
2021-11-05T14:02:13.877,0.417,0.024,0.905
2021-11-05T14:02:13.899,0.418,0.025,0.904
2021-11-05T14:02:13.922,0.419,0.025,0.904
2021-11-05T14:02:13.944,0.418,0.023,0.905
2021-11-05T14:02:13.966,0.417,0.025,0.904
2021-11-05T14:02:13.977,0.417,0.024,0.903
2021-11-05T14:02:14.000,0.415,0.025,0.903
2021-11-05T14:02:14.023,0.415,0.024,0.906
2021-11-05T14:02:14.046,0.414,0.023,0.908
2021-11-05T14:02:14.068,0.416,0.023,0.905
2021-11-05T14:02:14.079,0.418,0.025,0.905
2021-11-05T14:02:14.102,0.419,0.026,0.902
2021-11-05T14:02:14.124,0.417,0.025,0.905
2021-11-05T14:02:14.147,0.417,0.026,0.905
2021-11-05T14:02:14.169,0.418,0.026,0.904
2021-11-05T14:02:14.180,0.418,0.024,0.904
2021-11-05T14:02:14.203,0.417,0.026,0.905
2021-11-05T14:02:14.225,0.417,0.026,0.904
2021-11-05T14:02:14.249,0.416,0.024,0.905
2021-11-05T14:02:14.271,0.417,0.026,0.906
2021-11-05T14:02:14.282,0.417,0.025,0.906
2021-11-05T14:02:14.306,0.416,0.025,0.907
2021-11-05T14:02:14.327,0.417,0.025,0.905
2021-11-05T14:02:14.350,0.417,0.023,0.905
2021-11-05T14:02:14.372,0.415,0.024,0.904
2021-11-05T14:02:14.394,0.414,0.025,0.906
2021-11-05T14:02:14.406,0.417,0.023,0.905
2021-11-05T14:02:14.428,0.417,0.024,0.907
2021-11-05T14:02:14.457,0.415,0.025,0.906
2021-11-05T14:02:14.472,0.417,0.025,0.906
2021-11-05T14:02:14.494,0.416,0.026,0.906
2021-11-05T14:02:14.506,0.416,0.025,0.906
2021-11-05T14:02:14.528,0.417,0.023,0.906
2021-11-05T14:02:14.551,0.415,0.025,0.904
2021-11-05T14:02:14.573,0.412,0.023,0.905
2021-11-05T14:02:14.584,0.415,0.022,0.906
2021-11-05T14:02:14.607,0.415,0.024,0.905
2021-11-05T14:02:14.630,0.416,0.026,0.906
2021-11-05T14:02:14.664,0.416,0.024,0.908
2021-11-05T14:02:14.667,0.416,0.025,0.905
2021-11-05T14:02:14.687,0.414,0.025,0.906
2021-11-05T14:02:14.709,0.413,0.024,0.906
2021-11-05T14:02:14.732,0.415,0.023,0.904
2021-11-05T14:02:14.754,0.414,0.024,0.905
2021-11-05T14:02:14.766,0.414,0.026,0.907
2021-11-05T14:02:14.789,0.415,0.025,0.906
2021-11-05T14:02:14.810,0.414,0.025,0.907
2021-11-05T14:02:14.833,0.414,0.024,0.906
2021-11-05T14:02:14.856,0.414,0.025,0.906
2021-11-05T14:02:14.867,0.414,0.025,0.908
2021-11-05T14:02:14.890,0.416,0.025,0.906
2021-11-05T14:02:14.912,0.415,0.024,0.905
2021-11-05T14:02:14.934,0.415,0.024,0.907
2021-11-05T14:02:14.958,0.413,0.024,0.907
2021-11-05T14:02:14.968,0.415,0.025,0.907
2021-11-05T14:02:14.991,0.415,0.024,0.905
2021-11-05T14:02:15.013,0.415,0.024,0.906
2021-11-05T14:02:15.036,0.416,0.025,0.907
2021-11-05T14:02:15.057,0.414,0.026,0.906
2021-11-05T14:02:15.069,0.413,0.026,0.907
2021-11-05T14:02:15.091,0.414,0.025,0.906
2021-11-05T14:02:15.114,0.415,0.023,0.905
2021-11-05T14:02:15.137,0.416,0.023,0.904
2021-11-05T14:02:15.160,0.414,0.024,0.906
2021-11-05T14:02:15.170,0.414,0.025,0.907
2021-11-05T14:02:15.192,0.414,0.025,0.905
2021-11-05T14:02:15.215,0.414,0.026,0.905
2021-11-05T14:02:15.239,0.415,0.024,0.907
2021-11-05T14:02:15.261,0.415,0.025,0.904
2021-11-05T14:02:15.272,0.415,0.026,0.905
2021-11-05T14:02:15.294,0.413,0.023,0.906
2021-11-05T14:02:15.317,0.414,0.024,0.906
2021-11-05T14:02:15.340,0.416,0.025,0.905
2021-11-05T14:02:15.350,0.415,0.026,0.906
2021-11-05T14:02:15.373,0.415,0.026,0.906
2021-11-05T14:02:15.395,0.414,0.024,0.907
2021-11-05T14:02:15.418,0.414,0.025,0.906
2021-11-05T14:02:15.441,0.415,0.022,0.906
2021-11-05T14:02:15.452,0.415,0.023,0.906
2021-11-05T14:02:15.474,0.414,0.025,0.907
2021-11-05T14:02:15.497,0.416,0.026,0.905
2021-11-05T14:02:15.519,0.416,0.025,0.906
2021-11-05T14:02:15.542,0.414,0.026,0.906
2021-11-05T14:02:15.553,0.414,0.024,0.906
2021-11-05T14:02:15.575,0.415,0.024,0.908
2021-11-05T14:02:15.598,0.415,0.025,0.907
2021-11-05T14:02:15.620,0.416,0.025,0.904
2021-11-05T14:02:15.643,0.415,0.026,0.906
2021-11-05T14:02:15.653,0.414,0.023,0.907
2021-11-05T14:02:15.676,0.416,0.025,0.905
2021-11-05T14:02:15.699,0.415,0.025,0.905
2021-11-05T14:02:15.722,0.414,0.026,0.906
2021-11-05T14:02:15.744,0.416,0.024,0.906
2021-11-05T14:02:15.757,0.413,0.024,0.906
2021-11-05T14:02:15.778,0.414,0.023,0.906
2021-11-05T14:02:15.800,0.415,0.024,0.907
