time,x-gyro,y-gyro,z-gyro
2021-07-31T06:34:54.619,0.701,0.274,-0.366
2021-07-31T06:34:54.628,0.610,1.707,-0.091
2021-07-31T06:34:54.651,0.732,0.640,-0.305
2021-07-31T06:34:54.673,0.732,0.579,-0.305
2021-07-31T06:34:54.697,0.549,0.640,-0.213
2021-07-31T06:34:54.709,0.549,0.579,-0.335
2021-07-31T06:34:54.731,0.640,0.610,-0.396
2021-07-31T06:34:54.754,0.762,0.610,-0.366
2021-07-31T06:34:54.778,0.579,0.640,-0.396
2021-07-31T06:34:54.797,0.427,0.610,-0.396
2021-07-31T06:34:54.810,0.305,0.579,-0.366
2021-07-31T06:34:54.831,0.244,0.549,-0.457
2021-07-31T06:34:54.856,0.488,0.549,-0.427
2021-07-31T06:34:54.876,0.549,0.610,-0.274
2021-07-31T06:34:54.887,0.305,0.610,-0.213
2021-07-31T06:34:54.920,-0.122,0.579,-0.274
2021-07-31T06:34:54.932,-0.183,0.701,-0.427
2021-07-31T06:34:54.956,0.122,0.732,-0.457
2021-07-31T06:34:54.969,0.396,0.762,-0.396
2021-07-31T06:34:54.989,0.518,0.732,-0.366
2021-07-31T06:34:55.011,0.610,0.610,-0.305
2021-07-31T06:34:55.034,0.671,0.549,-0.366
2021-07-31T06:34:55.044,0.427,0.610,-0.396
2021-07-31T06:34:55.067,0.274,0.701,-0.396
2021-07-31T06:34:55.090,0.366,0.671,-0.335
2021-07-31T06:34:55.111,0.427,0.610,-0.366
2021-07-31T06:34:55.123,0.213,0.549,-0.274
2021-07-31T06:34:55.145,0.000,0.457,-0.213
2021-07-31T06:34:55.170,-0.122,0.549,-0.152
2021-07-31T06:34:55.194,-0.091,0.579,-0.122
2021-07-31T06:34:55.208,0.244,0.671,-0.091
2021-07-31T06:34:55.225,0.793,0.549,-0.061
2021-07-31T06:34:55.247,0.518,0.640,0.000
2021-07-31T06:34:55.269,0.244,0.671,-0.030
2021-07-31T06:34:55.281,0.488,0.671,-0.030
2021-07-31T06:34:55.303,0.518,0.671,0.030
2021-07-31T06:34:55.327,0.671,0.640,0.061
2021-07-31T06:34:55.350,1.189,0.518,0.122
2021-07-31T06:34:55.361,1.128,0.640,0.122
2021-07-31T06:34:55.383,1.006,0.701,0.000
2021-07-31T06:34:55.406,0.915,0.640,-0.183
2021-07-31T06:34:55.429,0.915,0.701,-0.396
2021-07-31T06:34:55.439,0.701,0.213,-0.457
2021-07-31T06:34:55.460,-1.677,-2.317,-0.854
2021-07-31T06:34:55.494,-5.976,-3.110,-2.165
2021-07-31T06:34:55.505,-14.177,-5.152,-3.902
2021-07-31T06:34:55.522,-38.232,-12.317,-8.659
2021-07-31T06:34:55.540,-39.939,-11.280,-9.085
2021-07-31T06:34:55.563,-19.665,-5.000,-4.909
2021-07-31T06:34:55.587,-9.512,-1.768,-2.439
2021-07-31T06:34:55.596,-3.598,0.427,-0.945
2021-07-31T06:34:55.618,2.195,2.195,0.335
2021-07-31T06:34:55.640,6.128,3.384,1.128
2021-07-31T06:34:55.663,10.610,4.390,2.012
2021-07-31T06:34:55.675,15.579,5.030,2.866
2021-07-31T06:34:55.697,18.018,4.909,3.201
2021-07-31T06:34:55.720,17.348,4.207,2.988
2021-07-31T06:34:55.742,14.238,3.598,2.378
2021-07-31T06:34:55.763,10.945,3.110,1.738
2021-07-31T06:34:55.778,8.537,2.561,1.220
2021-07-31T06:34:55.800,7.256,2.226,0.976
2021-07-31T06:34:55.822,6.555,1.921,0.823
2021-07-31T06:34:55.845,5.579,1.677,0.579
2021-07-31T06:34:55.857,4.787,1.463,0.488
2021-07-31T06:34:55.879,3.994,1.280,0.213
2021-07-31T06:34:55.902,3.628,1.250,0.030
2021-07-31T06:34:55.923,2.744,1.311,-0.030
2021-07-31T06:34:55.935,1.829,1.311,-0.061
2021-07-31T06:34:55.956,1.494,1.341,-0.244
2021-07-31T06:34:55.979,1.463,1.372,-0.213
2021-07-31T06:34:56.000,1.250,1.311,-0.091
2021-07-31T06:34:56.011,0.732,1.311,-0.091
2021-07-31T06:34:56.034,0.518,1.311,-0.152
2021-07-31T06:34:56.058,0.945,1.220,-0.244
2021-07-31T06:34:56.079,1.128,1.128,-0.183
2021-07-31T06:34:56.090,0.793,0.976,-0.213
2021-07-31T06:34:56.113,0.549,0.884,-0.305
2021-07-31T06:34:56.135,0.701,0.915,-0.488
2021-07-31T06:34:56.158,0.823,0.945,-0.549
2021-07-31T06:34:56.169,1.037,0.884,-0.427
2021-07-31T06:34:56.191,1.037,0.854,-0.213
2021-07-31T06:34:56.214,0.640,0.732,-0.183
2021-07-31T06:34:56.238,0.701,0.762,-0.274
